level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	415	391	590	50	-1	
3	1	1	1	0	0	415	391	590	50	-1	
4	1	1	1	1	0	415	391	590	50	-1	
5	1	1	1	1	1	415	399	300	42	92	ASSEMBLEA
5	1	1	1	1	2	743	391	262	44	92	PLENARIA
2	1	2	0	0	0	1538	379	267	40	-1	
3	1	2	1	0	0	1538	379	267	40	-1	
4	1	2	1	1	0	1538	379	267	40	-1	
5	1	2	1	1	1	1538	400	59	7	66	—
5	1	2	1	1	2	1627	379	90	40	93	299
5	1	2	1	1	3	1742	399	61	9	91	—
2	1	3	0	0	0	2458	375	455	42	-1	
3	1	3	1	0	0	2458	375	455	42	-1	
4	1	3	1	1	0	2458	375	455	42	-1	
5	1	3	1	1	1	2458	376	52	41	93	16
5	1	3	1	1	2	2543	384	219	33	6	GaENNATO
5	1	3	1	1	3	2795	375	118	41	90	1946
2	1	4	0	0	0	419	535	2495	69	-1	
3	1	4	1	0	0	419	535	2495	69	-1	
4	1	4	1	1	0	419	535	2495	69	-1	
5	1	4	1	1	1	419	555	124	42	96	Sono
5	1	4	1	1	2	590	563	117	41	96	pure
5	1	4	1	1	3	753	560	48	39	95	in
5	1	4	1	1	4	846	555	132	33	96	corso
5	1	4	1	1	5	1026	541	257	42	60	trattative
5	1	4	1	1	6	1327	545	90	32	96	con
5	1	4	1	1	7	1463	535	147	40	21	l'Alto
5	1	4	1	1	8	1655	568	4	13	66	,
5	1	4	1	1	9	1714	535	148	42	91	tedra.
5	1	4	1	1	10	1890	536	20	40	96	I
5	1	4	1	1	11	1939	537	187	42	96	relativi
5	1	4	1	1	12	2147	540	106	48	83	atti,
5	1	4	1	1	13	2269	537	85	52	95	già
5	1	4	1	1	14	2373	536	168	41	96	inviati
5	1	4	1	1	15	2562	535	193	42	23	all'Alto
5	1	4	1	1	16	2779	535	135	40	92	Com-
2	1	5	0	0	0	422	597	1212	3535	-1	
3	1	5	1	0	0	422	597	1193	562	-1	
4	1	5	1	1	0	423	597	1188	60	-1	
5	1	5	1	1	1	423	611	380	46	52	Commissamaio
5	1	5	1	1	2	821	616	85	41	96	per
5	1	5	1	1	3	921	605	46	38	95	la
5	1	5	1	1	4	982	601	241	51	95	Sardegna
5	1	5	1	1	5	1238	611	25	28	93	e
5	1	5	1	1	6	1281	597	69	42	96	col
5	1	5	1	1	7	1369	597	242	40	95	Ministero
4	1	5	1	2	0	422	656	1188	63	-1	
5	1	5	1	2	1	422	676	76	43	96	del
5	1	5	1	2	2	555	676	154	39	96	tesoro
5	1	5	1	2	3	769	663	198	45	87	affinché
5	1	5	1	2	4	1027	673	38	30	47	si
5	1	5	1	2	5	1123	660	182	43	33	effettuì
5	1	5	1	2	6	1363	656	247	44	77	senz'altro
4	1	5	1	3	0	422	719	1192	58	-1	
5	1	5	1	3	1	422	735	177	42	95	ritardo
5	1	5	1	3	2	629	732	46	40	96	la
5	1	5	1	3	3	701	736	242	35	79	iscrizione
5	1	5	1	3	4	971	733	48	30	90	in
5	1	5	1	3	5	1047	723	203	40	96	bilancio
5	1	5	1	3	6	1281	719	124	41	96	della
5	1	5	1	3	7	1433	729	181	31	92	somma
4	1	5	1	4	0	425	781	1189	60	-1	
5	1	5	1	4	1	425	788	53	53	96	di
5	1	5	1	4	2	509	797	57	40	85	80
5	1	5	1	4	3	602	793	180	40	81	mihoni
5	1	5	1	4	4	819	796	84	44	96	per
5	1	5	1	4	5	939	784	42	41	96	le
5	1	5	1	4	6	1018	795	133	41	96	spese
5	1	5	1	4	7	1198	783	47	40	96	di
5	1	5	1	4	8	1282	783	231	49	44	rimpianto
5	1	5	1	4	9	1553	781	61	39	95	da
4	1	5	1	5	0	422	837	1192	76	-1	
5	1	5	1	5	1	422	860	231	53	62	ripartirsi
5	1	5	1	5	2	683	865	48	31	65	im
5	1	5	1	5	3	761	863	96	30	96	non
5	1	5	1	5	4	885	847	80	53	89	più
5	1	5	1	5	5	997	845	46	42	96	di
5	1	5	1	5	6	1074	847	92	40	96	due
5	1	5	1	5	7	1197	853	201	34	87	esercizi.
5	1	5	1	5	8	1431	837	183	67	96	Uguale
