level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1073	309	1168	54	-1	
3	1	1	1	0	0	1073	309	1168	54	-1	
4	1	1	1	1	0	1073	309	1168	54	-1	
5	1	1	1	1	1	1073	330	180	33	96	CAMERA
5	1	1	1	1	2	1289	331	74	32	96	DEI
5	1	1	1	1	3	1399	330	217	33	93	DEPUTATI
5	1	1	1	1	4	1653	342	62	7	92	—
5	1	1	1	1	5	1751	329	202	32	96	SESSIONE
5	1	1	1	1	6	1989	315	100	44	95	DEL
5	1	1	1	1	7	2113	309	128	49	95	1848
2	1	2	0	0	0	1508	186	304	49	-1	
3	1	2	1	0	0	1508	186	304	49	-1	
4	1	2	1	1	0	1508	186	304	49	-1	
5	1	2	1	1	1	1508	215	58	10	92	—
5	1	2	1	1	2	1597	186	112	49	92	408
5	1	2	1	1	3	1745	213	67	10	92	—
2	1	3	0	0	0	341	390	2623	16	-1	
3	1	3	1	0	0	341	390	2623	16	-1	
4	1	3	1	1	0	341	390	2623	16	-1	
5	1	3	1	1	1	341	390	2623	16	95	 
2	1	4	0	0	0	341	402	2623	15	-1	
3	1	4	1	0	0	341	402	2623	15	-1	
4	1	4	1	1	0	341	402	2623	15	-1	
5	1	4	1	1	1	341	402	2623	15	95	 
2	1	5	0	0	0	293	453	1328	1597	-1	
3	1	5	1	0	0	327	453	1285	105	-1	
4	1	5	1	1	0	328	453	1284	46	-1	
5	1	5	1	1	1	328	455	88	43	88	cesi,
5	1	5	1	1	2	439	455	66	35	96	che
5	1	5	1	1	3	529	455	84	36	84	visi
5	1	5	1	1	4	639	454	250	36	61	costruiscano
5	1	5	1	1	5	911	455	56	35	75	tre
5	1	5	1	1	6	985	463	166	26	96	caserme
5	1	5	1	1	7	1172	453	124	46	96	capaci
5	1	5	1	1	8	1321	453	38	36	96	di
5	1	5	1	1	9	1388	453	123	36	86	50000
5	1	5	1	1	10	1543	462	69	25	86	uo-
4	1	5	1	2	0	327	513	1038	45	-1	
5	1	5	1	2	1	327	514	106	43	96	mini,
5	1	5	1	2	2	456	523	21	26	96	e
5	1	5	1	2	3	496	513	67	36	96	che
5	1	5	1	2	4	583	514	36	36	96	vi
5	1	5	1	2	5	639	514	30	35	96	si
5	1	5	1	2	6	688	513	185	36	96	stabilisca
5	1	5	1	2	7	895	523	49	26	96	un
5	1	5	1	2	8	963	522	129	36	93	campo
5	1	5	1	2	9	1113	513	252	36	49	d’isfruzione.
3	1	5	2	0	0	328	570	1285	108	-1	
4	1	5	2	1	0	379	570	1234	49	-1	
5	1	5	2	1	1	379	573	62	40	91	N.°
5	1	5	2	1	2	472	574	85	36	93	327.
5	1	5	2	1	3	589	573	190	46	92	Borgolini
5	1	5	2	1	4	809	571	166	46	96	Stefano,
5	1	5	2	1	5	1008	573	37	34	96	di
5	1	5	2	1	6	1064	573	151	42	96	Torino,
5	1	5	2	1	7	1249	571	186	40	96	domanda
5	1	5	2	1	8	1461	570	67	37	96	che
5	1	5	2	1	9	1561	571	52	36	96	sia
4	1	5	2	2	0	328	630	1281	48	-1	
5	1	5	2	2	1	328	635	219	34	96	conservata
5	1	5	2	2	2	565	634	35	35	85	la
5	1	5	2	2	3	620	633	289	45	96	congregazione
5	1	5	2	2	4	928	631	99	47	96	degli
5	1	5	2	2	5	1043	631	121	36	96	Oblati
5	1	5	2	2	6	1184	631	37	36	96	di
5	1	5	2	2	7	1241	631	112	36	96	Maria
5	1	5	2	2	8	1381	630	228	37	93	Santissima.
3	1	5	3	0	0	328	690	1288	287	-1	
4	1	5	3	1	0	379	690	1236	47	-1	
5	1	5	3	1	1	379	693	61	38	92	N.°
5	1	5	3	1	2	469	693	86	34	71	528.
5	1	5	3	1	3	587	691	141	36	91	Carutti
5	1	5	3	1	4	753	691	184	46	96	Giuseppe
5	1	5	3	1	5	957	690	127	44	96	Maria,
5	1	5	3	1	6	1107	690	138	44	96	notaio,
5	1	5	3	1	7	1280	691	131	35	96	chiede
5	1	5	3	1	8	1440	690	67	36	93	che
5	1	5	3	1	9	1527	701	88	26	92	ven-
4	1	5	3	2	0	328	750	1287	48	-1	
5	1	5	3	2	1	328	761	95	37	92	gano
5	1	5	3	2	2	443	751	186	36	95	restituite
5	1	5	3	2	3	649	751	98	36	96	nelle
5	1	5	3	2	4	773	751	80	35	96	loro
5	1	5	3	2	5	875	750	146	37	96	cariche
5	1	5	3	2	6	1055	751	36	36	96	di
5	1	5	3	2	7	1123	751	128	36	96	madre
5	1	5	3	2	8	1279	762	21	25	96	e
5	1	5	3	2	9	1328	753	159	34	68	maestre
5	1	5	3	2	10	1519	751	96	35	96	nella
4	1	5	3	3	0	328	809	1285	48	-1	
5	1	5	3	3	1	328	821	81	25	96	casa
5	1	5	3	3	2	444	811	36	35	96	di
5	1	5	3	3	3	517	811	224	35	96	educazione
5	1	5	3	3	4	776	810	59	36	96	del
5	1	5	3	3	5	865	811	176	35	96	Soccorso
5	1	5	3	3	6	1069	811	35	35	96	le
5	1	5	3	3	7	1139	821	160	36	96	persone
5	1	5	3	3	8	1329	811	68	36	96	che
5	1	5	3	3	9	1425	811	36	35	96	vi
5	1	5	3	3	10	1480	809	133	37	96	furono
4	1	5	3	4	0	331	870	1285	47	-1	
5	1	5	3	4	1	331	871	156	43	96	escluse,
5	1	5	3	4	2	500	871	147	46	96	quando
5	1	5	3	4	3	660	871	35	35	95	le
5	1	5	3	4	4	712	873	116	33	96	Dame
5	1	5	3	4	5	847	870	60	36	96	del
5	1	5	3	4	6	921	871	111	35	55	Sacro
5	1	5	3	4	7	1047	871	118	36	96	Cuore
5	1	5	3	4	8	1183	870	133	36	96	furono
5	1	5	3	4	9	1332	871	175	46	96	preposte
5	1	5	3	4	10	1519	870	97	36	93	dalla
4	1	5	3	5	0	328	927	1285	50	-1	
5	1	5	3	5	1	328	931	224	46	82	Coinpagnia
5	1	5	3	5	2	571	931	37	35	96	di
5	1	5	3	5	3	627	933	72	33	96	San
5	1	5	3	5	4	717	931	110	35	96	Paolo
5	1	5	3	5	5	847	931	73	35	96	alla
5	1	5	3	5	6	940	930	188	36	96	direzione
5	1	5	3	5	7	1147	930	37	36	96	di
5	1	5	3	5	8	1201	931	127	46	96	quella
5	1	5	3	5	9	1347	939	94	27	93	casa.
5	1	5	3	5	10	1467	927	146	50	33	(4rcAh.)
3	1	5	4	0	0	329	987	1286	98	-1	
4	1	5	4	1	0	380	987	1235	39	-1	
5	1	5	4	1	1	380	998	53	27	60	IL
5	1	5	4	1	2	453	999	324	27	92	PRESIDENTE
5	1	5	4	1	3	807	990	184	35	92	annunzia
5	1	5	4	1	4	1009	990	68	36	96	che
5	1	5	4	1	5	1105	991	35	34	96	la
5	1	5	4	1	6	1169	991	152	35	96	Camera
5	1	5	4	1	7	1349	999	75	26	96	non
5	1	5	4	1	8	1443	987	20	38	96	è
5	1	5	4	1	9	1481	999	134	26	96	ancora
4	1	5	4	2	0	329	1049	222	36	-1	
5	1	5	4	2	1	329	1049	38	34	94	in
5	1	5	4	2	2	383	1059	168	26	94	numero.
3	1	5	5	0	0	333	1107	1284	108	-1	
4	1	5	5	1	0	379	1107	1238	50	-1	
5	1	5	5	1	1	379	1118	162	27	88	MOLTI
5	1	5	5	1	2	555	1118	262	27	30	DEPUTATI
5	1	5	5	1	3	836	1107	125	48	96	perciò
5	1	5	5	1	4	977	1109	232	37	93	domandano
5	1	5	5	1	5	1229	1109	174	48	86	l’appello
5	1	5	5	1	6	1431	1109	186	36	96	nominale
4	1	5	5	2	0	333	1158	400	57	-1	
5	1	5	5	2	1	333	1158	44	56	95	(È
5	1	5	5	2	2	396	1169	153	34	96	oramai
5	1	5	5	2	3	564	1167	169	48	94	un'ora).
3	1	5	6	0	0	331	1226	1286	107	-1	
4	1	5	6	1	0	380	1226	1237	47	-1	
5	1	5	6	1	1	380	1237	51	26	40	I,
5	1	5	6	1	2	459	1237	322	28	96	PRESIDENTE
5	1	5	6	1	3	811	1227	36	36	96	vi
5	1	5	6	1	4	879	1226	33	37	96	fa
5	1	5	6	1	5	941	1227	219	46	96	procedere,
5	1	5	6	1	6	1199	1238	20	25	93	e
5	1	5	6	1	7	1239	1227	181	38	91	risultano
