level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1501	117	294	85	-1	
3	1	1	1	0	0	1501	117	294	85	-1	
4	1	1	1	1	0	1501	117	294	85	-1	
5	1	1	1	1	1	1501	154	183	48	26	CT
2	1	2	0	0	0	317	232	2626	21	-1	
3	1	2	1	0	0	317	232	2626	21	-1	
4	1	2	1	1	0	317	232	2626	21	-1	
5	1	2	1	1	1	317	232	2626	21	95	 
2	1	3	0	0	0	317	252	2625	13	-1	
3	1	3	1	0	0	317	252	2625	13	-1	
4	1	3	1	1	0	317	252	2625	13	-1	
5	1	3	1	1	1	317	252	2625	13	95	 
2	1	4	0	0	0	924	278	1416	51	-1	
3	1	4	1	0	0	924	278	1416	51	-1	
4	1	4	1	1	0	924	278	1416	51	-1	
5	1	4	1	1	1	924	297	181	32	96	CAMERA
5	1	4	1	1	2	1140	296	75	32	96	DEI
5	1	4	1	1	3	1249	296	227	32	91	DEPUTATI
5	1	4	1	1	4	1509	309	67	4	92	—
5	1	4	1	1	5	1611	296	197	32	96	SECONDA
5	1	4	1	1	6	1844	294	208	32	71	SESSIONE
5	1	4	1	1	7	2087	296	85	30	96	DEL
5	1	4	1	1	8	2210	278	130	48	96	1849
2	1	5	0	0	0	308	360	2631	12	-1	
3	1	5	1	0	0	308	360	2631	12	-1	
4	1	5	1	1	0	308	360	2631	12	-1	
5	1	5	1	1	1	308	360	2631	12	95	 
2	1	6	0	0	0	308	371	2631	12	-1	
3	1	6	1	0	0	308	371	2631	12	-1	
4	1	6	1	1	0	308	371	2631	12	-1	
5	1	6	1	1	1	308	371	2631	12	95	 
2	1	7	0	0	0	295	414	1294	1768	-1	
3	1	7	1	0	0	304	414	1285	228	-1	
4	1	7	1	1	0	307	414	1281	52	-1	
5	1	7	1	1	1	307	420	130	46	96	taglia,
5	1	7	1	1	2	457	420	146	36	96	ricorre
5	1	7	1	1	3	623	428	69	37	96	per
5	1	7	1	1	4	709	429	50	27	96	un
5	1	7	1	1	5	780	418	173	36	95	sussidio.
5	1	7	1	1	6	969	420	47	34	96	La
5	1	7	1	1	7	1036	414	212	39	96	ricorrente
5	1	7	1	1	8	1263	414	20	39	97	è
5	1	7	1	1	9	1297	417	158	44	96	vedova,
5	1	7	1	1	10	1469	416	38	36	93	in
5	1	7	1	1	11	1523	425	65	37	93	po-
4	1	7	1	2	0	307	474	1281	50	-1	
5	1	7	1	2	1	307	489	90	27	96	vero
5	1	7	1	2	2	425	480	115	42	96	stato,
5	1	7	1	2	3	569	477	48	37	96	ha
5	1	7	1	2	4	651	481	57	32	96	tre
5	1	7	1	2	5	740	477	135	47	96	piccoli
5	1	7	1	2	6	903	476	93	48	96	figli,
5	1	7	1	2	7	1017	477	46	36	96	ed
5	1	7	1	2	8	1083	474	20	38	96	è
5	1	7	1	2	9	1123	477	60	47	97	nel
5	1	7	1	2	10	1203	485	85	27	96	caso
5	1	7	1	2	11	1308	476	165	45	96	previsto
5	1	7	1	2	12	1492	474	96	36	96	dalla
4	1	7	1	3	0	304	534	1285	51	-1	
5	1	7	1	3	1	304	538	108	47	96	legge
5	1	7	1	3	2	441	537	71	36	96	che
5	1	7	1	3	3	543	534	128	39	96	adottò
5	1	7	1	3	4	699	537	36	35	96	le
5	1	7	1	3	5	768	536	167	46	96	famiglie
5	1	7	1	3	6	955	536	36	36	96	di
5	1	7	1	3	7	1009	536	128	36	96	coloro
5	1	7	1	3	8	1165	534	70	38	96	che
5	1	7	1	3	9	1255	534	192	36	96	morirono
5	1	7	1	3	10	1467	544	69	36	95	per
5	1	7	1	3	11	1555	534	34	35	96	la
4	1	7	1	4	0	305	593	1026	54	-1	
5	1	7	1	4	1	305	593	135	54	96	patria.
5	1	7	1	4	2	1328	613	3	1	22	0
3	1	7	2	0	0	304	652	1284	108	-1	
4	1	7	2	1	0	355	652	1233	49	-1	
5	1	7	2	1	1	355	657	48	33	96	La
5	1	7	2	1	2	421	654	271	36	96	Commissione
5	1	7	2	1	3	707	656	34	34	96	vi
5	1	7	2	1	4	763	664	169	37	96	propone
5	1	7	2	1	5	953	653	130	37	88	l'invio
5	1	7	2	1	6	1099	653	98	37	90	della
5	1	7	2	1	7	1213	652	186	46	96	petizione
5	1	7	2	1	8	1412	653	35	35	96	al
5	1	7	2	1	9	1461	652	127	46	96	signor
4	1	7	2	2	0	304	713	595	47	-1	
5	1	7	2	2	1	304	713	173	37	96	ministro
5	1	7	2	2	2	497	713	36	36	96	di
5	1	7	2	2	3	549	724	138	36	96	guerra
5	1	7	2	2	4	704	724	20	25	95	e
5	1	7	2	2	5	744	713	155	36	96	marina.
3	1	7	3	0	0	353	770	1235	48	-1	
4	1	7	3	1	0	353	770	1235	48	-1	
5	1	7	3	1	1	353	784	152	33	89	mava,
5	1	7	3	1	2	525	773	183	36	96	ministro
5	1	7	3	1	3	728	772	104	36	96	della
5	1	7	3	1	4	849	781	154	36	94	guerra.
5	1	7	3	1	5	1020	773	52	35	96	Ha
