level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1529	309	294	49	-1	
3	1	1	1	0	0	1529	309	294	49	-1	
4	1	1	1	1	0	1529	309	294	49	-1	
5	1	1	1	1	1	1529	338	52	7	48	—
5	1	1	1	1	2	1625	309	98	49	85	878
5	1	1	1	1	3	1767	337	56	8	89	—
2	1	2	0	0	0	404	396	2525	47	-1	
3	1	2	1	0	0	404	396	2525	47	-1	
4	1	2	1	1	0	404	396	2525	47	-1	
5	1	2	1	1	1	404	396	2525	47	95	 
2	1	3	0	0	0	1029	453	1268	49	-1	
3	1	3	1	0	0	1029	453	1268	49	-1	
4	1	3	1	1	0	1029	453	1268	49	-1	
5	1	3	1	1	1	1029	465	203	37	96	CAMERA
5	1	3	1	1	2	1267	465	84	34	96	DEI
5	1	3	1	1	3	1385	462	248	37	93	DEPUTATI
5	1	3	1	1	4	1668	478	64	7	92	—
5	1	3	1	1	5	1771	462	229	36	96	SESSIONE
5	1	3	1	1	6	2036	463	93	36	96	DEL
5	1	3	1	1	7	2173	453	124	46	88	1859
2	1	4	0	0	0	421	519	2082	36	-1	
3	1	4	1	0	0	421	519	2082	36	-1	
4	1	4	1	1	0	421	519	2082	36	-1	
5	1	4	1	1	1	421	519	2082	36	95	 
2	1	5	0	0	0	391	601	1254	2985	-1	
3	1	5	1	0	0	391	601	1233	366	-1	
4	1	5	1	1	0	391	601	1228	56	-1	
5	1	5	1	1	1	391	609	38	37	96	al
5	1	5	1	1	2	435	605	146	52	96	paese,
5	1	5	1	1	3	599	605	136	52	92	voglia
5	1	5	1	1	4	749	605	187	49	92	degnarsi
5	1	5	1	1	5	956	603	40	39	96	di
5	1	5	1	1	6	1013	603	242	50	96	provvedere
5	1	5	1	1	7	1273	602	72	39	96	che
5	1	5	1	1	8	1364	601	29	38	96	il
5	1	5	1	1	9	1413	601	206	38	96	nominato
4	1	5	1	2	0	393	662	1227	59	-1	
5	1	5	1	2	1	393	666	70	43	72	suo
5	1	5	1	2	2	481	669	107	50	97	figlio
5	1	5	1	2	3	609	681	127	40	96	venga
5	1	5	1	2	4	756	667	41	38	96	di
5	1	5	1	2	5	816	678	129	28	96	nuovo
5	1	5	1	2	6	965	666	218	49	96	sottoposto
5	1	5	1	2	7	1203	665	78	38	96	alla
5	1	5	1	2	8	1300	665	121	38	96	visita
5	1	5	1	2	9	1439	662	62	39	93	del
5	1	5	1	2	10	1521	662	99	37	93	Con-
4	1	5	1	3	0	393	725	1228	57	-1	
5	1	5	1	3	1	393	726	114	56	93	siglio
5	1	5	1	3	2	527	730	201	49	96	superiore
5	1	5	1	3	3	745	730	175	39	96	militare
5	1	5	1	3	4	939	729	41	38	96	di
5	1	5	1	3	5	1008	729	143	46	96	sanità,
