level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1627	183	265	62	-1	
3	1	1	1	0	0	1627	183	265	62	-1	
4	1	1	1	1	0	1627	183	265	62	-1	
5	1	1	1	1	1	1627	226	48	9	90	—
5	1	1	1	1	2	1711	183	181	62	92	682
5	1	1	1	1	3	1824	179	66	78	89	—
2	1	2	0	0	0	445	275	2626	19	-1	
3	1	2	1	0	0	445	275	2626	19	-1	
4	1	2	1	1	0	445	275	2626	19	-1	
5	1	2	1	1	1	445	275	2626	19	95	 
2	1	3	0	0	0	445	296	2623	9	-1	
3	1	3	1	0	0	445	296	2623	9	-1	
4	1	3	1	1	0	445	296	2623	9	-1	
5	1	3	1	1	1	445	296	2623	9	95	 
2	1	4	0	0	0	1151	338	566	39	-1	
3	1	4	1	0	0	1151	338	566	39	-1	
4	1	4	1	1	0	1151	338	566	39	-1	
5	1	4	1	1	1	1151	338	204	39	46	CAMERA
5	1	4	1	1	2	1392	343	75	31	96	DEI
5	1	4	1	1	3	1497	341	220	33	96	DEPUTATI
2	1	5	0	0	0	1753	323	582	50	-1	
3	1	5	1	0	0	1753	323	582	50	-1	
4	1	5	1	1	0	1753	323	582	50	-1	
5	1	5	1	1	1	1753	351	68	10	93	—
5	1	5	1	1	2	1849	341	203	32	83	sessione
5	1	5	1	1	3	2089	341	84	32	96	DEL
5	1	5	1	1	4	2213	323	122	48	72	1861
2	1	6	0	0	0	440	407	2629	10	-1	
3	1	6	1	0	0	440	407	2629	10	-1	
4	1	6	1	1	0	440	407	2629	10	-1	
5	1	6	1	1	1	440	407	2629	10	95	 
2	1	7	0	0	0	441	417	2627	9	-1	
3	1	7	1	0	0	441	417	2627	9	-1	
4	1	7	1	1	0	441	417	2627	9	-1	
5	1	7	1	1	1	441	417	2627	9	95	 
2	1	8	0	0	0	427	463	1301	3818	-1	
3	1	8	1	0	0	429	463	1295	590	-1	
4	1	8	1	1	0	483	463	1241	51	-1	
5	1	8	1	1	1	483	467	25	34	96	E
5	1	8	1	1	2	529	467	63	46	96	qui
5	1	8	1	1	3	615	467	46	35	96	mi
5	1	8	1	1	4	683	469	188	45	96	permetto
5	1	8	1	1	5	891	469	36	36	96	di
5	1	8	1	1	6	948	469	132	34	96	notare
5	1	8	1	1	7	1099	467	82	44	96	che,
5	1	8	1	1	8	1204	477	40	25	96	se
5	1	8	1	1	9	1272	466	25	35	96	il
5	1	8	1	1	10	1331	469	172	34	96	Governo
5	1	8	1	1	11	1535	463	122	39	93	favorì
5	1	8	1	1	12	1685	465	39	34	96	in
4	1	8	1	2	0	432	523	1292	51	-1	
5	1	8	1	2	1	432	527	135	44	96	queste
5	1	8	1	2	2	587	527	148	36	96	antiche
5	1	8	1	2	3	751	527	193	47	93	provincie
5	1	8	1	2	4	972	527	241	36	91	l’attuazione
5	1	8	1	2	5	1243	526	37	36	96	di
5	1	8	1	2	6	1313	527	115	35	96	molte
5	1	8	1	2	7	1460	525	100	37	96	linee
5	1	8	1	2	8	1592	525	37	36	93	di
5	1	8	1	2	9	1644	523	80	39	93	fer-
4	1	8	1	3	0	429	582	1292	52	-1	
5	1	8	1	3	1	429	582	120	48	93	rovie,
5	1	8	1	3	2	571	586	25	36	96	il
5	1	8	1	3	3	617	587	168	47	96	maggior
5	1	8	1	3	4	805	597	158	26	96	numero
5	1	8	1	3	5	983	586	37	37	96	di
5	1	8	1	3	6	1039	597	81	26	96	esse
5	1	8	1	3	7	1140	585	20	38	96	è
5	1	8	1	3	8	1188	586	140	37	93	dovuto
5	1	8	1	3	9	1357	585	254	37	91	all’industria
5	1	8	1	3	10	1639	585	82	48	92	pri-
4	1	8	1	4	0	431	645	1293	49	-1	
5	1	8	1	4	1	431	647	98	42	96	vata,
5	1	8	1	4	2	548	646	144	37	96	avendo
5	1	8	1	4	3	729	657	82	26	96	esso
5	1	8	1	4	4	831	647	80	36	96	solo
5	1	8	1	4	5	943	645	90	40	93	fatta
5	1	8	1	4	6	1067	649	192	34	90	costrurre
5	1	8	1	4	7	1292	647	127	47	96	quella
5	1	8	1	4	8	1452	646	45	36	96	da
5	1	8	1	4	9	1525	647	151	34	96	Genova
5	1	8	1	4	10	1704	655	20	26	96	a
4	1	8	1	5	0	429	703	1295	52	-1	
5	1	8	1	5	1	429	703	139	38	96	Torino
5	1	8	1	5	2	599	705	45	36	96	ed
5	1	8	1	5	3	673	706	32	36	96	al
5	1	8	1	5	4	741	707	83	46	96	lago
5	1	8	1	5	5	845	707	202	48	96	Maggiore,
5	1	8	1	5	6	1069	717	20	25	96	e
5	1	8	1	5	7	1117	707	127	46	96	quella
5	1	8	1	5	8	1277	707	60	35	96	del
5	1	8	1	5	9	1365	706	174	44	96	litorale;
5	1	8	1	5	10	1571	705	98	36	96	ossia
5	1	8	1	5	11	1699	705	25	34	96	il
4	1	8	1	6	0	431	763	1293	50	-1	
5	1	8	1	6	1	431	763	173	38	96	Governo
5	1	8	1	6	2	624	765	111	37	96	diede
5	1	8	1	6	3	755	767	160	46	93	impulso
5	1	8	1	6	4	935	766	252	37	91	all’industria
5	1	8	1	6	5	1215	766	165	47	96	privata,
5	1	8	1	6	6	1413	765	58	36	96	col
5	1	8	1	6	7	1507	775	68	36	96	por
5	1	8	1	6	8	1612	775	112	26	96	mano
4	1	8	1	7	0	431	825	1293	46	-1	
5	1	8	1	7	1	431	831	82	28	96	esso
5	1	8	1	7	2	549	825	60	45	96	pel
5	1	8	1	7	3	647	826	122	45	93	primo
5	1	8	1	7	4	805	826	279	37	91	all’attuazione
5	1	8	1	7	5	1117	827	38	36	96	di
5	1	8	1	7	6	1184	826	167	39	96	ferrovie
5	1	8	1	7	7	1384	826	100	36	43	nello
5	1	8	1	7	8	1516	826	120	43	94	Stato,
5	1	8	1	7	9	1677	825	47	36	95	ed
4	1	8	1	8	0	429	882	1294	51	-1	
5	1	8	1	8	1	429	882	130	48	81	eseguì
5	1	8	1	8	2	580	885	35	36	96	le
5	1	8	1	8	3	635	883	64	48	96	più
5	1	8	1	8	4	720	885	235	48	96	importanti,
5	1	8	1	8	5	979	883	20	40	96	è
5	1	8	1	8	6	1019	897	106	34	96	vero,
5	1	8	1	8	7	1148	898	57	25	96	ma
5	1	8	1	8	8	1240	897	72	36	96	pur
5	1	8	1	8	9	1348	895	93	27	96	anco
5	1	8	1	8	10	1476	886	127	47	96	quelle
5	1	8	1	8	11	1639	885	84	44	96	che,
4	1	8	1	9	0	431	943	1293	50	-1	
5	1	8	1	9	1	431	953	68	36	96	per
5	1	8	1	9	2	517	943	180	38	96	difficoltà
5	1	8	1	9	3	717	946	38	35	96	di
5	1	8	1	9	4	789	949	154	33	95	terreno
5	1	8	1	9	5	969	955	22	27	96	a
5	1	8	1	9	6	1021	955	239	38	96	percorrere,
5	1	8	1	9	7	1295	946	34	36	96	la
5	1	8	1	9	8	1361	955	107	36	96	spesa
5	1	8	1	9	9	1501	945	164	37	96	riusciva
5	1	8	1	9	10	1693	943	31	38	95	sì
4	1	8	1	10	0	429	1003	1291	50	-1	
5	1	8	1	10	1	429	1003	299	46	95	considerevole,
5	1	8	1	10	2	747	1006	45	36	93	da
5	1	8	1	10	3	804	1007	192	35	92	rattenere
5	1	8	1	10	4	1011	1005	213	37	91	l’industria
5	1	8	1	10	5	1245	1006	147	47	93	privata
5	1	8	1	10	6	1411	1005	309	36	86	dall’assumerle.
3	1	8	2	0	0	427	1061	1298	824	-1	
4	1	8	2	1	0	481	1061	1242	50	-1	
