level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	332	297	508	56	-1	
3	1	1	1	0	0	332	297	508	56	-1	
4	1	1	1	1	0	332	297	508	56	-1	
5	1	1	1	1	1	332	297	119	56	71	Atti
5	1	1	1	1	2	480	303	360	50	77	Parlamentari.
2	1	2	0	0	0	1440	301	292	52	-1	
3	1	2	1	0	0	1440	301	292	52	-1	
4	1	2	1	1	0	1440	301	292	52	-1	
5	1	2	1	1	1	1440	335	55	11	81	—
5	1	2	1	1	2	1529	301	111	52	90	2081
5	1	2	1	1	3	1679	335	53	6	90	—
2	1	3	0	0	0	537	406	1934	43	-1	
3	1	3	1	0	0	537	406	1934	43	-1	
4	1	3	1	1	0	537	406	1934	43	-1	
5	1	3	1	1	1	537	419	319	30	92	LEGISLATURA
5	1	3	1	1	2	885	419	62	28	79	xV
5	1	3	1	1	3	981	430	54	5	92	—
5	1	3	1	1	4	1072	406	47	41	46	1®
5	1	3	1	1	5	1151	418	208	29	91	SESSIONE
5	1	3	1	1	6	1393	430	54	4	90	—
5	1	3	1	1	7	1480	406	276	41	93	DISCUSSIONI
5	1	3	1	1	8	1791	429	53	5	91	—
5	1	3	1	1	9	1879	418	214	29	96	TORNATA
5	1	3	1	1	10	2124	418	88	28	96	DEL
5	1	3	1	1	11	2248	406	23	40	21	7
5	1	3	1	1	12	2305	419	166	27	82	APRILE
2	1	4	0	0	0	2464	383	155	102	-1	
3	1	4	1	0	0	2464	383	155	102	-1	
4	1	4	1	1	0	2464	383	155	102	-1	
5	1	4	1	1	1	2464	482	15	3	0	s
5	1	4	1	1	2	2499	383	120	64	41	1888
2	1	5	0	0	0	1701	482	754	1	-1	
3	1	5	1	0	0	1701	482	754	1	-1	
4	1	5	1	1	0	1701	482	754	1	-1	
5	1	5	1	1	1	1701	482	754	1	95	 
2	1	6	0	0	0	331	480	2513	14	-1	
3	1	6	1	0	0	331	480	2513	14	-1	
4	1	6	1	1	0	331	480	2513	14	-1	
5	1	6	1	1	1	331	480	2513	14	95	 
2	1	7	0	0	0	320	563	1233	2482	-1	
3	1	7	1	0	0	320	563	1228	112	-1	
4	1	7	1	1	0	320	563	1228	60	-1	
5	1	7	1	1	1	320	566	172	41	96	battere
5	1	7	1	1	2	515	563	30	43	96	il
5	1	7	1	1	3	568	565	232	42	96	malessere
5	1	7	1	1	4	824	565	77	42	65	cho
5	1	7	1	1	5	924	566	229	57	96	serpeggia
5	1	7	1	1	6	1176	565	80	54	96	più
5	1	7	1	1	7	1279	579	21	27	96	o
5	1	7	1	1	8	1327	579	126	26	93	meno
5	1	7	1	1	9	1487	563	61	42	83	la-
4	1	7	1	2	0	328	634	445	41	-1	
5	1	7	1	2	1	328	639	119	36	91	tente
5	1	7	1	2	2	471	641	68	34	96	tra
5	1	7	1	2	3	559	634	40	41	96	le
5	1	7	1	2	4	620	649	153	26	83	masse.
3	1	7	2	0	0	321	701	1232	1080	-1	
4	1	7	2	1	0	383	701	1162	57	-1	
5	1	7	2	1	1	383	702	184	55	96	Quando
5	1	7	2	1	2	591	702	58	55	96	gli
5	1	7	2	1	3	680	703	145	55	96	operai
5	1	7	2	1	4	863	702	170	41	96	italiani
5	1	7	2	1	5	1072	701	191	42	96	abbiano
5	1	7	2	1	6	1301	702	244	40	96	assicurato
4	1	7	2	2	0	323	770	1229	57	-1	
5	1	7	2	2	1	323	770	100	57	95	quel
5	1	7	2	2	2	444	770	149	41	96	lavoro
5	1	7	2	2	3	632	770	79	41	96	che
5	1	7	2	2	4	741	770	130	41	96	frutti
5	1	7	2	2	5	909	785	62	26	96	un
5	1	7	2	2	6	1008	770	168	41	96	modico
5	1	7	2	2	7	1215	774	337	37	96	sostentamento
4	1	7	2	3	0	331	835	1221	58	-1	
5	1	7	2	3	1	331	854	88	27	95	non
5	1	7	2	3	2	440	841	44	38	96	vi
5	1	7	2	3	3	509	841	98	40	96	sarà
5	1	7	2	3	4	628	838	183	55	96	bisogno
5	1	7	2	3	5	835	838	44	41	96	di
5	1	7	2	3	6	916	838	116	55	96	leggi
5	1	7	2	3	7	1055	838	44	41	96	di
5	1	7	2	3	8	1128	837	280	56	96	previdenza,
5	1	7	2	3	9	1431	837	54	40	81	nè
5	1	7	2	3	10	1509	835	43	42	96	di
4	1	7	2	4	0	328	905	1223	57	-1	
5	1	7	2	4	1	328	907	280	55	96	repressioni,
5	1	7	2	4	2	633	922	22	25	96	e
5	1	7	2	4	3	692	921	195	41	96	neppure
5	1	7	2	4	4	911	907	13	40	91	i
5	1	7	2	4	5	963	906	200	41	92	cosidetti
5	1	7	2	4	6	1201	905	168	42	93	tribuni
5	1	7	2	4	7	1408	911	143	35	87	trove-
4	1	7	2	5	0	327	971	1225	59	-1	
5	1	7	2	5	1	327	990	136	27	96	ranno
5	1	7	2	5	2	487	990	150	40	94	campo
5	1	7	2	5	3	676	990	77	40	93	per
5	1	7	2	5	4	776	975	249	42	91	attecchire.
5	1	7	2	5	5	1052	974	168	53	96	Quindi
5	1	7	2	5	6	1243	974	42	41	97	la
5	1	7	2	5	7	1312	973	139	42	96	difesa
5	1	7	2	5	8	1484	971	68	43	96	del
4	1	7	2	6	0	323	1043	1230	54	-1	
5	1	7	2	6	1	323	1043	154	43	96	lavoro
5	1	7	2	6	2	500	1043	241	54	96	nazionale,
5	1	7	2	6	3	767	1043	77	42	96	che
5	1	7	2	6	4	884	1045	40	40	96	io
5	1	7	2	6	5	949	1043	55	42	95	ho
5	1	7	2	6	6	1033	1049	198	48	96	trattata,
5	1	7	2	6	7	1255	1043	182	40	96	soltanto
5	1	7	2	6	8	1475	1057	78	38	93	per
4	1	7	2	7	0	323	1110	1228	44	-1	
5	1	7	2	7	1	323	1113	66	41	96	ciò
5	1	7	2	7	2	431	1113	78	41	95	che
5	1	7	2	7	3	543	1114	34	39	96	si
5	1	7	2	7	4	601	1114	167	40	92	attiene
5	1	7	2	7	5	792	1111	473	42	80	all’amministrazione
5	1	7	2	7	6	1289	1110	111	41	93	della
5	1	7	2	7	7	1420	1110	131	41	92	mari-
4	1	7	2	8	0	321	1177	1230	58	-1	
5	1	7	2	8	1	321	1182	126	40	92	neria
5	1	7	2	8	2	465	1182	104	53	96	(non
5	1	7	2	8	3	588	1181	185	41	93	volendo
5	1	7	2	8	4	795	1181	134	40	92	escire
5	1	7	2	8	5	948	1179	115	42	96	dalla
5	1	7	2	8	6	1087	1179	265	42	96	discussione
