level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	321	980	18	80	-1	
3	1	1	1	0	0	321	980	18	80	-1	
4	1	1	1	1	0	321	980	18	80	-1	
5	1	1	1	1	1	321	980	18	80	27	<a
2	1	2	0	0	0	385	4175	275	50	-1	
3	1	2	1	0	0	385	4175	275	50	-1	
4	1	2	1	1	0	385	4175	275	50	-1	
5	1	2	1	1	1	385	4175	275	50	96	rimpianto.
2	1	3	0	0	0	501	333	456	44	-1	
3	1	3	1	0	0	501	333	456	44	-1	
4	1	3	1	1	0	501	333	456	44	-1	
5	1	3	1	1	1	501	333	90	43	96	Atti
5	1	3	1	1	2	623	333	334	44	96	Parlamentari
2	1	4	0	0	0	1536	321	292	45	-1	
3	1	4	1	0	0	1536	321	292	45	-1	
4	1	4	1	1	0	1536	321	292	45	-1	
5	1	4	1	1	1	1536	354	47	7	90	—
5	1	4	1	1	2	1621	321	207	45	87	6990
5	1	4	1	1	3	1760	317	68	67	87	—
2	1	5	0	0	0	2312	329	560	56	-1	
3	1	5	1	0	0	2312	329	560	56	-1	
4	1	5	1	1	0	2312	329	560	56	-1	
5	1	5	1	1	1	2312	329	190	43	96	Camera
5	1	5	1	1	2	2539	330	75	43	96	dei
5	1	5	1	1	3	2654	330	218	55	96	Deputati
2	1	6	0	0	0	595	445	2147	55	-1	
3	1	6	1	0	0	595	445	2147	55	-1	
4	1	6	1	1	0	595	445	2147	55	-1	
5	1	6	1	1	1	595	461	310	32	96	LEGISLATURA
5	1	6	1	1	2	939	462	93	31	92	XXV
5	1	6	1	1	3	1081	474	27	7	86	-
5	1	6	1	1	4	1181	450	39	44	67	1°
5	1	6	1	1	5	1255	461	222	35	92	SESSIONE
5	1	6	1	1	6	1504	478	17	8	92	-
5	1	6	1	1	7	1556	458	302	36	93	DISCUSSIONI
5	1	6	1	1	8	1894	474	10	8	92	-
5	1	6	1	1	9	1947	457	205	36	96	TORNATA
5	1	6	1	1	10	2184	458	84	30	96	DEL
5	1	6	1	1	11	2302	445	56	44	93	26
5	1	6	1	1	12	2394	458	201	31	36	aExnAIO
5	1	6	1	1	13	2632	445	110	45	41	1991
2	1	7	0	0	0	403	614	1216	2673	-1	
3	1	7	1	0	0	428	614	1191	363	-1	
4	1	7	1	1	0	432	614	1187	51	-1	
5	1	7	1	1	1	432	626	23	27	81	e
5	1	7	1	1	2	480	614	71	39	74	da
5	1	7	1	1	3	587	628	64	26	95	un
5	1	7	1	1	4	688	616	187	38	96	assiduo
5	1	7	1	1	5	912	617	59	37	92	ed
