level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	279	341	461	40	-1	
3	1	1	1	0	0	279	341	461	40	-1	
4	1	1	1	1	0	279	341	461	40	-1	
5	1	1	1	1	1	279	342	94	39	72	Atti
5	1	1	1	1	2	401	341	339	40	95	Parlamentari
2	1	2	0	0	0	1327	342	273	43	-1	
3	1	2	1	0	0	1327	342	273	43	-1	
4	1	2	1	1	0	1327	342	273	43	-1	
5	1	2	1	1	1	1327	367	56	6	92	—
5	1	2	1	1	2	1423	342	85	43	92	308
5	1	2	1	1	3	1538	367	62	6	92	—
2	1	3	0	0	0	2115	341	540	50	-1	
3	1	3	1	0	0	2115	341	540	50	-1	
4	1	3	1	1	0	2115	341	540	50	-1	
5	1	3	1	1	1	2115	341	189	40	95	Camera
5	1	3	1	1	2	2336	342	74	39	94	dei
5	1	3	1	1	3	2439	342	216	49	96	Deputati
2	1	4	0	0	0	229	412	2481	30	-1	
3	1	4	1	0	0	229	412	2481	30	-1	
4	1	4	1	1	0	229	412	2481	30	-1	
5	1	4	1	1	1	229	412	2481	30	95	 
2	1	5	0	0	0	229	423	2482	19	-1	
3	1	5	1	0	0	229	423	2482	19	-1	
4	1	5	1	1	0	229	423	2482	19	-1	
5	1	5	1	1	1	229	423	2482	19	95	 
2	1	6	0	0	0	229	424	2481	26	-1	
3	1	6	1	0	0	229	424	2481	26	-1	
4	1	6	1	1	0	229	424	2481	26	-1	
5	1	6	1	1	1	229	424	2481	26	95	 
2	1	7	0	0	0	349	461	2156	42	-1	
3	1	7	1	0	0	349	461	2156	42	-1	
4	1	7	1	1	0	349	461	2156	42	-1	
5	1	7	1	1	1	349	470	306	31	96	LEGISLATURA
5	1	7	1	1	2	689	470	136	29	91	XXVII
5	1	7	1	1	3	860	485	51	2	92	—
5	1	7	1	1	4	948	463	39	36	0	i
5	1	7	1	1	5	1024	470	204	31	93	SESSIONE
5	1	7	1	1	6	1264	485	51	2	92	—
5	1	7	1	1	7	1350	469	281	32	93	DISCUSSIONI
5	1	7	1	1	8	1664	485	54	2	93	—
5	1	7	1	1	9	1751	470	191	29	93	TORNATA
5	1	7	1	1	10	1974	474	82	28	79	pEL
5	1	7	1	1	11	2095	461	52	42	91	16
5	1	7	1	1	12	2180	474	175	29	41	magaIio
5	1	7	1	1	13	2394	461	111	42	94	1999
2	1	8	0	0	0	231	533	2480	21	-1	
3	1	8	1	0	0	231	533	2480	21	-1	
4	1	8	1	1	0	231	533	2480	21	-1	
5	1	8	1	1	1	231	533	2480	21	95	 
2	1	9	0	0	0	224	625	1204	3617	-1	
3	1	9	1	0	0	224	625	1191	552	-1	
4	1	9	1	1	0	224	625	1186	52	-1	
5	1	9	1	1	1	224	626	203	51	95	rapidità
5	1	9	1	1	2	465	626	43	40	96	la
5	1	9	1	1	3	548	626	179	40	96	fusione
5	1	9	1	1	4	768	626	118	51	24	degli
5	1	9	1	1	5	927	625	143	40	96	animi
5	1	9	1	1	6	1112	629	71	36	96	tra
5	1	9	1	1	7	1224	625	59	50	92	gli
5	1	9	1	1	8	1324	625	86	40	91	ita-
4	1	9	1	2	0	224	687	1184	51	-1	
5	1	9	1	2	1	224	687	107	40	92	liani
5	1	9	1	2	2	368	689	113	37	96	delle
5	1	9	1	2	3	516	689	185	38	96	vecchie
5	1	9	1	2	4	737	699	20	28	96	e
5	1	9	1	2	5	796	687	139	51	95	quelli
5	1	9	1	2	6	971	687	115	40	96	delle
5	1	9	1	2	7	1120	699	151	27	89	nuove
5	1	9	1	2	8	1307	698	101	40	89	pro-
4	1	9	1	3	0	224	749	1188	52	-1	
5	1	9	1	3	1	224	750	164	48	89	vincie,
5	1	9	1	3	2	411	750	81	39	96	che
5	1	9	1	3	3	512	750	332	39	44	l'unificazione
5	1	9	1	3	4	866	750	273	51	96	legislativa,
5	1	9	1	3	5	1162	761	112	40	96	pure
5	1	9	1	3	6	1295	749	117	40	96	sulla
4	1	9	1	4	0	225	813	1183	48	-1	
5	1	9	1	4	1	225	813	108	38	96	base
5	1	9	1	4	2	373	813	70	38	96	dei
5	1	9	1	4	3	481	813	158	40	96	vecchi
5	1	9	1	4	4	680	813	157	48	96	codici,
5	1	9	1	4	5	880	813	59	40	96	ha
5	1	9	1	4	6	980	815	215	36	95	ottenuto
5	1	9	1	4	7	1235	813	29	37	92	il
5	1	9	1	4	8	1303	823	105	30	92	con-
4	1	9	1	5	0	227	874	1183	52	-1	
5	1	9	1	5	1	227	886	145	37	96	senso,
5	1	9	1	5	2	401	874	34	39	81	sl
5	1	9	1	5	3	463	874	92	51	65	puo
5	1	9	1	5	4	583	875	93	39	96	dire
5	1	9	1	5	5	703	875	233	48	96	unanime,
5	1	9	1	5	6	967	875	115	39	93	delle
5	1	9	1	5	7	1110	875	300	51	87	patriottiche
4	1	9	1	6	0	227	938	1183	51	-1	
5	1	9	1	6	1	227	938	288	51	94	popolazioni
5	1	9	1	6	2	579	938	113	40	78	delie
5	1	9	1	6	3	752	938	194	40	78	Venezie
