level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	169	344	582	40	-1	
3	1	1	1	0	0	169	344	582	40	-1	
4	1	1	1	1	0	169	344	582	40	-1	
5	1	1	1	1	1	169	344	294	40	78	ASSEMBLEA
5	1	1	1	1	2	497	344	254	40	90	PLENARIA
2	1	2	0	0	0	165	402	2472	34	-1	
3	1	2	1	0	0	165	402	2472	34	-1	
4	1	2	1	1	0	165	402	2472	34	-1	
5	1	2	1	1	1	165	402	2472	34	95	 
2	1	3	0	0	0	165	405	2472	31	-1	
3	1	3	1	0	0	165	405	2472	31	-1	
4	1	3	1	1	0	165	405	2472	31	-1	
5	1	3	1	1	1	165	405	2472	31	95	 
2	1	4	0	0	0	1317	411	1328	20	-1	
3	1	4	1	0	0	1317	411	1328	20	-1	
4	1	4	1	1	0	1317	411	1328	20	-1	
5	1	4	1	1	1	1317	411	1328	20	95	 
2	1	5	0	0	0	2073	344	573	43	-1	
3	1	5	1	0	0	2073	344	573	43	-1	
4	1	5	1	1	0	2073	344	573	43	-1	
5	1	5	1	1	1	2073	350	24	37	77	2
5	1	5	1	1	2	2133	344	169	43	93	Manzo
5	1	5	1	1	3	2342	344	304	43	77	1940-XVILI
2	1	6	0	0	0	380	466	2064	45	-1	
3	1	6	1	0	0	380	466	2064	45	-1	
4	1	6	1	1	0	380	466	2064	45	-1	
5	1	6	1	1	1	380	466	169	42	47	XXX4
5	1	6	1	1	2	580	478	336	32	91	LEGISLATURA
5	1	6	1	1	3	948	491	61	5	91	—
5	1	6	1	1	4	1042	466	44	41	41	I°
5	1	6	1	1	5	1117	479	160	29	96	DELLA
5	1	6	1	1	6	1312	480	196	30	95	CAMERA
5	1	6	1	1	7	1541	480	87	30	95	DEI
5	1	6	1	1	8	1661	480	137	30	96	FASCI
5	1	6	1	1	9	1830	482	30	28	88	E
5	1	6	1	1	10	1893	480	157	30	96	DELLE
5	1	6	1	1	11	2088	480	356	31	95	CORPORAZIONI
2	1	7	0	0	0	168	535	2475	26	-1	
3	1	7	1	0	0	168	535	2475	26	-1	
4	1	7	1	1	0	168	535	2475	26	-1	
5	1	7	1	1	1	168	535	2475	26	95	 
2	1	8	0	0	0	165	628	1207	3603	-1	
3	1	8	1	0	0	165	628	1191	426	-1	
4	1	8	1	1	0	261	628	1093	52	-1	
5	1	8	1	1	1	261	628	47	38	95	To
5	1	8	1	1	2	339	630	178	49	94	ritengo
5	1	8	1	1	3	549	628	82	40	96	che
5	1	8	1	1	4	661	628	34	40	78	si
5	1	8	1	1	5	741	628	152	40	95	debba
5	1	8	1	1	6	921	630	209	38	36	resistere
5	1	8	1	1	7	1161	630	53	38	96	ad
5	1	8	1	1	8	1250	630	104	50	96	ogni
4	1	8	1	2	0	168	691	1185	49	-1	
5	1	8	1	2	1	168	692	233	39	96	tentativo
5	1	8	1	2	2	443	691	45	39	96	di
5	1	8	1	2	3	527	695	270	36	93	aumentare
5	1	8	1	2	4	842	692	87	39	78	lale
5	1	8	1	2	5	960	694	314	46	96	competenza,
5	1	8	1	2	6	1309	703	44	28	96	se
4	1	8	1	3	0	168	752	1186	52	-1	
5	1	8	1	3	1	168	763	92	28	96	non
5	1	8	1	3	2	293	754	36	38	96	si
5	1	8	1	3	3	363	752	136	40	96	vuole
5	1	8	1	3	4	533	763	251	41	91	aggravare
5	1	8	1	3	5	817	752	29	39	96	il
5	1	8	1	3	6	882	752	239	52	95	problema
5	1	8	1	3	7	1154	752	71	40	93	del
5	1	8	1	3	8	1256	763	98	39	91	per-
4	1	8	1	4	0	165	807	1189	57	-1	
5	1	8	1	4	1	165	815	158	40	96	sonale
5	1	8	1	4	2	368	816	45	38	96	di
5	1	8	1	4	3	460	807	207	56	93	Pretura,
5	1	8	1	4	4	713	816	295	39	92	rendendone
5	1	8	1	4	5	1052	816	77	48	96	più
5	1	8	1	4	6	1174	815	180	40	95	difficile
4	1	8	1	5	0	167	878	1189	50	-1	
5	1	8	1	5	1	167	878	29	38	92	il
5	1	8	1	5	2	243	878	73	50	96	già
5	1	8	1	5	3	363	878	253	50	88	complesso
5	1	8	1	5	4	664	878	156	38	96	lavoro
5	1	8	1	5	5	869	878	55	38	96	ed
5	1	8	1	5	6	970	878	294	49	95	appesantire
5	1	8	1	5	7	1312	879	44	39	91	la
4	1	8	1	6	0	167	939	1187	52	-1	
5	1	8	1	6	1	167	940	254	39	59	situazione
5	1	8	1	6	2	467	940	118	51	96	degli
5	1	8	1	6	3	631	939	214	40	96	avvocati
5	1	8	1	6	4	890	952	23	27	95	e
5	1	8	1	6	5	956	939	288	51	95	procuratori
5	1	8	1	6	6	1285	939	69	40	96	dei
4	1	8	1	7	0	167	1002	834	52	-1	
5	1	8	1	7	1	167	1002	162	52	96	grandi
5	1	8	1	7	2	361	1002	159	41	94	centri.
5	1	8	1	7	3	998	1023	3	1	25	:
3	1	8	2	0	0	168	1063	1194	1667	-1	
4	1	8	2	1	0	261	1063	1095	52	-1	
5	1	8	2	1	1	261	1064	64	40	96	La
5	1	8	2	1	2	352	1068	147	36	96	stessa
5	1	8	2	1	3	528	1064	235	51	96	prudenza
5	1	8	2	1	4	791	1075	85	29	96	con
5	1	8	2	1	5	905	1064	43	39	96	la
5	1	8	2	1	6	977	1063	135	51	96	quale
5	1	8	2	1	7	1140	1064	70	39	95	nel
5	1	8	2	1	8	1244	1064	112	39	95	1922
4	1	8	2	2	0	168	1126	1185	52	-1	
5	1	8	2	2	1	168	1128	35	39	96	si
5	1	8	2	2	2	229	1127	134	51	96	portò
5	1	8	2	2	3	389	1128	59	38	96	da
5	1	8	2	2	4	471	1128	130	48	96	1,500
5	1	8	2	2	5	623	1138	25	28	96	a
5	1	8	2	2	6	671	1128	133	47	96	5,000
5	1	8	2	2	7	824	1126	80	40	95	lire
5	1	8	2	2	8	925	1127	92	39	58	tale
5	1	8	2	2	9	1038	1128	315	48	92	competenza,
4	1	8	2	3	0	169	1187	1184	53	-1	
5	1	8	2	3	1	169	1190	222	50	96	consiglia
5	1	8	2	3	2	421	1190	108	49	93	oggi
5	1	8	2	3	3	555	1190	194	38	90	caulela.
5	1	8	2	3	4	788	1188	15	38	95	I
5	1	8	2	3	5	834	1188	167	39	25	motivi
5	1	8	2	3	6	1037	1187	243	51	96	principali
5	1	8	2	3	7	1313	1187	40	39	96	di
4	1	8	2	4	0	172	1250	1186	41	-1	
5	1	8	2	4	1	172	1251	91	39	95	tale
5	1	8	2	4	2	295	1251	261	40	96	elevazione
5	1	8	2	4	3	589	1251	166	37	91	furono
5	1	8	2	4	4	779	1250	142	40	96	allora
5	1	8	2	4	5	941	1251	43	37	96	la
5	1	8	2	4	6	1006	1251	228	39	92	eccessiva
5	1	8	2	4	7	1256	1262	102	26	92	sva-
4	1	8	2	5	0	169	1312	1187	42	-1	
5	1	8	2	5	1	169	1314	232	38	90	lutazione
5	1	8	2	5	2	424	1312	119	42	96	della
5	1	8	2	5	3	571	1315	190	37	96	moneta
5	1	8	2	5	4	783	1324	21	28	96	e
5	1	8	2	5	5	826	1312	290	39	0	l'abolizione
5	1	8	2	5	6	1138	1312	44	39	96	di
5	1	8	2	5	7	1205	1312	151	39	96	alcuni
4	1	8	2	6	0	175	1374	1183	50	-1	
5	1	8	2	6	1	175	1375	234	48	43	(ribunali;
5	1	8	2	6	2	459	1387	89	36	96	ma,
5	1	8	2	6	3	597	1378	180	36	96	mentre
5	1	8	2	6	4	826	1375	151	49	95	questi
5	1	8	2	6	5	1025	1374	35	38	91	si
5	1	8	2	6	6	1108	1384	154	30	95	vanno
5	1	8	2	6	7	1310	1375	48	37	93	in
4	1	8	2	7	0	172	1435	1188	53	-1	
5	1	8	2	7	1	172	1440	131	48	93	parte
5	1	8	2	7	2	323	1436	350	48	92	ricostituendo,
5	1	8	2	7	3	696	1447	92	28	95	non
5	1	8	2	7	4	809	1436	21	39	92	è
5	1	8	2	7	5	845	1436	137	43	45	detlo
5	1	8	2	7	6	1005	1435	81	40	96	che
5	1	8	2	7	7	1106	1436	44	39	96	la
5	1	8	2	7	8	1168	1439	192	37	88	moneta.
4	1	8	2	8	0	169	1498	1185	53	-1	
5	1	8	2	8	1	169	1500	67	39	95	sia
5	1	8	2	8	2	264	1500	367	51	93	maggiormente
5	1	8	2	8	3	660	1499	238	39	73	svalutata
5	1	8	2	8	4	929	1498	71	40	91	del
5	1	8	2	8	5	1029	1499	120	49	96	dopo
5	1	8	2	8	6	1178	1510	176	38	96	guerra.
4	1	8	2	9	0	176	1560	1181	42	-1	
5	1	8	2	9	1	176	1562	16	38	96	I
5	1	8	2	9	2	231	1562	172	40	96	recenti
5	1	8	2	9	3	441	1560	316	40	96	allineamenti
5	1	8	2	9	4	796	1560	120	40	95	della
5	1	8	2	9	5	952	1560	85	39	95	lira
5	1	8	2	9	6	1073	1571	92	27	95	non
5	1	8	2	9	7	1202	1560	155	39	96	hanno
4	1	8	2	10	0	173	1623	1185	51	-1	
5	1	8	2	10	1	173	1624	223	40	93	distrutto
5	1	8	2	10	2	436	1623	236	40	91	l’efficacia
5	1	8	2	10	3	711	1623	119	39	96	della
5	1	8	2	10	4	872	1623	337	39	93	rivalutazione
5	1	8	2	10	5	1253	1632	105	42	92	ope-
4	1	8	2	11	0	172	1684	1185	52	-1	
5	1	8	2	11	1	172	1688	103	39	96	rata
5	1	8	2	11	2	317	1687	76	40	96	dal
5	1	8	2	11	3	440	1686	191	50	96	Regime
5	1	8	2	11	4	669	1684	151	40	42	alcuni
5	1	8	2	11	5	852	1684	106	39	96	anni
5	1	8	2	11	6	1004	1695	49	27	96	or
5	1	8	2	11	7	1094	1695	111	29	96	sono
5	1	8	2	11	8	1250	1686	55	37	96	ed
5	1	8	2	11	9	1336	1684	21	39	79	è
4	1	8	2	12	0	172	1747	1186	51	-1	
5	1	8	2	12	1	172	1751	60	37	96	da
5	1	8	2	12	2	273	1751	155	37	96	tenere
5	1	8	2	12	3	471	1750	210	48	96	presente
5	1	8	2	12	4	725	1747	96	48	89	che;
5	1	8	2	12	5	853	1748	209	50	96	appunto
5	1	8	2	12	6	1104	1747	118	39	91	nella
5	1	8	2	12	7	1260	1759	98	39	91	spe-
4	1	8	2	13	0	172	1808	1184	51	-1	
5	1	8	2	13	1	172	1822	140	29	96	ranza
5	1	8	2	13	2	343	1812	44	38	96	di
5	1	8	2	13	3	417	1822	94	28	77	una,
5	1	8	2	13	4	548	1810	352	49	96	rivalutazione,
5	1	8	2	13	5	942	1811	134	37	96	tanto
5	1	8	2	13	6	1117	1808	71	40	96	nel
5	1	8	2	13	7	1229	1810	127	48	96	1922,
4	1	8	2	14	0	173	1870	1187	54	-1	
5	1	8	2	14	1	173	1876	176	48	96	quanto
5	1	8	2	14	2	381	1872	68	40	96	nei
5	1	8	2	14	3	483	1871	201	52	96	progetti
5	1	8	2	14	4	716	1871	71	40	96	del
5	1	8	2	14	5	820	1871	68	37	0	19
5	1	8	2	14	6	918	1883	22	28	96	e
5	1	8	2	14	7	972	1871	70	39	93	del
5	1	8	2	14	8	1076	1870	82	50	79	’20,
5	1	8	2	14	9	1190	1871	36	39	93	si
5	1	8	2	14	10	1257	1882	103	40	92	pro-
4	1	8	2	15	0	173	1927	1187	60	-1	
5	1	8	2	15	1	173	1947	108	40	96	pose
5	1	8	2	15	2	312	1936	44	39	96	di
5	1	8	2	15	3	388	1935	179	40	96	elevare
5	1	8	2	15	4	585	1927	203	47	96	soltanto
5	1	8	2	15	5	809	1946	27	28	96	a
5	1	8	2	15	6	858	1934	80	38	96	lire
5	1	8	2	15	7	960	1935	132	47	96	3,000
5	1	8	2	15	8	1114	1934	43	38	75	la
5	1	8	2	15	9	1177	1944	183	40	92	compe-
4	1	8	2	16	0	173	1996	1188	51	-1	
5	1	8	2	16	1	173	2002	136	36	96	tenza
5	1	8	2	16	2	343	1998	72	40	59	del
5	1	8	2	16	3	451	1996	200	40	96	Pretore.
5	1	8	2	16	4	692	1996	130	39	96	Della
5	1	8	2	16	5	856	1996	192	39	96	riforma
5	1	8	2	16	6	1081	1996	75	51	96	poi
5	1	8	2	16	7	1190	1996	36	39	92	si
5	1	8	2	16	8	1261	2008	100	28	92	sen-
4	1	8	2	17	0	173	2056	1187	54	-1	
5	1	8	2	17	1	173	2062	112	38	59	tiva’
5	1	8	2	17	2	315	2060	92	40	96	così
5	1	8	2	17	3	451	2070	113	40	96	poco
5	1	8	2	17	4	607	2059	190	51	95	bisogno
5	1	8	2	17	5	832	2058	90	40	96	che
5	1	8	2	17	6	965	2056	99	42	96	essa
5	1	8	2	17	7	1105	2058	48	38	91	fu
5	1	8	2	17	8	1197	2068	163	40	91	conge-
4	1	8	2	18	0	173	2119	1185	55	-1	
5	1	8	2	18	1	173	2124	144	50	92	gnata
5	1	8	2	18	2	356	2122	47	38	96	in
5	1	8	2	18	3	443	2122	138	38	96	modo
5	1	8	2	18	4	625	2120	59	39	96	da
5	1	8	2	18	5	724	2120	258	39	96	consentire
5	1	8	2	18	6	1024	2119	85	40	96	alle
5	1	8	2	18	7	1152	2120	120	50	96	parti
5	1	8	2	18	8	1314	2120	44	39	96	di
4	1	8	2	19	0	172	2180	1189	52	-1	
5	1	8	2	19	1	172	2184	125	40	96	adire
5	1	8	2	19	2	328	2184	12	39	95	i
5	1	8	2	19	3	372	2183	241	39	96	Tribunali
5	1	8	2	19	4	645	2183	144	39	96	anche
5	1	8	2	19	5	821	2191	81	40	96	per
5	1	8	2	19	6	932	2180	148	52	95	quelle
5	1	8	2	19	7	1112	2192	134	30	96	cause
5	1	8	2	19	8	1278	2182	83	40	95	che
4	1	8	2	20	0	173	2235	1187	59	-1	
5	1	8	2	20	1	173	2247	299	39	96	rientravano
5	1	8	2	20	2	501	2244	122	40	96	nella
5	1	8	2	20	3	652	2247	276	36	96	aumentata
5	1	8	2	20	4	958	2235	300	59	95	competenza
5	1	8	2	20	5	1290	2244	70	39	95	del
4	1	8	2	21	0	176	2306	1186	50	-1	
5	1	8	2	21	1	176	2308	201	40	95	Pretore.
5	1	8	2	21	2	413	2307	67	39	93	Nè
5	1	8	2	21	3	513	2307	22	39	96	è
5	1	8	2	21	4	568	2308	59	38	92	da
5	1	8	2	21	5	659	2306	299	50	92	prescindersi
5	1	8	2	21	6	993	2306	123	40	92	dalla
5	1	8	2	21	7	1146	2318	216	38	89	preoccu-
4	1	8	2	22	0	175	2367	1186	55	-1	
5	1	8	2	22	1	175	2370	192	52	96	pazione
5	1	8	2	22	2	392	2370	81	39	96	che
5	1	8	2	22	3	507	2370	130	39	96	desta
5	1	8	2	22	4	665	2368	31	38	95	il
5	1	8	2	22	5	727	2368	122	39	96	fatto
5	1	8	2	22	6	880	2379	93	28	96	non
5	1	8	2	22	7	1002	2367	292	51	96	infrequente
5	1	8	2	22	8	1317	2367	44	40	84	di
4	1	8	2	23	0	173	2430	1189	51	-1	
5	1	8	2	23	1	173	2433	192	40	91	Preture
5	1	8	2	23	2	395	2434	120	37	96	rette
5	1	8	2	23	3	547	2433	58	38	96	da
5	1	8	2	23	4	625	2430	174	40	96	uditori
5	1	8	2	23	5	828	2430	242	51	96	giudiziari
5	1	8	2	23	6	1101	2431	12	39	96	i
5	1	8	2	23	7	1145	2430	137	51	96	quali,
5	1	8	2	23	8	1317	2442	45	28	96	se
4	1	8	2	24	0	175	2493	1187	50	-1	
5	1	8	2	24	1	175	2495	144	40	96	anche
5	1	8	2	24	2	361	2494	259	40	96	addestrati
5	1	8	2	24	3	661	2493	46	38	96	in
5	1	8	2	24	4	749	2493	105	50	96	quei
5	1	8	2	24	5	897	2493	115	40	67	corsi
5	1	8	2	24	6	1054	2493	46	40	92	di
5	1	8	2	24	7	1142	2493	220	50	90	perfezio-
4	1	8	2	25	0	173	2554	1189	52	-1	
5	1	8	2	25	1	173	2561	219	37	96	namento
5	1	8	2	25	2	443	2557	81	40	96	che
5	1	8	2	25	3	571	2558	124	37	96	sotto
5	1	8	2	25	4	744	2557	29	37	96	il
5	1	8	2	25	5	824	2555	324	51	96	Guardasigilli
5	1	8	2	25	6	1190	2554	172	40	95	Grandi
4	1	8	2	26	0	175	2617	1187	52	-1	
5	1	8	2	26	1	175	2619	153	40	96	hanno
5	1	8	2	26	2	360	2622	144	37	96	avuto
5	1	8	2	26	3	540	2630	63	27	96	un
5	1	8	2	26	4	632	2618	77	51	96	più
5	1	8	2	26	5	739	2618	163	39	96	vivace
5	1	8	2	26	6	949	2618	213	49	96	impulso,
5	1	8	2	26	7	1209	2617	153	38	96	hanno
4	1	8	2	27	0	180	2678	1074	52	-1	
5	1	8	2	27	1	180	2682	205	39	91	tuttavia
5	1	8	2	27	2	415	2681	205	40	96	soltanto
5	1	8	2	27	3	652	2679	136	51	96	pochi
5	1	8	2	27	4	808	2679	113	39	96	mesi
5	1	8	2	27	5	953	2679	45	38	96	di
5	1	8	2	27	6	1029	2678	225	40	96	tirocinio.
3	1	8	3	0	0	175	2739	1190	368	-1	
4	1	8	3	1	0	269	2739	1095	55	-1	
5	1	8	3	1	1	269	2743	47	39	90	lo
5	1	8	3	1	2	351	2743	64	42	96	mi
5	1	8	3	1	3	451	2753	173	41	96	auguro
5	1	8	3	1	4	663	2742	151	51	96	perciò
5	1	8	3	1	5	850	2741	82	40	96	che
5	1	8	3	1	6	968	2753	93	28	96	una
5	1	8	3	1	7	1096	2741	160	50	96	parola
5	1	8	3	1	8	1292	2739	72	40	81	dei
4	1	8	3	2	0	176	2799	1186	58	-1	
5	1	8	3	2	1	176	2805	325	52	95	Guardasigilli
5	1	8	3	2	2	531	2806	42	39	96	la
5	1	8	3	2	3	603	2805	133	50	96	quale
5	1	8	3	2	4	765	2805	39	38	96	ci
5	1	8	3	2	5	833	2799	193	44	96	dichiari
5	1	8	3	2	6	1054	2803	96	48	96	che,
5	1	8	3	2	7	1184	2803	178	39	96	almeno
4	1	8	3	3	0	175	2859	1189	60	-1	
5	1	8	3	3	1	175	2881	81	38	95	per
5	1	8	3	3	2	291	2869	30	38	96	il
5	1	8	3	3	3	357	2871	254	46	96	momento,
5	1	8	3	3	4	652	2878	92	28	96	non
5	1	8	3	3	5	767	2859	50	47	95	è.
5	1	8	3	3	6	841	2866	116	40	96	nelle
5	1	8	3	3	7	994	2878	79	28	96	sue
5	1	8	3	3	8	1110	2866	254	40	96	intenzioni
4	1	8	3	4	0	176	2929	1189	50	-1	
5	1	8	3	4	1	176	2933	44	37	96	di
5	1	8	3	4	2	261	2934	271	37	96	aumentare
5	1	8	3	4	3	573	2930	91	39	96	tale
5	1	8	3	4	4	704	2931	316	48	96	competenza,
5	1	8	3	4	5	1052	2939	165	40	96	venga,
5	1	8	3	4	6	1252	2939	22	27	88	o
5	1	8	3	4	7	1317	2929	48	37	94	in
4	1	8	3	5	0	177	2990	1188	53	-1	
5	1	8	3	5	1	177	2997	163	46	95	questo
5	1	8	3	5	2	383	3005	24	26	93	o
5	1	8	3	5	3	447	2991	229	42	87	nell’altro
5	1	8	3	5	4	717	3002	128	28	96	ramo
5	1	8	3	5	5	877	2990	72	40	96	del
5	1	8	3	5	6	982	2990	312	51	95	Parlamento,
5	1	8	3	5	7	1340	3002	25	28	95	a
4	1	8	3	6	0	179	3053	1182	54	-1	
5	1	8	3	6	1	179	3055	385	52	0	tranquillizzare
5	1	8	3	6	2	588	3054	392	51	95	completamente
5	1	8	3	6	3	1004	3065	52	26	96	su
5	1	8	3	6	4	1082	3053	91	40	96	tale
5	1	8	3	6	5	1200	3055	161	48	96	punto.
3	1	8	4	0	0	177	3114	1189	108	-1	
4	1	8	4	1	0	267	3114	1099	53	-1	
5	1	8	4	1	1	267	3117	193	42	85	BACCI.
5	1	8	4	1	2	496	3117	171	41	96	Perchè
5	1	8	4	1	3	697	3127	27	28	92	a
5	1	8	4	1	4	755	3115	391	52	89	tranquillizzarci
5	1	8	4	1	5	1174	3125	44	29	96	se
5	1	8	4	1	6	1256	3114	110	39	37	tutti
4	1	8	4	2	0	177	3178	820	44	-1	
5	1	8	4	2	1	177	3193	92	28	96	non
5	1	8	4	2	2	301	3182	143	40	96	siamo
5	1	8	4	2	3	477	3181	118	40	96	dello
5	1	8	4	2	4	628	3181	144	37	96	stesso
5	1	8	4	2	5	804	3178	193	41	96	avviso?
3	1	8	5	0	0	176	3243	1192	115	-1	
4	1	8	5	1	0	267	3243	1101	54	-1	
5	1	8	5	1	1	267	3246	164	41	91	FANI.
5	1	8	5	1	2	479	3247	38	38	96	A
5	1	8	5	1	3	561	3245	375	52	96	tranquillizzare
5	1	8	5	1	4	965	3243	167	52	96	quanti
5	1	8	5	1	5	1170	3245	44	40	92	la
5	1	8	5	1	6	1257	3255	111	40	89	pen-
4	1	8	5	2	0	176	3306	736	52	-1	
5	1	8	5	2	1	176	3319	112	31	96	sano
5	1	8	5	2	2	320	3319	129	30	95	come
5	1	8	5	2	3	479	3319	72	28	94	me
5	1	8	5	2	4	583	3319	21	28	94	e
5	1	8	5	2	5	635	3317	110	30	96	sono
5	1	8	5	2	6	777	3307	14	39	88	i
5	1	8	5	2	7	820	3306	92	52	96	più.
3	1	8	6	0	0	175	3369	1197	862	-1	
4	1	8	6	1	0	265	3369	1104	52	-1	
5	1	8	6	1	1	265	3370	247	49	92	Camerati,
5	1	8	6	1	2	541	3370	206	40	93	Vittorio
