level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3307	4677	-1	
2	1	1	0	0	0	443	354	462	58	-1	
3	1	1	1	0	0	443	354	462	58	-1	
4	1	1	1	1	0	443	354	462	58	-1	
5	1	1	1	1	1	443	371	93	40	96	Atti
5	1	1	1	1	2	567	354	338	58	96	Parlamentari
2	1	2	0	0	0	1541	375	294	40	-1	
3	1	2	1	0	0	1541	375	294	40	-1	
4	1	2	1	1	0	1541	375	294	40	-1	
5	1	2	1	1	1	1541	394	59	8	89	—
5	1	2	1	1	2	1629	375	119	40	91	7319
5	1	2	1	1	3	1775	395	60	8	92	—
2	1	3	0	0	0	2391	370	533	57	-1	
3	1	3	1	0	0	2391	370	533	57	-1	
4	1	3	1	1	0	2391	370	533	57	-1	
5	1	3	1	1	1	2391	370	188	45	95	Camera
5	1	3	1	1	2	2608	375	73	40	96	dei
5	1	3	1	1	3	2709	374	215	53	96	Deputati
2	1	4	0	0	0	403	439	2516	103	-1	
3	1	4	1	0	0	403	439	2516	103	-1	
4	1	4	1	1	0	403	439	2516	23	-1	
5	1	4	1	1	1	403	442	4	8	26	I
5	1	4	1	1	2	450	435	342	31	0	i_—tc——@=@mÈ
5	1	4	1	1	3	446	439	2473	23	0	=—11#——@—1@——@—@#»@———@@1@T—«-_t_L-}@—h—{-©@-@lM==%@M@C-hh————————&—————_____T__{___X--_-€xz_pmt
4	1	4	1	2	0	1107	500	1618	42	-1	
5	1	4	1	2	1	1107	507	309	32	91	DISCUSSIONI
5	1	4	1	2	2	1447	520	60	8	91	—
5	1	4	1	2	3	1539	508	194	32	96	SEDUTA
5	1	4	1	2	4	1767	510	97	30	94	DEL
5	1	4	1	2	5	1895	502	62	40	81	23
5	1	4	1	2	6	1980	510	161	32	81	Marzo
5	1	4	1	2	7	2177	500	112	40	90	1949
2	1	5	0	0	0	442	557	2470	44	-1	
3	1	5	1	0	0	442	557	2470	44	-1	
4	1	5	1	1	0	442	557	2470	44	-1	
5	1	5	1	1	1	442	557	2470	44	95	 
2	1	6	0	0	0	431	658	1205	688	-1	
3	1	6	1	0	0	431	658	1205	688	-1	
4	1	6	1	1	0	531	658	1101	57	-1	
5	1	6	1	1	1	531	658	404	52	91	GIOVANNINI,
5	1	6	1	1	2	960	659	220	43	96	Ministro
5	1	6	1	1	3	1201	672	134	30	96	senza
5	1	6	1	1	4	1355	663	277	52	94	portafoglio.
4	1	6	1	2	0	436	724	1199	54	-1	
5	1	6	1	2	1	436	724	123	40	93	Sono
5	1	6	1	2	2	599	724	248	42	91	d’accordo
5	1	6	1	2	3	885	731	86	36	96	con
5	1	6	1	2	4	1008	730	180	48	96	quanto
5	1	6	1	2	5	1227	727	60	41	96	ha
5	1	6	1	2	6	1323	727	130	40	93	detto
5	1	6	1	2	7	1493	727	142	41	90	l’ono-
4	1	6	1	3	0	440	787	1196	51	-1	
5	1	6	1	3	1	440	787	151	41	91	revole
5	1	6	1	3	2	635	788	233	50	96	Relatore,
5	1	6	1	3	3	913	800	22	30	96	e
5	1	6	1	3	4	977	790	147	41	96	faccio
5	1	6	1	3	5	1168	800	235	31	93	osservare
5	1	6	1	3	6	1445	790	191	41	91	all’ono-
4	1	6	1	4	0	439	851	1196	55	-1	
5	1	6	1	4	1	439	851	149	40	92	revole
5	1	6	1	4	2	628	851	55	40	96	Di
5	1	6	1	4	3	720	851	204	41	96	Vittorio
5	1	6	1	4	4	963	854	82	41	96	che
5	1	6	1	4	5	1081	866	92	28	96	non
5	1	6	1	4	6	1211	854	94	40	96	solo
5	1	6	1	4	7	1343	854	48	40	96	fu
5	1	6	1	4	8	1428	854	207	52	96	respinto
4	1	6	1	5	0	438	914	1195	53	-1	
5	1	6	1	5	1	438	914	26	37	96	il
5	1	6	1	5	2	500	918	218	49	96	progetto
5	1	6	1	5	3	756	915	121	41	96	della
5	1	6	1	5	4	913	915	336	41	96	Commissione
5	1	6	1	5	5	1284	915	156	51	96	mista,
5	1	6	1	5	6	1481	927	75	29	94	ma
5	1	6	1	5	7	1592	916	41	40	94	io
4	1	6	1	6	0	435	976	1197	54	-1	
5	1	6	1	6	1	435	976	224	43	91	dichiarai
5	1	6	1	6	2	704	979	161	51	96	anche,
5	1	6	1	6	3	913	979	74	41	96	nel
5	1	6	1	6	4	1031	979	93	40	96	mio
5	1	6	1	6	5	1169	979	202	40	96	discorso
5	1	6	1	6	6	1416	979	91	41	92	alla
5	1	6	1	6	7	1552	979	80	43	64	Ca-
4	1	6	1	7	0	434	1042	1198	53	-1	
5	1	6	1	7	1	434	1051	144	39	96	mera,
5	1	6	1	7	2	618	1042	82	40	96	che
5	1	6	1	7	3	737	1054	95	28	96	non
5	1	6	1	7	4	871	1042	34	40	83	sì
5	1	6	1	7	5	944	1044	175	51	96	poteva
5	1	6	1	7	6	1156	1044	233	39	96	accettare
5	1	6	1	7	7	1428	1055	204	40	96	neppure
4	1	6	1	8	0	436	1102	1196	56	-1	
5	1	6	1	8	1	436	1102	26	40	96	il
5	1	6	1	8	2	511	1104	200	40	96	secondo
5	1	6	1	8	3	757	1106	218	52	93	progetto
5	1	6	1	8	4	1023	1104	360	42	91	dell’onorevole
5	1	6	1	8	5	1431	1104	54	40	81	Di
5	1	6	1	8	6	1533	1106	99	40	81	Vit-
4	1	6	1	9	0	435	1166	1196	54	-1	
5	1	6	1	9	1	435	1166	133	54	96	torio,
5	1	6	1	9	2	604	1167	82	40	96	che
5	1	6	1	9	3	718	1179	114	40	93	pure
5	1	6	1	9	4	864	1167	264	41	92	diminuiva
5	1	6	1	9	5	1160	1167	169	41	90	l’onere
5	1	6	1	9	6	1361	1167	270	41	96	finanziario
4	1	6	1	10	0	434	1228	1199	58	-1	
5	1	6	1	10	1	434	1228	73	40	96	del
5	1	6	1	10	2	547	1230	151	50	96	primo
5	1	6	1	10	3	739	1232	232	50	96	progetto.
5	1	6	1	10	4	1019	1230	185	56	96	Quindi,
5	1	6	1	10	5	1247	1230	30	40	96	il
5	1	6	1	10	6	1320	1231	212	40	96	Governo
5	1	6	1	10	7	1573	1232	60	40	96	ha
4	1	6	1	11	0	431	1290	1201	56	-1	
5	1	6	1	11	1	431	1290	75	53	96	già
5	1	6	1	11	2	539	1292	123	40	96	fatto
5	1	6	1	11	3	698	1304	93	31	96	una
5	1	6	1	11	4	824	1294	345	41	96	dichiarazione
5	1	6	1	11	5	1204	1294	43	41	95	al
5	1	6	1	11	6	1281	1294	215	52	96	riguardo
5	1	6	1	11	7	1532	1306	23	28	96	e
5	1	6	1	11	8	1589	1295	43	48	87	la
2	1	7	0	0	0	432	1354	1233	62	-1	
3	1	7	1	0	0	432	1354	1233	62	-1	
4	1	7	1	1	0	432	1354	1233	62	-1	
5	1	7	1	1	1	432	1354	208	49	95	Camera,
5	1	7	1	1	2	675	1355	210	41	93	votando
5	1	7	1	1	3	908	1355	195	41	91	l’ordine
5	1	7	1	1	4	1127	1356	74	40	96	del
5	1	7	1	1	5	1223	1356	158	52	96	giorno
5	1	7	1	1	6	1405	1355	142	51	96	Sullo,
5	1	7	1	1	7	1571	1358	60	38	32	ha
2	1	8	0	0	0	383	1415	1246	1683	-1	
3	1	8	1	0	0	431	1415	1194	60	-1	
4	1	8	1	1	0	431	1415	1194	60	-1	
5	1	8	1	1	1	431	1415	283	43	96	dimostrato
5	1	8	1	1	2	745	1418	46	40	96	di
5	1	8	1	1	3	823	1419	301	56	96	condividere
5	1	8	1	1	4	1155	1419	29	39	96	il
5	1	8	1	1	5	1207	1423	160	37	96	nostro
5	1	8	1	1	6	1403	1419	222	52	96	pensiero.
3	1	8	2	0	0	428	1479	1201	307	-1	
4	1	8	2	1	0	523	1479	1104	52	-1	
5	1	8	2	1	1	523	1479	420	43	95	PRESIDENTE.
5	1	8	2	1	2	997	1480	256	42	96	Onorevole
5	1	8	2	1	3	1305	1482	56	38	95	Di
5	1	8	2	1	4	1408	1480	219	51	95	Vittorio,
4	1	8	2	2	0	434	1542	1195	54	-1	
5	1	8	2	2	1	434	1542	37	40	96	io
5	1	8	2	2	2	514	1554	92	28	96	non
5	1	8	2	2	3	651	1554	48	29	96	so
5	1	8	2	2	4	741	1554	46	30	96	se
5	1	8	2	2	5	829	1543	139	52	96	valga
5	1	8	2	2	6	1009	1543	27	40	96	il
5	1	8	2	2	7	1081	1555	83	29	96	suo
5	1	8	2	2	8	1205	1546	355	50	96	ragionamento
5	1	8	2	2	9	1603	1556	26	30	95	a
4	1	8	2	3	0	431	1604	1193	56	-1	
5	1	8	2	3	1	431	1604	188	52	96	togliere
5	1	8	2	3	2	652	1606	128	41	96	forza
5	1	8	2	3	3	812	1618	27	29	96	a
5	1	8	2	3	4	872	1608	127	39	96	tutte
5	1	8	2	3	5	1032	1611	164	48	96	queste
5	1	8	2	3	6	1229	1607	395	53	96	argomentazioni
4	1	8	2	4	0	428	1667	1196	53	-1	
5	1	8	2	4	1	428	1667	44	40	95	di
5	1	8	2	4	2	508	1668	304	51	95	preclusione;
5	1	8	2	4	3	849	1680	79	30	96	ma
5	1	8	2	4	4	964	1670	41	38	96	io
5	1	8	2	4	5	1044	1671	39	39	96	le
5	1	8	2	4	6	1119	1671	102	40	96	dico
5	1	8	2	4	7	1257	1670	46	40	96	in
5	1	8	2	4	8	1339	1670	152	41	67	verità
5	1	8	2	4	9	1527	1672	97	48	67	che,
4	1	8	2	5	0	428	1731	1196	55	-1	
5	1	8	2	5	1	428	1731	272	51	96	guardando
5	1	8	2	5	2	735	1732	92	40	96	alla
5	1	8	2	5	3	859	1736	220	38	96	sostanza
5	1	8	2	5	4	1111	1734	78	52	96	più
5	1	8	2	5	5	1223	1732	81	42	96	che
5	1	8	2	5	6	1337	1734	94	40	96	alla
5	1	8	2	5	7	1460	1735	164	47	96	forma,
3	1	8	3	0	0	383	1794	1238	178	-1	
4	1	8	3	1	0	430	1794	1071	53	-1	
5	1	8	3	1	1	430	1794	40	38	96	la
5	1	8	3	1	2	507	1794	288	50	95	preclusione
5	1	8	3	1	3	832	1795	64	40	96	mi
5	1	8	3	1	4	933	1806	112	41	96	pare
5	1	8	3	1	5	1083	1796	141	40	96	esista
5	1	8	3	1	6	1260	1796	69	40	94	nel
5	1	8	3	1	7	1364	1798	137	40	96	fatto.
4	1	8	3	2	0	383	1855	1238	52	-1	
5	1	8	3	2	1	383	1860	8	3	46	”
5	1	8	3	2	2	519	1855	65	40	96	DI
5	1	8	3	2	3	627	1856	322	51	96	VITTORIO,
5	1	8	3	2	4	1001	1859	206	39	95	Relatore
5	1	8	3	2	5	1247	1859	46	40	96	di
5	1	8	3	2	6	1341	1859	280	40	95	minoranza.
4	1	8	3	3	0	427	1916	760	56	-1	
5	1	8	3	3	1	427	1916	63	40	72	Mi
5	1	8	3	3	2	531	1916	191	43	96	rimetto
5	1	8	3	3	3	763	1920	44	40	96	al
5	1	8	3	3	4	847	1931	82	28	96	suo
5	1	8	3	3	5	971	1919	216	53	96	giudizio.
3	1	8	4	0	0	428	1980	1196	115	-1	
4	1	8	4	1	0	518	1980	1106	55	-1	
5	1	8	4	1	1	518	1980	419	42	96	PRESIDENTE.
5	1	8	4	1	2	984	1983	252	49	96	Passiamo,
5	1	8	4	1	3	1285	1987	232	48	93	pertanto,
5	1	8	4	1	4	1561	1986	63	38	92	al-
4	1	8	4	2	0	428	2043	573	52	-1	
5	1	8	4	2	1	428	2043	183	40	81	l'esame
5	1	8	4	2	2	650	2043	119	52	96	degli
5	1	8	4	2	3	807	2044	194	42	95	articoli.
3	1	8	5	0	0	424	2104	1199	167	-1	
4	1	8	5	1	0	516	2104	1107	54	-1	
5	1	8	5	1	1	516	2104	257	43	95	Onorevole
5	1	8	5	1	2	817	2107	238	51	85	Ministro;
5	1	8	5	1	3	1093	2110	88	40	96	ella
5	1	8	5	1	4	1224	2111	185	39	96	accetta
5	1	8	5	1	5	1452	2111	81	39	95	che
5	1	8	5	1	6	1580	2111	43	37	95	la
4	1	8	5	2	0	424	2167	1199	55	-1	
5	1	8	5	2	1	424	2167	284	41	96	discussione
5	1	8	5	2	2	759	2180	216	42	96	avvenga
5	1	8	5	2	3	1024	2171	67	40	96	sul
