level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4672	-1	
2	1	1	0	0	0	415	400	460	41	-1	
3	1	1	1	0	0	415	400	460	41	-1	
4	1	1	1	1	0	415	400	460	41	-1	
5	1	1	1	1	1	415	400	96	40	95	Atti
5	1	1	1	1	2	537	400	338	41	96	Parlamentari
2	1	2	0	0	0	413	481	987	10	-1	
3	1	2	1	0	0	413	481	987	10	-1	
4	1	2	1	1	0	413	481	987	10	-1	
5	1	2	1	1	1	413	481	987	10	95	 
2	1	3	0	0	0	1519	405	268	40	-1	
3	1	3	1	0	0	1519	405	268	40	-1	
4	1	3	1	1	0	1519	405	268	40	-1	
5	1	3	1	1	1	1519	428	52	5	92	—
5	1	3	1	1	2	1600	405	187	40	92	7509
5	1	3	1	1	3	1723	401	62	61	91	—
2	1	4	0	0	0	2364	402	538	55	-1	
3	1	4	1	0	0	2364	402	538	55	-1	
4	1	4	1	1	0	2364	402	538	55	-1	
5	1	4	1	1	1	2364	402	190	43	96	Camera
5	1	4	1	1	2	2584	404	74	41	96	dei
5	1	4	1	1	3	2686	402	216	55	96	Deputati
2	1	5	0	0	0	415	487	2480	14	-1	
3	1	5	1	0	0	415	487	2480	14	-1	
4	1	5	1	1	0	415	487	2480	14	-1	
5	1	5	1	1	1	415	487	2480	14	95	 
2	1	6	0	0	0	861	540	1555	41	-1	
3	1	6	1	0	0	861	540	1555	41	-1	
4	1	6	1	1	0	861	540	1555	41	-1	
5	1	6	1	1	1	861	548	24	30	91	V
5	1	6	1	1	2	917	546	307	32	93	LEGISLATURA
5	1	6	1	1	3	1252	561	56	5	92	—
5	1	6	1	1	4	1333	546	290	35	92	DISCUSSIONI
5	1	6	1	1	5	1656	564	55	4	92	—
5	1	6	1	1	6	1740	548	167	32	96	SEDUTA
5	1	6	1	1	7	1936	548	81	32	96	DEL
5	1	6	1	1	8	2047	540	25	40	96	5
5	1	6	1	1	9	2101	546	180	32	93	MAGGIO
5	1	6	1	1	10	2312	540	104	40	95	1969
2	1	7	0	0	0	415	613	2480	8	-1	
3	1	7	1	0	0	415	613	2480	8	-1	
4	1	7	1	1	0	415	613	2480	8	-1	
5	1	7	1	1	1	415	613	2480	8	95	 
2	1	8	0	0	0	411	701	1188	128	-1	
3	1	8	1	0	0	411	701	1188	124	-1	
4	1	8	1	1	0	493	701	1106	43	-1	
5	1	8	1	1	1	493	701	380	41	96	PRESIDENTE.
5	1	8	1	1	2	921	701	295	41	49	L'onorevole
5	1	8	1	1	3	1259	701	129	41	92	Lezzi
5	1	8	1	1	4	1433	701	60	41	91	ha
5	1	8	1	1	5	1536	702	63	42	91	fa-
4	1	8	1	2	0	411	759	960	70	-1	
5	1	8	1	2	1	411	765	116	40	96	coltà
5	1	8	1	2	2	563	765	45	40	96	di
5	1	8	1	2	3	645	759	253	70	96	dichiarare
5	1	8	1	2	4	937	777	46	29	96	se
5	1	8	1	2	5	1019	764	65	42	77	sla
5	1	8	1	2	6	1120	765	251	40	91	sodisfatto.
2	1	9	0	0	0	409	909	1190	293	-1	
3	1	9	1	0	0	409	909	1190	293	-1	
4	1	9	1	1	0	491	909	1108	52	-1	
5	1	9	1	1	1	491	909	180	41	92	LEZZI.
5	1	9	1	1	2	704	909	63	41	96	La
5	1	9	1	1	3	797	910	226	51	96	ringrazio
5	1	9	1	1	4	1053	909	272	49	96	vivamente,
5	1	9	1	1	5	1356	910	243	40	95	onorevole
4	1	9	1	2	0	411	972	1186	52	-1	
5	1	9	1	2	1	411	973	376	51	95	sottosegretario,
5	1	9	1	2	2	829	973	164	51	96	perché
5	1	9	1	2	3	1035	972	174	52	96	ritengo
5	1	9	1	2	4	1248	972	83	41	96	che
5	1	9	1	2	5	1371	984	84	29	93	con
5	1	9	1	2	6	1493	984	104	38	88	que-
4	1	9	1	3	0	411	1034	1186	52	-1	
5	1	9	1	3	1	411	1037	66	40	90	sta
5	1	9	1	3	2	512	1048	81	28	96	sua
5	1	9	1	3	3	629	1034	152	52	96	ampia
5	1	9	1	3	4	816	1036	53	40	96	ed
5	1	9	1	3	5	904	1034	255	43	95	esauriente
5	1	9	1	3	6	1193	1036	194	50	96	risposta
5	1	9	1	3	7	1421	1034	87	42	96	ella
5	1	9	1	3	8	1543	1036	54	40	95	ed
4	1	9	1	4	0	412	1097	1185	52	-1	
5	1	9	1	4	1	412	1098	31	40	95	il
5	1	9	1	4	2	481	1098	206	40	96	Governo
5	1	9	1	4	3	724	1097	196	43	96	abbiano
5	1	9	1	4	4	956	1100	200	38	95	arrecato
5	1	9	1	4	5	1191	1109	64	31	96	un
5	1	9	1	4	6	1289	1098	172	51	93	grande
5	1	9	1	4	7	1496	1109	101	29	92	con-
4	1	9	1	5	0	409	1160	1188	42	-1	
5	1	9	1	5	1	409	1161	171	40	95	tributo
5	1	9	1	5	2	615	1161	89	40	96	alla
5	1	9	1	5	3	737	1172	136	30	96	causa
5	1	9	1	5	4	905	1161	120	41	96	della
5	1	9	1	5	5	1059	1160	284	42	96	democrazia
5	1	9	1	5	6	1375	1161	73	40	93	nel
5	1	9	1	5	7	1481	1173	116	28	90	mez-
2	1	10	0	0	0	411	1222	1230	53	-1	
3	1	10	1	0	0	411	1222	1230	53	-1	
4	1	10	1	1	0	411	1222	1230	53	-1	
5	1	10	1	1	1	411	1222	212	53	87	zogiorno
5	1	10	1	1	2	675	1222	194	50	91	d’Italia,
5	1	10	1	1	3	924	1224	151	40	96	dando
5	1	10	1	1	4	1124	1236	92	28	96	una
5	1	10	1	1	5	1267	1222	330	42	93	informazione
5	1	10	1	1	6	1637	1240	4	5	84	-
2	1	11	0	0	0	405	1285	1192	2686	-1	
3	1	11	1	0	0	411	1285	1185	106	-1	
4	1	11	1	1	0	411	1285	1185	43	-1	
5	1	11	1	1	1	411	1287	81	40	93	che
5	1	11	1	1	2	515	1309	26	6	50	-
5	1	11	1	1	3	567	1287	62	40	96	mi
5	1	11	1	1	4	656	1285	68	42	96	sia
5	1	11	1	1	5	748	1285	249	43	96	consentito
5	1	11	1	1	6	1024	1285	45	42	78	di
5	1	11	1	1	7	1097	1285	96	42	93	dire
5	1	11	1	1	8	1217	1311	27	4	78	—
5	1	11	1	1	9	1268	1297	140	30	96	onora
5	1	11	1	1	10	1435	1285	30	40	93	il
5	1	11	1	1	11	1492	1287	104	41	92	Par-
4	1	11	1	2	0	411	1349	210	42	-1	
5	1	11	1	2	1	411	1349	210	42	89	lamento,
3	1	11	2	0	0	405	1420	1192	2551	-1	
4	1	11	2	1	0	489	1420	1108	52	-1	
5	1	11	2	1	1	489	1420	159	40	96	Vorrei
5	1	11	2	1	2	684	1420	252	41	93	formulare
5	1	11	2	1	3	969	1420	228	52	86	l’augurio
5	1	11	2	1	4	1232	1420	83	41	96	che
5	1	11	2	1	5	1349	1420	56	41	96	da
5	1	11	2	1	6	1440	1421	157	50	96	questa
4	1	11	2	2	0	411	1481	1186	52	-1	
5	1	11	2	2	1	411	1481	225	43	93	denuncia
5	1	11	2	2	2	665	1505	28	6	47	-—
5	1	11	2	2	3	724	1484	135	49	96	quale
5	1	11	2	2	4	889	1484	204	49	96	traspare
5	1	11	2	2	5	1124	1483	124	41	96	dalla
5	1	11	2	2	6	1279	1495	80	29	96	sua
5	1	11	2	2	7	1392	1481	152	52	95	ampia
5	1	11	2	2	8	1576	1495	21	29	96	e
4	1	11	2	3	0	409	1544	1187	52	-1	
5	1	11	2	3	1	409	1545	320	40	96	documentata
