level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	409	298	495	51	-1	
3	1	1	1	0	0	409	298	495	51	-1	
4	1	1	1	1	0	409	298	495	51	-1	
5	1	1	1	1	1	409	299	103	47	96	Atti
5	1	1	1	1	2	531	298	373	51	96	Parlamentari
2	1	2	0	0	0	1483	302	337	47	-1	
3	1	2	1	0	0	1483	302	337	47	-1	
4	1	2	1	1	0	1483	302	337	47	-1	
5	1	2	1	1	1	1483	329	64	4	92	—
5	1	2	1	1	2	1576	302	159	47	93	19960
5	1	2	1	1	3	1756	329	64	4	92	—
2	1	3	0	0	0	2315	299	586	62	-1	
3	1	3	1	0	0	2315	299	586	62	-1	
4	1	3	1	1	0	2315	299	586	62	-1	
5	1	3	1	1	1	2315	302	214	48	96	Camera
5	1	3	1	1	2	2553	299	83	51	96	dei
5	1	3	1	1	3	2656	302	245	59	96	Deputati
2	1	4	0	0	0	409	380	2490	8	-1	
3	1	4	1	0	0	409	380	2490	8	-1	
4	1	4	1	1	0	409	380	2490	8	-1	
5	1	4	1	1	1	409	380	2490	8	95	 
2	1	5	0	0	0	408	392	2491	8	-1	
3	1	5	1	0	0	408	392	2491	8	-1	
4	1	5	1	1	0	408	392	2491	8	-1	
5	1	5	1	1	1	408	392	2491	8	95	 
2	1	6	0	0	0	899	446	1504	48	-1	
3	1	6	1	0	0	899	446	1504	48	-1	
4	1	6	1	1	0	899	446	1504	48	-1	
5	1	6	1	1	1	899	455	70	36	96	XII
5	1	6	1	1	2	987	455	326	36	93	LEGISLATURA
5	1	6	1	1	3	1329	477	12	5	92	-
5	1	6	1	1	4	1359	457	308	36	93	DISCUSSIONI
5	1	6	1	1	5	1685	477	11	6	93	-
5	1	6	1	1	6	1715	457	186	36	96	SEDUTA
5	1	6	1	1	7	1917	457	96	34	96	DEL
5	1	6	1	1	8	2031	446	26	45	96	3
5	1	6	1	1	9	2083	457	170	36	96	APRILE
5	1	6	1	1	10	2277	447	126	47	96	1996
2	1	7	0	0	0	407	547	2492	8	-1	
3	1	7	1	0	0	407	547	2492	8	-1	
4	1	7	1	1	0	407	547	2492	8	-1	
5	1	7	1	1	1	407	547	2492	8	95	 
2	1	8	0	0	0	408	635	1208	490	-1	
3	1	8	1	0	0	408	635	1208	490	-1	
4	1	8	1	1	0	471	635	1144	55	-1	
5	1	8	1	1	1	471	635	197	55	96	Inoltre,
5	1	8	1	1	2	691	651	100	32	96	con
5	1	8	1	1	3	807	637	105	45	96	mio
5	1	8	1	1	4	929	635	206	48	96	decreto
5	1	8	1	1	5	1152	637	52	45	96	in
5	1	8	1	1	6	1220	635	120	48	96	data
5	1	8	1	1	7	1357	638	63	45	96	22
5	1	8	1	1	8	1439	651	176	32	96	marzo
4	1	8	1	2	0	417	706	1198	60	-1	
5	1	8	1	2	1	417	707	140	55	96	1996,
5	1	8	1	2	2	595	709	182	45	96	sentito
5	1	8	1	2	3	812	707	32	47	96	il
5	1	8	1	2	4	879	706	250	60	96	Consiglio
5	1	8	1	2	5	1164	706	81	48	96	dei
5	1	8	1	2	6	1279	709	226	54	96	ministri,
5	1	8	1	2	7	1544	707	71	48	96	ho
4	1	8	1	3	0	411	777	1204	61	-1	
5	1	8	1	3	1	411	777	244	49	96	conferito
5	1	8	1	3	2	671	778	46	48	96	al
5	1	8	1	3	3	733	779	230	47	96	ministro
5	1	8	1	3	4	979	793	153	33	96	senza
5	1	8	1	3	5	1145	778	300	60	96	portafoglio
5	1	8	1	3	6	1461	795	92	43	96	per
5	1	8	1	3	7	1568	779	47	48	95	le
4	1	8	1	4	0	409	849	1207	60	-1	
5	1	8	1	4	1	409	849	206	49	96	riforme
5	1	8	1	4	2	669	849	331	56	95	istituzionali,
5	1	8	1	4	3	1060	849	255	60	96	professor
5	1	8	1	4	4	1369	853	247	46	95	Giovanni
4	1	8	1	5	0	411	921	1202	60	-1	
5	1	8	1	5	1	411	922	188	55	92	Motzo,
5	1	8	1	5	2	619	921	162	48	96	anche
5	1	8	1	5	3	797	921	256	48	95	l’incarico
5	1	8	1	5	4	1069	937	91	44	97	per
5	1	8	1	5	5	1175	921	49	48	96	la
5	1	8	1	5	6	1239	921	236	49	93	funzione
5	1	8	1	5	7	1491	923	122	58	92	pub-
4	1	8	1	6	0	408	993	1205	60	-1	
5	1	8	1	6	1	408	993	131	48	96	blica
5	1	8	1	6	2	557	1009	30	32	96	e
5	1	8	1	6	3	607	993	64	60	97	gli
5	1	8	1	6	4	691	993	144	48	96	affari
5	1	8	1	6	5	855	993	253	60	96	regionali,
5	1	8	1	6	6	1133	1009	32	32	95	a
5	1	8	1	6	7	1184	1009	183	32	93	norma
5	1	8	1	6	8	1385	994	228	48	87	dell’arti-
4	1	8	1	7	0	411	1065	1152	60	-1	
5	1	8	1	7	1	411	1065	112	48	96	colo
5	1	8	1	7	2	545	1067	30	46	96	9
5	1	8	1	7	3	599	1065	129	48	96	della
5	1	8	1	7	4	747	1065	141	60	96	legge
5	1	8	1	7	5	911	1067	61	46	96	23
5	1	8	1	7	6	999	1073	176	52	95	agosto
5	1	8	1	7	7	1205	1066	140	55	96	1988,
5	1	8	1	7	8	1371	1082	49	31	93	n.
5	1	8	1	7	9	1449	1067	114	47	96	400.
2	1	9	0	0	0	897	1177	711	46	-1	
3	1	9	1	0	0	897	1177	711	46	-1	
4	1	9	1	1	0	897	1177	711	46	-1	
5	1	9	1	1	1	897	1177	243	45	96	Firmato:
5	1	9	1	1	2	1163	1177	266	46	96	Lamberto
5	1	9	1	1	3	1453	1177	155	45	95	Dini».
2	1	10	0	0	0	408	1389	1204	192	-1	
3	1	10	1	0	0	408	1389	1204	192	-1	
4	1	10	1	1	0	408	1389	1204	60	-1	
5	1	10	1	1	1	408	1389	356	49	96	Restituzione
5	1	10	1	1	2	787	1389	50	48	96	al
5	1	10	1	1	3	860	1390	245	48	96	Governo
5	1	10	1	1	4	1128	1389	56	48	96	di
5	1	10	1	1	5	1205	1389	207	60	95	disegni
5	1	10	1	1	6	1435	1389	56	48	93	di
5	1	10	1	1	7	1512	1390	100	59	92	leg-
4	1	10	1	2	0	469	1461	1143	60	-1	
5	1	10	1	2	1	469	1477	63	44	96	ge
5	1	10	1	2	2	557	1461	56	48	96	di
5	1	10	1	2	3	639	1461	345	48	96	conversione
5	1	10	1	2	4	1009	1477	96	44	96	per
