level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3044	4444	-1	
2	1	1	0	0	0	1305	204	264	43	-1	
3	1	1	1	0	0	1305	204	264	43	-1	
4	1	1	1	1	0	1305	204	264	43	-1	
5	1	1	1	1	1	1305	229	51	8	92	—
5	1	1	1	1	2	1389	200	105	63	88	1045
5	1	1	1	1	3	1519	229	50	8	88	—
2	1	2	0	0	0	1022	320	755	49	-1	
3	1	2	1	0	0	1022	320	755	49	-1	
4	1	2	1	1	0	1022	320	755	49	-1	
5	1	2	1	1	1	1022	336	209	33	96	TORNATA
5	1	2	1	1	2	1264	335	87	34	96	DEL
5	1	2	1	1	3	1390	320	27	45	95	©
5	1	2	1	1	4	1451	333	167	32	28	Acosta
5	1	2	1	1	5	1651	322	126	47	88	1870.
2	1	3	0	0	0	129	495	1267	3700	-1	
3	1	3	1	0	0	134	495	1253	187	-1	
4	1	3	1	1	0	138	495	1246	55	-1	
5	1	3	1	1	1	138	506	107	35	96	mato
5	1	3	1	1	2	275	498	66	43	88	sel
5	1	3	1	1	3	371	509	96	29	90	semo
5	1	3	1	1	4	495	497	106	41	96	della
5	1	3	1	1	5	649	498	295	43	96	Commissione
5	1	3	1	1	6	973	498	236	41	61	d'inchiesta
5	1	3	1	1	7	1260	506	70	44	83	per
5	1	3	1	1	8	1359	495	25	39	93	il
4	1	3	1	2	0	135	561	1252	52	-1	
5	1	3	1	2	1	135	577	112	30	86	cerzo
5	1	3	1	2	2	278	563	165	50	44	forzoso,
5	1	3	1	2	3	465	561	35	43	96	lo
5	1	3	1	2	4	530	577	115	28	43	aveva
5	1	3	1	2	5	678	572	242	36	34	neitamente
5	1	3	1	2	6	950	564	212	43	93	formulato
5	1	3	1	2	7	1183	577	108	28	92	come
5	1	3	1	2	8	1310	574	77	28	96	una
4	1	3	1	3	0	134	627	493	55	-1	
5	1	3	1	3	1	134	629	138	44	38	ottima
5	1	3	1	3	2	294	627	58	40	96	via
5	1	3	1	3	3	382	629	52	39	96	da
5	1	3	1	3	4	461	630	166	52	93	seguire.
3	1	3	2	0	0	135	692	1252	119	-1	
4	1	3	2	1	0	189	692	1198	58	-1	
5	1	3	2	1	1	189	693	74	51	96	Me,
5	1	3	2	1	2	285	692	154	52	94	Signori
5	1	3	2	1	3	459	697	197	53	96	Senatori,
5	1	3	2	1	4	687	700	22	37	96	è
5	1	3	2	1	5	738	697	144	51	95	meglio
5	1	3	2	1	6	903	709	20	28	93	a
5	1	3	2	1	7	944	698	147	39	61	siffatte
5	1	3	2	1	8	1117	708	91	29	93	cose
5	1	3	2	1	9	1231	693	156	51	25	rispou+
4	1	3	2	2	0	135	759	1250	52	-1	
5	1	3	2	2	1	135	759	96	43	95	dere
5	1	3	2	2	2	261	772	76	28	96	con
5	1	3	2	2	3	368	761	255	44	93	indifferenza
5	1	3	2	2	4	648	777	8	26	93	:
5	1	3	2	2	5	692	764	195	41	96	torniamo
5	1	3	2	2	6	917	763	36	40	94	al
5	1	3	2	2	7	978	769	135	34	93	nostro
5	1	3	2	2	8	1145	763	240	48	94	argomento.
3	1	3	3	0	0	132	821	1258	193	-1	
4	1	3	3	1	0	189	821	1200	61	-1	
5	1	3	3	1	1	189	826	39	39	95	lo
5	1	3	3	1	2	274	832	110	36	96	trovo
5	1	3	3	1	3	414	829	72	41	96	che
5	1	3	3	1	4	516	830	64	41	80	nel
5	1	3	3	1	5	624	840	249	42	96	programma
5	1	3	3	1	6	918	826	228	42	95	finanziario
5	1	3	3	1	7	1179	824	62	41	93	del
5	1	3	3	1	8	1280	821	109	41	48	Mini-
4	1	3	3	2	0	132	890	1258	55	-1	
5	1	3	3	2	1	132	898	109	36	75	stero
5	1	3	3	2	2	274	893	113	43	92	havvi
5	1	3	3	2	3	437	896	170	40	51	un’altra
5	1	3	3	2	4	638	896	155	40	95	lacuna:
5	1	3	3	2	5	826	895	34	39	91	ci
5	1	3	3	2	6	892	898	141	36	29	tranca
5	1	3	3	2	7	1063	890	167	55	93	qualche
5	1	3	3	2	8	1253	899	137	41	90	propo-
4	1	3	3	3	0	132	961	989	53	-1	
5	1	3	3	3	1	132	967	61	35	95	sta
5	1	3	3	3	2	225	961	64	53	96	pel
5	1	3	3	3	3	319	962	318	41	36	riordinamento
5	1	3	3	3	4	667	961	107	42	96	della
5	1	3	3	3	5	807	961	210	41	94	fondiaria.
5	1	3	3	3	6	1110	972	11	5	49	©
3	1	3	4	0	0	129	1017	1263	247	-1	
4	1	3	4	1	0	187	1017	1205	63	-1	
5	1	3	4	1	1	187	1027	173	53	96	Eppure,
5	1	3	4	1	2	379	1041	20	27	90	o
5	1	3	4	1	3	432	1027	173	52	80	Sigaori,
5	1	3	4	1	4	635	1032	79	36	96	non
5	1	3	4	1	5	750	1038	99	28	96	sono
5	1	3	4	1	6	871	1024	124	53	96	ignoti
5	1	3	4	1	7	1024	1025	242	38	93	certamente
5	1	3	4	1	8	1285	1017	107	43	67	all'o-
4	1	3	4	2	0	132	1085	1258	57	-1	
5	1	3	4	2	1	132	1093	186	41	83	norevole
5	1	3	4	2	2	348	1091	198	51	96	Ministro,
5	1	3	4	2	3	591	1091	11	41	96	i
5	1	3	4	2	4	632	1091	214	48	96	disordini,
5	1	3	4	2	5	881	1090	34	39	64	le
5	1	3	4	2	6	964	1085	319	55	64	 sperequazioni,
5	1	3	4	2	7	1318	1087	72	39	96	che
4	1	3	4	3	0	129	1151	1260	60	-1	
5	1	3	4	3	1	129	1168	176	30	96	nascono
5	1	3	4	3	2	337	1159	39	39	96	in
5	1	3	4	3	3	417	1165	121	46	93	certe
5	1	3	4	3	4	561	1157	103	52	96	parti
5	1	3	4	3	5	695	1157	63	38	92	del
5	1	3	4	3	6	793	1156	132	50	94	Regno
5	1	3	4	3	7	972	1167	20	27	58	ce
5	1	3	4	3	8	1022	1159	297	44	88	segnatamente
5	1	3	4	3	9	1351	1151	38	41	96	in
4	1	3	4	4	0	134	1209	418	71	-1	
5	1	3	4	4	1	134	1216	220	64	95	Piemonte.
5	1	3	4	4	2	539	1209	13	8	0	”
3	1	3	5	0	0	131	1283	1259	307	-1	
4	1	3	5	1	0	190	1283	1200	52	-1	
5	1	3	5	1	1	190	1288	41	41	96	lo
5	1	3	5	1	2	261	1301	79	28	96	non
5	1	3	5	1	3	373	1290	163	39	96	entrerò
5	1	3	5	1	4	568	1288	39	39	93	in
5	1	3	5	1	5	637	1286	251	49	91	svolgimenti
5	1	3	5	1	6	918	1297	46	27	94	su
5	1	3	5	1	7	1003	1290	137	45	94	questo
5	1	3	5	1	8	1173	1283	217	52	94	proposito,
4	1	3	5	2	0	131	1348	1259	55	-1	
5	1	3	5	2	1	131	1362	64	30	93	ma
5	1	3	5	2	2	226	1364	79	28	95	non
5	1	3	5	2	3	329	1365	116	38	96	posso
5	1	3	5	2	4	476	1351	246	39	96	nascondere
5	1	3	5	2	5	741	1349	39	38	96	di
5	1	3	5	2	6	808	1360	110	29	95	esser
5	1	3	5	2	7	948	1349	120	37	96	molto
5	1	3	5	2	8	1109	1359	182	38	96	sorpreso
5	1	3	5	2	9	1319	1348	71	38	96	che
4	1	3	5	3	0	134	1409	1255	52	-1	
5	1	3	5	3	1	134	1414	207	41	96	essendovi
5	1	3	5	3	2	373	1422	100	31	96	state
5	1	3	5	3	3	503	1411	106	50	90	gravi
5	1	3	5	3	4	643	1423	22	29	96	e
5	1	3	5	3	5	686	1411	127	49	91	giuste
5	1	3	5	3	6	844	1409	200	51	91	lagnanze,
5	1	3	5	3	7	1068	1409	107	38	87	nuila
5	1	3	5	3	8	1205	1411	29	34	92	si
5	1	3	5	3	9	1260	1409	56	40	96	sia
5	1	3	5	3	10	1335	1409	54	40	37	di.
4	1	3	5	4	0	135	1472	1255	60	-1	
5	1	3	5	4	1	135	1485	134	47	55	sposto
5	1	3	5	4	2	302	1478	38	40	96	in
5	1	3	5	4	3	374	1477	216	52	94	proposito,
5	1	3	5	4	4	615	1488	19	28	67	e
5	1	3	5	4	5	641	1474	45	42	67	si
5	1	3	5	4	6	717	1474	120	39	88	fucciu
5	1	3	5	4	7	868	1486	52	27	96	un
5	1	3	5	4	8	955	1480	176	44	96	progetto
5	1	3	5	4	9	1162	1474	38	39	93	di
5	1	3	5	4	10	1231	1472	159	41	92	ordina-
4	1	3	5	5	0	135	1538	967	52	-1	
5	1	3	5	5	1	135	1541	126	43	92	menti
5	1	3	5	5	2	283	1541	201	38	25	Gnanziari
5	1	3	5	5	3	514	1552	115	29	92	senza
5	1	3	5	5	4	659	1538	187	52	34	paglarne
5	1	3	5	5	5	877	1549	225	29	95	nemmeno.
3	1	3	6	0	0	137	1603	1253	188	-1	
4	1	3	6	1	0	190	1603	1200	52	-1	
5	1	3	6	1	1	190	1604	58	40	94	Ma
5	1	3	6	1	2	280	1603	38	41	95	io
5	1	3	6	1	3	348	1603	51	41	96	ho
5	1	3	6	1	4	428	1603	163	41	96	abusato
5	1	3	6	1	5	632	1603	60	50	95	già
5	1	3	6	1	6	712	1609	164	46	86	troppo
5	1	3	6	1	7	920	1603	104	41	95	della
5	1	3	6	1	8	1068	1604	215	40	65	sofferenza
5	1	3	6	1	9	1330	1606	60	38	91	del
4	1	3	6	2	0	137	1669	1253	55	-1	
5	1	3	6	2	1	137	1670	159	44	94	Senato,
5	1	3	6	2	2	329	1681	19	29	80	e
5	1	3	6	2	3	379	1681	121	41	96	vengo
5	1	3	6	2	4	530	1669	130	41	27	subito
5	1	3	6	2	5	690	1681	19	29	96	a
5	1	3	6	2	6	755	1669	85	41	93	dire
5	1	3	6	2	7	882	1670	79	40	92	duè
5	1	3	6	2	8	1005	1670	132	52	94	parole
5	1	3	6	2	9	1179	1670	63	40	96	dei
5	1	3	6	2	10	1285	1683	105	41	78	prov.
4	1	3	6	3	0	137	1736	437	55	-1	
5	1	3	6	3	1	137	1738	214	42	75	vediment:
5	1	3	6	3	2	384	1736	190	55	85	proposti.
3	1	3	7	0	0	131	1801	1264	842	-1	
4	1	3	7	1	0	189	1801	1206	57	-1	
5	1	3	7	1	1	189	1804	144	41	88	Taluni
5	1	3	7	1	2	357	1804	39	41	96	di
5	1	3	7	1	3	426	1804	131	54	93	questi
5	1	3	7	1	4	580	1803	359	55	1	provvedimenti
5	1	3	7	1	5	894	1797	55	65	1	io
5	1	3	7	1	6	972	1803	27	40	95	li
5	1	3	7	1	7	1033	1810	107	35	96	trovo
5	1	3	7	1	8	1172	1801	138	42	83	ottimi.
5	1	3	7	1	9	1343	1801	52	42	96	La
4	1	3	7	2	0	134	1870	1259	54	-1	
5	1	3	7	2	1	134	1870	113	52	95	legge
5	1	3	7	2	2	288	1872	71	37	95	che
5	1	3	7	2	3	392	1870	182	50	91	riguarda
5	1	3	7	2	4	609	1870	202	39	55	l'arsenale
5	1	3	7	2	5	841	1872	38	37	96	di
5	1	3	7	2	6	912	1870	181	52	94	Venezia,
5	1	3	7	2	7	1137	1870	132	54	82	quella
5	1	3	7	2	8	1319	1870	74	41	77	sul
4	1	3	7	3	0	132	1935	1261	55	-1	
5	1	3	7	3	1	132	1935	250	42	72	l'abolizione
5	1	3	7	3	2	414	1935	103	41	96	delle
5	1	3	7	3	3	549	1935	217	48	60	franchigie
5	1	3	7	3	4	797	1936	184	51	96	doganali
5	1	3	7	3	5	1014	1938	63	38	96	del
5	1	3	7	3	6	1112	1944	110	46	96	porto
5	1	3	7	3	7	1252	1936	39	40	93	di
5	1	3	7	3	8	1323	1936	70	40	91	Ve-
4	1	3	7	4	0	131	1999	1264	55	-1	
5	1	3	7	4	1	131	2001	121	47	92	nezia,
5	1	3	7	4	2	269	2001	134	53	96	quella
5	1	3	7	4	3	434	1999	58	41	95	sul
5	1	3	7	4	4	521	1999	138	41	96	bacino
5	1	3	7	4	5	681	1999	39	39	92	di
5	1	3	7	4	6	744	2001	234	52	86	carenaggio
5	1	3	7	4	7	1000	2001	39	39	96	di
5	1	3	7	4	8	1063	2001	178	50	87	Ancona,
5	1	3	7	4	9	1264	2001	131	52	88	quella
4	1	3	7	5	0	134	2065	1261	51	-1	
5	1	3	7	5	1	134	2068	314	40	38	gull'abolizione
5	1	3	7	5	2	480	2067	108	41	95	delle
5	1	3	7	5	3	621	2065	195	43	95	Direzioni
5	1	3	7	5	4	848	2067	62	41	96	del
5	1	3	7	5	5	951	2065	139	43	96	Debito
5	1	3	7	5	6	1140	2065	206	51	93	Pubblico,
5	1	3	7	5	7	1376	2079	19	26	93	e
4	1	3	7	6	0	135	2130	1258	56	-1	
5	1	3	7	6	1	135	2133	68	50	96	più
5	1	3	7	6	2	226	2134	40	40	93	di
5	1	3	7	6	3	289	2139	103	35	90	tulto
5	1	3	7	6	4	414	2133	61	53	95	poi
5	1	3	7	6	5	506	2133	129	53	96	quella
5	1	3	7	6	6	659	2133	101	41	93	sulle
5	1	3	7	6	7	782	2133	152	39	89	volture
5	1	3	7	6	8	956	2130	195	49	95	catastali,
5	1	3	7	6	9	1173	2142	96	27	93	sono
5	1	3	7	6	10	1294	2130	99	49	0	tewgi
4	1	3	7	7	0	135	2193	1255	59	-1	
5	1	3	7	7	1	135	2197	77	41	96	alle
