level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3239	4617	-1	
2	1	1	0	0	0	433	314	2471	63	-1	
3	1	1	1	0	0	433	314	2471	63	-1	
4	1	1	1	1	0	433	314	2471	63	-1	
5	1	1	1	1	1	433	317	183	44	96	Senato
5	1	1	1	1	2	641	314	130	47	96	della
5	1	1	1	1	3	792	316	304	58	96	Repubblica
5	1	1	1	1	4	1584	320	167	42	17	-3-
5	1	1	1	1	5	2543	322	45	40	93	X
5	1	1	1	1	6	2604	317	300	60	95	Legislatura
2	1	2	0	0	0	428	381	2479	28	-1	
3	1	2	1	0	0	428	381	2479	28	-1	
4	1	2	1	1	0	428	381	2479	28	-1	
5	1	2	1	1	1	428	381	2479	28	95	 
2	1	3	0	0	0	433	442	2467	47	-1	
3	1	3	1	0	0	433	442	2467	47	-1	
4	1	3	1	1	0	433	442	2467	47	-1	
5	1	3	1	1	1	433	442	114	43	90	5892
5	1	3	1	1	2	569	444	186	42	97	SEDUTA
5	1	3	1	1	3	1165	445	280	43	93	ASSEMBLEA
5	1	3	1	1	4	1468	469	13	4	91	-
5	1	3	1	1	5	1505	445	294	43	92	RESOCONTO
5	1	3	1	1	6	1817	454	352	34	92	STENOGRAFICO
5	1	3	1	1	7	2445	445	62	43	96	30
5	1	3	1	1	8	2532	445	229	44	89	OTTOBRE
5	1	3	1	1	9	2785	445	115	43	96	1991
2	1	4	0	0	0	429	512	2479	26	-1	
3	1	4	1	0	0	429	512	2479	26	-1	
4	1	4	1	1	0	429	512	2479	26	-1	
5	1	4	1	1	1	429	512	2479	26	95	 
2	1	5	0	0	0	992	826	1351	72	-1	
3	1	5	1	0	0	992	826	1351	72	-1	
4	1	5	1	1	0	992	826	1351	72	-1	
5	1	5	1	1	1	992	826	375	56	96	Presidenza
5	1	5	1	1	2	1396	826	101	56	96	del
5	1	5	1	1	3	1524	828	368	70	93	presidente
5	1	5	1	1	4	1923	834	420	51	92	SPADOLINI
2	1	6	0	0	0	793	1030	1187	150	-1	
3	1	6	1	0	0	793	1030	1187	150	-1	
4	1	6	1	1	0	795	1030	1185	79	-1	
5	1	6	1	1	1	795	1052	396	44	96	PRESIDENTE.
5	1	6	1	1	2	1219	1054	64	43	96	La
5	1	6	1	1	3	1305	1030	176	66	97	seduta
