level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3281	4660	-1	
2	1	1	0	0	0	445	443	651	52	-1	
3	1	1	1	0	0	445	443	651	52	-1	
4	1	1	1	1	0	445	443	651	52	-1	
5	1	1	1	1	1	445	445	287	50	96	ASSEMBLEA
5	1	1	1	1	2	765	443	331	42	96	COSTITUENTE
2	1	2	0	0	0	912	513	105	12	-1	
3	1	2	1	0	0	912	513	105	12	-1	
4	1	2	1	1	0	912	513	105	12	-1	
5	1	2	1	1	1	912	513	105	12	22	TT
2	1	3	0	0	0	417	601	1198	1303	-1	
3	1	3	1	0	0	441	601	1174	178	-1	
4	1	3	1	1	0	533	601	1079	56	-1	
5	1	3	1	1	1	533	601	412	55	95	PRESIDENTE.
5	1	3	1	1	2	1000	604	101	40	95	Non
5	1	3	1	1	3	1160	605	191	42	95	essendo
5	1	3	1	1	4	1411	607	201	50	82	presenti
4	1	3	1	2	0	441	661	1174	56	-1	
5	1	3	1	2	1	441	665	58	52	96	gli
5	1	3	1	2	2	541	665	230	39	96	onorevoli
5	1	3	1	2	3	815	664	185	43	96	Lettieri
5	1	3	1	2	4	1043	679	21	28	93	e
5	1	3	1	2	5	1105	661	231	56	92	Spallicci,
5	1	3	1	2	6	1380	667	161	42	95	iscritti
5	1	3	1	2	7	1585	680	30	29	96	a
4	1	3	1	3	0	441	727	1170	52	-1	
5	1	3	1	3	1	441	727	191	52	96	parlare,
5	1	3	1	3	2	661	727	35	40	95	si
5	1	3	1	3	3	728	727	183	42	59	intende
5	1	3	1	3	4	932	728	80	40	96	che
5	1	3	1	3	5	1033	729	44	39	96	vi
5	1	3	1	3	6	1101	729	204	43	96	abbiano
5	1	3	1	3	7	1329	731	282	42	95	rinunciato.
3	1	3	2	0	0	440	781	1171	111	-1	
4	1	3	2	1	0	529	781	1082	59	-1	
5	1	3	2	1	1	529	781	36	47	97	È
5	1	3	2	1	2	601	789	175	39	96	iscritto
5	1	3	2	1	3	813	799	27	29	96	a
5	1	3	2	1	4	873	791	178	49	96	parlare
5	1	3	2	1	5	1088	791	283	42	0	l'onorevole
5	1	3	2	1	6	1409	792	202	41	96	Bernini.
4	1	3	2	2	0	440	849	391	43	-1	
5	1	3	2	2	1	440	852	65	40	96	Ne
5	1	3	2	2	2	548	852	59	39	95	ha
5	1	3	2	2	3	647	849	184	43	96	facoltà.
3	1	3	3	0	0	428	873	1185	718	-1	
4	1	3	3	1	0	527	873	1086	112	-1	
5	1	3	3	1	1	527	913	281	42	94	BERNINI.
5	1	3	3	1	2	843	915	241	41	96	Onorevoli
5	1	3	3	1	3	1115	913	210	72	96	colleghi,
5	1	3	3	1	4	1339	873	146	100	71	‘volge
5	1	3	3	1	5	1519	920	94	39	96	alla
4	1	3	3	2	0	439	975	1170	57	-1	
5	1	3	3	2	1	439	976	88	49	96	fine
5	1	3	3	2	2	565	979	162	49	96	questa
5	1	3	3	2	3	765	975	194	42	96	faticosa
5	1	3	3	2	4	995	979	228	49	0	giornata,
5	1	3	3	2	5	1264	989	132	31	96	come
5	1	3	3	2	6	1439	991	170	41	96	appare
4	1	3	3	3	0	439	1039	1166	57	-1	
5	1	3	3	3	1	439	1039	73	41	96	dal
5	1	3	3	3	2	545	1049	194	44	96	numero
5	1	3	3	3	3	780	1039	68	41	96	dei
5	1	3	3	3	4	883	1041	198	50	96	presenti
5	1	3	3	3	5	1113	1053	22	30	96	e
5	1	3	3	3	6	1165	1041	231	55	96	cercherò,
5	1	3	3	3	7	1432	1044	173	51	96	quindi,
4	1	3	3	4	0	436	1101	1172	54	-1	
5	1	3	3	4	1	436	1101	43	40	96	di
5	1	3	3	4	2	508	1112	143	31	96	essere
5	1	3	3	4	3	676	1101	80	52	96	più
5	1	3	3	4	4	780	1101	137	43	96	breve
5	1	3	3	4	5	945	1103	80	41	96	che
