level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1495	190	329	72	-1	
3	1	1	1	0	0	1495	190	329	72	-1	
4	1	1	1	1	0	1495	190	329	72	-1	
5	1	1	1	1	1	1495	214	198	48	28	AG
2	1	2	0	0	0	311	288	2633	29	-1	
3	1	2	1	0	0	311	288	2633	29	-1	
4	1	2	1	1	0	311	288	2633	29	-1	
5	1	2	1	1	1	311	288	2633	29	95	 
2	1	3	0	0	0	312	310	2625	18	-1	
3	1	3	1	0	0	312	310	2625	18	-1	
4	1	3	1	1	0	312	310	2625	18	-1	
5	1	3	1	1	1	312	310	2625	18	95	 
2	1	4	0	0	0	1325	339	640	51	-1	
3	1	4	1	0	0	1325	339	640	51	-1	
4	1	4	1	1	0	1325	339	640	51	-1	
5	1	4	1	1	1	1325	356	214	34	93	TORNATA
5	1	4	1	1	2	1572	339	163	51	33	DELL'8
5	1	4	1	1	3	1771	356	194	34	95	GENNAIO
2	1	5	0	0	0	308	417	2633	20	-1	
3	1	5	1	0	0	308	417	2633	20	-1	
4	1	5	1	1	0	308	417	2633	20	-1	
5	1	5	1	1	1	308	417	2633	20	95	 
2	1	6	0	0	0	308	429	2633	20	-1	
3	1	6	1	0	0	308	429	2633	20	-1	
4	1	6	1	1	0	308	429	2633	20	-1	
5	1	6	1	1	1	308	429	2633	20	95	 
2	1	7	0	0	0	303	479	1308	3826	-1	
3	1	7	1	0	0	304	479	1292	109	-1	
4	1	7	1	1	0	304	479	1292	40	-1	
5	1	7	1	1	1	304	490	124	28	96	nuove
5	1	7	1	1	2	443	482	202	37	96	sarebbero
5	1	7	1	1	3	664	482	331	37	96	sostanzialmente
5	1	7	1	1	4	1012	491	20	25	96	e
5	1	7	1	1	5	1049	479	323	40	76	definitivamente
5	1	7	1	1	6	1388	488	208	28	95	commesse
4	1	7	1	2	0	305	539	642	49	-1	
5	1	7	1	2	1	305	540	34	36	96	al
5	1	7	1	2	2	360	540	100	36	96	buon
5	1	7	1	2	3	480	540	163	48	96	giudizio
5	1	7	1	2	4	659	540	61	38	96	del
5	1	7	1	2	5	741	539	206	37	96	Ministero.
3	1	7	2	0	0	303	599	1297	1191	-1	
4	1	7	2	1	0	357	599	1239	51	-1	
5	1	7	2	1	1	357	602	28	34	96	A
5	1	7	2	1	2	405	602	134	46	96	questo
5	1	7	2	1	3	557	600	180	50	96	riguardo
5	1	7	2	1	4	756	602	36	36	96	io
5	1	7	2	1	5	813	611	74	27	96	non
5	1	7	2	1	6	919	600	124	38	96	vorrei
5	1	7	2	1	7	1072	602	185	36	92	sollevare
5	1	7	2	1	8	1285	599	311	48	90	un’opposizione
4	1	7	2	2	0	304	659	1292	49	-1	
5	1	7	2	2	1	304	660	149	46	90	decisa
5	1	7	2	2	2	430	655	20	58	92	;
5	1	7	2	2	3	475	660	146	38	93	intanto
5	1	7	2	2	4	640	659	232	39	84	comincierò
5	1	7	2	2	5	885	671	19	27	96	a
5	1	7	2	2	6	921	670	160	38	96	pregare
5	1	7	2	2	7	1097	660	24	36	96	il
5	1	7	2	2	8	1137	660	130	48	95	signor
5	1	7	2	2	9	1283	660	161	44	96	relatore
5	1	7	2	2	10	1461	670	19	26	93	a
5	1	7	2	2	11	1497	660	99	46	92	spie-
4	1	7	2	3	0	304	719	1292	49	-1	
5	1	7	2	3	1	304	720	103	47	92	garci
5	1	7	2	3	2	425	730	39	26	92	se
5	1	7	2	3	3	485	720	74	47	90	egii
5	1	7	2	3	4	587	720	129	48	96	sappia
5	1	7	2	3	5	751	722	113	46	96	quale
5	1	7	2	3	6	897	722	55	36	96	sia
5	1	7	2	3	7	981	720	267	38	3	l'ammontare
5	1	7	2	3	8	1280	719	316	48	95	approssimativo
4	1	7	2	4	0	303	779	1290	49	-1	
5	1	7	2	4	1	303	779	37	36	96	di
5	1	7	2	4	2	355	780	98	36	96	tutte
5	1	7	2	4	3	471	782	136	46	96	queste
5	1	7	2	4	4	625	791	110	36	96	spese
5	1	7	2	4	5	753	780	272	38	0	straordinarie
5	1	7	2	4	6	1045	791	124	27	60	nuove
5	1	7	2	4	7	1189	782	150	46	96	portate
5	1	7	2	4	8	1355	782	38	34	97	in
5	1	7	2	4	9	1413	779	180	44	96	bilancio,
4	1	7	2	5	0	304	839	1291	47	-1	
5	1	7	2	5	1	304	839	47	37	96	ed
5	1	7	2	5	2	369	839	138	37	96	inoltre
5	1	7	2	5	3	525	850	40	26	96	se
5	1	7	2	5	4	583	842	36	34	96	la
5	1	7	2	5	5	637	842	272	36	95	Commissione
5	1	7	2	5	6	929	840	110	38	96	abbia
5	1	7	2	5	7	1055	842	140	36	96	sentito
5	1	7	2	5	8	1224	842	11	34	96	i
5	1	7	2	5	9	1261	840	164	36	96	ministri
5	1	7	2	5	10	1444	850	68	36	93	per
5	1	7	2	5	11	1532	848	63	27	80	sa-
4	1	7	2	6	0	305	900	1291	48	-1	
5	1	7	2	6	1	305	910	92	36	96	pere
5	1	7	2	6	2	429	900	46	36	96	da
5	1	7	2	6	3	508	902	81	34	96	loro
5	1	7	2	6	4	624	902	101	46	96	quali
5	1	7	2	6	5	759	903	206	36	95	sarebbero
5	1	7	2	6	6	992	912	21	26	96	a
5	1	7	2	6	7	1043	912	50	26	93	un
5	1	7	2	6	8	1123	902	172	46	92	dipresso
5	1	7	2	6	9	1324	900	129	48	78	quelle
5	1	7	2	6	10	1487	908	109	38	95	spese
4	1	7	2	7	0	304	960	1292	40	-1	
5	1	7	2	7	1	304	962	275	37	96	straordinarie
5	1	7	2	7	2	599	962	69	37	96	che
5	1	7	2	7	3	688	972	75	27	96	non
5	1	7	2	7	4	781	964	234	36	96	ammettono
5	1	7	2	7	5	1043	962	197	37	96	dilazione.
