level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1548	257	298	50	-1	
3	1	1	1	0	0	1548	257	298	50	-1	
4	1	1	1	1	0	1548	257	298	50	-1	
5	1	1	1	1	1	1548	285	59	9	92	—
5	1	1	1	1	2	1650	257	94	50	88	892
5	1	1	1	1	3	1787	286	59	8	88	—
2	1	2	0	0	0	439	338	2450	27	-1	
3	1	2	1	0	0	439	338	2450	27	-1	
4	1	2	1	1	0	439	338	2450	27	-1	
5	1	2	1	1	1	439	338	2450	27	95	 
2	1	3	0	0	0	439	358	2450	17	-1	
3	1	3	1	0	0	439	358	2450	17	-1	
4	1	3	1	1	0	439	358	2450	17	-1	
5	1	3	1	1	1	439	358	2450	17	95	 
2	1	4	0	0	0	1443	484	508	4	-1	
3	1	4	1	0	0	1443	484	508	4	-1	
4	1	4	1	1	0	1443	484	508	4	-1	
5	1	4	1	1	1	1443	484	508	4	95	 
2	1	5	0	0	0	416	547	1238	3622	-1	
3	1	5	1	0	0	425	547	1229	544	-1	
4	1	5	1	1	0	428	547	1223	55	-1	
5	1	5	1	1	1	428	553	67	38	97	dia
5	1	5	1	1	2	513	551	106	51	95	degli
5	1	5	1	1	3	639	551	173	50	95	stipendi
5	1	5	1	1	4	823	551	41	38	96	fu
5	1	5	1	1	5	876	550	40	37	95	di
5	1	5	1	1	6	927	549	71	38	75	live
5	1	5	1	1	7	1008	550	75	37	96	396
5	1	5	1	1	8	1095	549	63	49	96	pei
5	1	5	1	1	9	1168	547	127	40	96	nostri
5	1	5	1	1	10	1307	547	163	39	93	maestri
5	1	5	1	1	11	1482	547	169	38	90	elemen-
4	1	5	1	2	0	429	609	1222	56	-1	
5	1	5	1	2	1	429	615	98	46	96	tari;
5	1	5	1	2	2	545	615	71	50	96	più
5	1	5	1	2	3	635	615	34	38	97	ci
5	1	5	1	2	4	689	614	178	39	96	rivelano
5	1	5	1	2	5	886	613	141	48	96	questo
5	1	5	1	2	6	1047	613	101	37	96	altro
5	1	5	1	2	7	1168	611	104	39	96	fatto
5	1	5	1	2	8	1296	611	231	39	93	veramente
5	1	5	1	2	9	1546	609	105	38	93	dolo-
4	1	5	1	3	0	427	673	1225	52	-1	
5	1	5	1	3	1	427	690	86	25	92	roso
5	1	5	1	3	2	533	678	47	37	96	ed
5	1	5	1	3	3	599	675	225	48	95	umiliante,
5	1	5	1	3	4	856	689	20	25	96	e
5	1	5	1	3	5	908	675	30	38	95	il
5	1	5	1	3	6	966	677	117	48	95	quale
5	1	5	1	3	7	1103	674	197	40	96	dovrebbe
5	1	5	1	3	8	1324	674	159	37	94	bastare
5	1	5	1	3	9	1503	673	49	37	96	da
5	1	5	1	3	10	1572	673	80	37	96	solo
4	1	5	1	4	0	427	735	1221	55	-1	
5	1	5	1	4	1	427	753	24	25	94	a
5	1	5	1	4	2	468	739	171	39	27	chiarire
5	1	5	1	4	3	671	739	201	51	96	l'urgenza
5	1	5	1	4	4	903	738	40	37	96	di
5	1	5	1	4	5	975	738	85	39	96	fare
5	1	5	1	4	6	1088	738	167	48	96	qualche
5	1	5	1	4	7	1275	749	107	33	96	cosa;
5	1	5	1	4	8	1402	735	36	40	74	ci
5	1	5	1	4	9	1456	735	192	46	96	rivelano,
4	1	5	1	5	0	427	799	1221	51	-1	
5	1	5	1	5	1	427	803	94	46	96	cioè,
5	1	5	1	5	2	544	803	83	47	96	che,
5	1	5	1	5	3	664	803	153	38	96	mentre
5	1	5	1	5	4	845	802	43	37	96	in
5	1	5	1	5	5	906	801	98	38	96	tutti
5	1	5	1	5	6	1026	801	54	49	96	gli
5	1	5	1	5	7	1100	801	94	37	96	altri
5	1	5	1	5	8	1211	799	103	39	96	rami
5	1	5	1	5	9	1331	799	41	38	96	vi
5	1	5	1	5	10	1391	802	19	35	96	è
5	1	5	1	5	11	1430	809	218	38	96	progresso,
4	1	5	1	6	0	425	861	1227	52	-1	
5	1	5	1	6	1	425	866	106	37	96	nella
5	1	5	1	6	2	564	865	223	38	96	condizione
5	1	5	1	6	3	817	863	105	50	93	degli
5	1	5	1	6	4	955	865	228	48	51	insecnanti
5	1	5	1	6	5	1207	863	36	38	95	ci
5	1	5	1	6	6	1262	866	17	35	96	è
5	1	5	1	6	7	1300	873	192	38	96	regresso,
5	1	5	1	6	8	1511	861	141	48	95	perchè
4	1	5	1	7	0	427	922	1227	55	-1	
5	1	5	1	7	1	427	927	142	50	96	questa
5	1	5	1	7	2	600	929	125	36	92	stessa
5	1	5	1	7	3	757	926	314	39	80	meschinissima
5	1	5	1	7	4	1103	926	128	37	96	media
5	1	5	1	7	5	1263	925	41	36	96	di
5	1	5	1	7	6	1335	923	72	39	96	lire
5	1	5	1	7	7	1436	925	74	36	92	396
5	1	5	1	7	8	1530	922	69	39	96	che
