level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1516	302	328	52	-1	
3	1	1	1	0	0	1516	302	328	52	-1	
4	1	1	1	1	0	1516	302	328	52	-1	
5	1	1	1	1	1	1516	330	50	10	76	—
5	1	1	1	1	2	1617	302	95	52	77	DIE
5	1	1	1	1	3	1761	308	83	32	87	—
2	1	2	0	0	0	986	431	1354	55	-1	
3	1	2	1	0	0	986	431	1354	55	-1	
4	1	2	1	1	0	986	431	1354	55	-1	
5	1	2	1	1	1	986	440	202	38	96	CAMERA
5	1	2	1	1	2	1224	442	84	37	96	DEI
5	1	2	1	1	3	1342	442	247	38	93	DEPUTATI
5	1	2	1	1	4	1629	458	61	8	88	—
5	1	2	1	1	5	1728	440	228	39	93	SESSIONE
5	1	2	1	1	6	1993	443	93	36	96	DEL
5	1	2	1	1	7	2128	431	212	55	94	1871-72
2	1	3	0	0	0	361	504	2630	25	-1	
3	1	3	1	0	0	361	504	2630	25	-1	
4	1	3	1	1	0	361	504	2630	25	-1	
5	1	3	1	1	1	361	504	2630	25	95	 
2	1	4	0	0	0	360	515	2631	24	-1	
3	1	4	1	0	0	360	515	2631	24	-1	
4	1	4	1	1	0	360	515	2631	24	-1	
5	1	4	1	1	1	360	515	2631	24	95	 
2	1	5	0	0	0	325	567	1331	3830	-1	
3	1	5	1	0	0	355	567	1289	124	-1	
4	1	5	1	1	0	355	567	1289	55	-1	
5	1	5	1	1	1	355	567	236	44	92	autorevoli
5	1	5	1	1	2	611	567	42	43	96	di
5	1	5	1	1	3	673	580	79	42	96	me,
5	1	5	1	1	4	775	580	46	31	96	se
5	1	5	1	1	5	841	580	87	30	96	non
5	1	5	1	1	6	948	568	36	43	96	si
5	1	5	1	1	7	1014	570	206	41	96	trattasse
5	1	5	1	1	8	1258	567	43	44	96	di
5	1	5	1	1	9	1332	582	57	28	96	un
5	1	5	1	1	10	1430	567	214	45	96	desiderio
4	1	5	1	2	0	356	634	1285	57	-1	
5	1	5	1	2	1	356	634	76	56	96	più
5	1	5	1	2	2	451	635	117	44	81	volte
5	1	5	1	2	3	581	635	347	44	81	esolennemente
5	1	5	1	2	4	940	634	272	45	96	manifestato
5	1	5	1	2	5	1225	636	43	43	96	in
5	1	5	1	2	6	1286	638	152	53	96	questa
5	1	5	1	2	7	1449	635	192	44	95	Camera.
3	1	5	2	0	0	325	700	1317	266	-1	
4	1	5	2	1	0	415	700	1227	60	-1	
5	1	5	2	1	1	415	703	94	45	96	Non
5	1	5	2	1	2	531	706	58	40	96	mi
