level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	689	321	484	53	-1	
3	1	1	1	0	0	689	321	484	53	-1	
4	1	1	1	1	0	689	321	484	53	-1	
5	1	1	1	1	1	689	323	103	50	95	Atti
5	1	1	1	1	2	824	321	349	53	96	Parlamentari
2	1	2	0	0	0	1753	319	299	48	-1	
3	1	2	1	0	0	1753	319	299	48	-1	
4	1	2	1	1	0	1753	319	299	48	-1	
5	1	2	1	1	1	1753	334	62	24	28	2
5	1	2	1	1	2	1857	319	88	48	55	151
5	1	2	1	1	3	1992	341	42	14	82	—
2	1	3	0	0	0	2577	318	574	65	-1	
3	1	3	1	0	0	2577	318	574	65	-1	
4	1	3	1	1	0	2577	318	574	65	-1	
5	1	3	1	1	1	2577	319	203	51	96	Camera
5	1	3	1	1	2	2815	318	76	52	95	dei
5	1	3	1	1	3	2921	318	230	65	96	Deputati
2	1	4	0	0	0	659	403	2500	22	-1	
3	1	4	1	0	0	659	403	2500	22	-1	
4	1	4	1	1	0	659	403	2500	22	-1	
5	1	4	1	1	1	659	403	2500	22	95	 
2	1	5	0	0	0	659	425	2500	10	-1	
3	1	5	1	0	0	659	425	2500	10	-1	
4	1	5	1	1	0	659	425	2500	10	-1	
5	1	5	1	1	1	659	425	2500	10	95	 
2	1	6	0	0	0	3143	433	16	8	-1	
3	1	6	1	0	0	3143	433	16	8	-1	
4	1	6	1	1	0	3143	433	16	8	-1	
5	1	6	1	1	1	3143	433	16	8	56	=
2	1	7	0	0	0	944	465	1947	57	-1	
3	1	7	1	0	0	944	465	1947	57	-1	
4	1	7	1	1	0	944	465	1947	57	-1	
5	1	7	1	1	1	944	481	229	40	96	SESSIONE
5	1	7	1	1	2	1208	481	96	38	96	DEL
5	1	7	1	1	3	1344	469	128	53	94	1876
5	1	7	1	1	4	1512	495	64	26	43	+
5	1	7	1	1	5	1611	478	301	40	93	DISCUSSIONI
5	1	7	1	1	6	1948	495	63	10	37	-—
5	1	7	1	1	7	2048	478	240	40	96	TORNATA
5	1	7	1	1	8	2323	469	93	48	91	DEL
5	1	7	1	1	9	2457	467	62	50	96	16
5	1	7	1	1	10	2556	478	167	39	82	MARZO
5	1	7	1	1	11	2764	465	127	53	96	1876
2	1	8	0	0	0	659	565	2513	12	-1	
3	1	8	1	0	0	659	565	2513	12	-1	
4	1	8	1	1	0	659	565	2513	12	-1	
5	1	8	1	1	1	659	565	2513	12	95	 
2	1	9	0	0	0	659	578	2513	13	-1	
3	1	9	1	0	0	659	578	2513	13	-1	
4	1	9	1	1	0	659	578	2513	13	-1	
5	1	9	1	1	1	659	578	2513	13	95	 
2	1	10	0	0	0	643	655	1232	2980	-1	
3	1	10	1	0	0	648	655	1227	860	-1	
4	1	10	1	1	0	653	655	1219	58	-1	
5	1	10	1	1	1	653	657	178	45	96	Camera
5	1	10	1	1	2	851	657	30	44	96	il
5	1	10	1	1	3	900	669	217	44	96	permesso
5	1	10	1	1	4	1140	657	44	42	93	di
5	1	10	1	1	5	1205	657	196	42	93	differirli
5	1	10	1	1	6	1416	657	56	44	96	ad
5	1	10	1	1	7	1488	658	161	43	96	assetto
5	1	10	1	1	8	1669	655	203	44	96	normale.
4	1	10	1	2	0	655	723	1220	58	-1	
5	1	10	1	2	1	655	726	81	43	96	Per
5	1	10	1	2	2	755	727	152	54	96	questo
5	1	10	1	2	3	927	725	54	44	95	ho
5	1	10	1	2	4	1005	725	200	44	91	ordinato
5	1	10	1	2	5	1227	725	78	42	96	che
5	1	10	1	2	6	1339	726	116	43	96	tutte
5	1	10	1	2	7	1488	725	140	56	93	quelle
5	1	10	1	2	8	1656	723	219	46	91	modifica-
4	1	10	1	3	0	653	793	1222	56	-1	
5	1	10	1	3	1	653	793	115	45	96	zioni
5	1	10	1	3	2	788	794	43	43	96	di
5	1	10	1	3	3	851	793	232	54	96	ricettario,
5	1	10	1	3	4	1105	793	110	44	96	delle
5	1	10	1	3	5	1233	793	122	56	96	quali
5	1	10	1	3	6	1371	793	42	44	96	io
5	1	10	1	3	7	1433	805	132	33	96	aveva
5	1	10	1	3	8	1581	793	186	54	96	parlato,
5	1	10	1	3	9	1788	803	87	32	96	non
4	1	10	1	4	0	652	859	1220	58	-1	
5	1	10	1	4	1	652	861	37	44	96	si
5	1	10	1	4	2	709	861	224	53	96	facessero,
5	1	10	1	4	3	956	873	25	32	81	0
5	1	10	1	4	4	1003	861	36	44	96	si
5	1	10	1	4	5	1059	859	214	46	96	facessero
5	1	10	1	4	6	1289	861	46	44	96	in
5	1	10	1	4	7	1363	861	286	56	96	proporzione
5	1	10	1	4	8	1683	859	189	44	94	minima.
4	1	10	1	5	0	651	927	1220	55	-1	
5	1	10	1	5	1	651	929	96	42	96	Non
5	1	10	1	5	2	767	927	54	44	96	ho
5	1	10	1	5	3	843	927	148	44	93	voluto
5	1	10	1	5	4	1011	929	313	44	90	avventurarmi
5	1	10	1	5	5	1353	929	46	44	96	in
5	1	10	1	5	6	1428	942	59	29	96	un
5	1	10	1	5	7	1505	930	170	41	96	terreno
5	1	10	1	5	8	1705	927	166	55	96	ignoto,
4	1	10	1	6	0	652	994	1221	57	-1	
5	1	10	1	6	1	652	995	167	54	91	dove,al
5	1	10	1	6	2	833	995	138	55	96	primo
5	1	10	1	6	3	984	1009	196	30	94	muovere
5	1	10	1	6	4	1193	995	32	44	96	il
5	1	10	1	6	5	1235	997	136	54	96	piede,
5	1	10	1	6	6	1385	997	43	44	96	io
5	1	10	1	6	7	1441	995	59	44	96	mi
5	1	10	1	6	8	1516	1007	72	32	96	era
5	1	10	1	6	9	1601	997	171	42	96	trovato
5	1	10	1	6	10	1784	994	89	44	96	così
4	1	10	1	7	0	651	1062	1222	57	-1	
