level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	391	301	2496	110	-1	
3	1	1	1	0	0	391	301	2496	113	-1	
4	1	1	1	1	0	391	301	2496	110	-1	
5	1	1	1	1	1	391	331	101	50	87	Atti
5	1	1	1	1	2	527	302	362	81	73	Farlameniari
5	1	1	1	1	3	1440	359	58	15	21	Ce
5	1	1	1	1	4	1571	302	120	84	82	6865
5	1	1	1	1	5	1740	353	65	22	4	ner
5	1	1	1	1	6	1856	367	93	11	0	EEN
5	1	1	1	1	7	2255	377	8	2	72	.
5	1	1	1	1	8	2291	338	198	73	96	Camera
5	1	1	1	1	9	2492	301	107	107	96	dei
5	1	1	1	1	10	2632	333	255	72	91	Deputati
5	1	1	1	1	11	2861	329	27	80	76	.
2	1	2	0	0	0	371	416	2497	27	-1	
3	1	2	1	0	0	371	416	2497	27	-1	
4	1	2	1	1	0	371	416	2497	27	-1	
5	1	2	1	1	1	371	416	2497	27	95	 
2	1	3	0	0	0	364	421	2503	24	-1	
3	1	3	1	0	0	364	421	2503	24	-1	
4	1	3	1	1	0	364	421	2503	24	-1	
5	1	3	1	1	1	364	421	2503	24	95	 
2	1	4	0	0	0	371	422	2496	22	-1	
3	1	4	1	0	0	371	422	2496	22	-1	
4	1	4	1	1	0	371	422	2496	22	-1	
5	1	4	1	1	1	371	422	2496	22	95	 
2	1	5	0	0	0	603	427	2265	12	-1	
3	1	5	1	0	0	603	427	2265	12	-1	
4	1	5	1	1	0	603	427	2265	12	-1	
5	1	5	1	1	1	603	427	2265	12	95	 
2	1	6	0	0	0	371	435	2496	19	-1	
3	1	6	1	0	0	371	435	2496	19	-1	
4	1	6	1	1	0	371	435	2496	19	-1	
5	1	6	1	1	1	371	435	2496	19	95	 
2	1	7	0	0	0	603	436	2264	18	-1	
3	1	7	1	0	0	603	436	2264	18	-1	
4	1	7	1	1	0	603	436	2264	18	-1	
5	1	7	1	1	1	603	436	2264	18	95	 
2	1	8	0	0	0	547	483	2117	55	-1	
3	1	8	1	0	0	547	483	2117	55	-1	
4	1	8	1	1	0	547	483	2117	55	-1	
5	1	8	1	1	1	547	491	185	40	91	LEGISL.
5	1	8	1	1	2	757	493	90	37	81	XIV
5	1	8	1	1	3	869	509	67	8	92	—
5	1	8	1	1	4	967	483	48	47	36	l1*
5	1	8	1	1	5	1037	493	236	38	93	SESSIONE
5	1	8	1	1	6	1301	511	63	8	93	—
5	1	8	1	1	7	1389	493	315	41	65	DISCUSSIONI
5	1	8	1	1	8	1725	511	67	23	43	—
5	1	8	1	1	9	1808	486	60	48	25	1*
5	1	8	1	1	10	1887	497	244	38	96	TORNATA
5	1	8	1	1	11	2155	494	94	40	94	DEL
5	1	8	1	1	12	2276	487	27	48	96	2
5	1	8	1	1	13	2331	497	178	38	95	LUGLIO
5	1	8	1	1	14	2539	487	125	51	94	1881
2	1	9	0	0	0	365	578	2502	18	-1	
3	1	9	1	0	0	365	578	2502	18	-1	
4	1	9	1	1	0	365	578	2502	18	-1	
5	1	9	1	1	1	365	578	2502	18	95	 
2	1	10	0	0	0	365	591	2503	19	-1	
3	1	10	1	0	0	365	591	2503	19	-1	
4	1	10	1	1	0	365	591	2503	19	-1	
5	1	10	1	1	1	365	591	2503	19	95	 
2	1	11	0	0	0	679	829	1892	296	-1	
3	1	11	1	0	0	679	794	1892	331	-1	
4	1	11	1	1	0	1427	829	394	117	-1	
5	1	11	1	1	1	1427	829	394	117	72	COXXVI.
4	1	11	1	2	0	679	1001	1892	124	-1	
5	1	11	1	2	1	679	1043	78	76	90	1°
5	1	11	1	2	2	809	1043	428	79	96	TORNATA
5	1	11	1	2	3	1303	1046	89	76	96	DI
5	1	11	1	2	4	1453	1045	359	80	95	SABATO
5	1	11	1	2	5	1872	1045	45	77	96	2
5	1	11	1	2	6	1940	1001	375	124	96	LUGLIO
5	1	11	1	2	7	2380	1045	191	80	93	1881
2	1	12	0	0	0	989	1403	1274	63	-1	
3	1	12	1	0	0	989	1403	1274	63	-1	
4	1	12	1	1	0	989	1403	1274	63	-1	
5	1	12	1	1	1	989	1403	308	63	96	PRESIDENZA
5	1	12	1	1	2	1332	1405	96	40	92	DEL
5	1	12	1	1	3	1464	1405	448	41	90	VICE-PRESIDENTE
5	1	12	1	1	4	1948	1406	315	39	84	SPANTIGATI.
2	1	13	0	0	0	360	1575	2572	1254	-1	
3	1	13	1	0	0	360	1575	2572	648	-1	
4	1	13	1	1	0	360	1575	2533	106	-1	
5	1	13	1	1	1	360	1609	309	46	44	SOMMARIO.
5	1	13	1	1	2	712	1613	47	42	70	Il
5	1	13	1	1	3	777	1613	199	56	93	deputato
5	1	13	1	1	4	1000	1615	228	46	92	Baratieri
5	1	13	1	1	5	1244	1575	200	106	96	presenta
5	1	13	1	1	6	1468	1615	43	46	95	la
5	1	13	1	1	7	1531	1610	216	52	94	relazione
5	1	13	1	1	8	1767	1617	292	45	24	sull'aumento
5	1	13	1	1	9	2079	1615	116	56	96	degli
5	1	13	1	1	10	2216	1617	171	56	96	assegni
5	1	13	1	1	11	2427	1617	184	44	95	stabiliti
5	1	13	1	1	12	2631	1617	120	58	96	dalla
5	1	13	1	1	13	2773	1603	120	68	95	legge
4	1	13	1	2	0	415	1681	2477	60	-1	
5	1	13	1	2	1	415	1681	112	44	96	sulla
5	1	13	1	2	2	548	1682	341	55	74	reintegrazione
5	1	13	1	2	3	911	1685	68	42	96	dei
5	1	13	1	2	4	999	1675	129	63	96	gradi
5	1	13	1	2	5	1148	1685	184	44	96	militari
5	1	13	1	2	6	1351	1682	174	59	96	perduti
5	1	13	1	2	7	1544	1699	79	40	96	per
5	1	13	1	2	8	1643	1697	130	33	96	causa
5	1	13	1	2	9	1791	1686	181	53	96	politica
5	1	13	1	2	10	1995	1699	20	30	95	e
5	1	13	1	2	11	2035	1686	113	44	94	sulla
5	1	13	1	2	12	2171	1686	266	44	96	concessione
5	1	13	1	2	13	2459	1686	46	43	97	di
5	1	13	1	2	14	2537	1687	168	54	93	assegni
5	1	13	1	2	15	2720	1673	172	57	92	vitalizi
4	1	13	1	3	0	417	1750	2474	64	-1	
5	1	13	1	3	1	417	1762	27	29	96	a
5	1	13	1	3	2	465	1751	119	42	93	titolo
5	1	13	1	3	3	607	1750	45	43	96	di
5	1	13	1	3	4	672	1751	293	54	96	ricompensa;
5	1	13	1	3	5	987	1753	50	42	96	ed
5	1	13	1	3	6	1057	1753	32	42	88	il
5	1	13	1	3	7	1109	1753	202	61	96	deputato
5	1	13	1	3	8	1329	1753	159	61	96	Nicola
5	1	13	1	3	9	1508	1753	185	44	37	Fabrizi
5	1	13	1	3	10	1715	1753	146	45	96	chiede
5	1	13	1	3	11	1887	1753	72	44	96	che
5	1	13	1	3	12	1980	1767	49	30	96	ne
5	1	13	1	3	13	2049	1753	71	44	96	sia
5	1	13	1	3	14	2140	1753	245	45	96	dichiarata
5	1	13	1	3	15	2408	1753	231	54	49	d'urgenza
5	1	13	1	3	16	2663	1754	42	43	93	la
5	1	13	1	3	17	2727	1754	164	53	93	discus-
4	1	13	1	4	0	416	1819	2476	56	-1	
5	1	13	1	4	1	416	1819	125	43	93	sione.
5	1	13	1	4	2	559	1838	52	15	94	=
5	1	13	1	4	3	625	1819	276	44	95	Discussione
5	1	13	1	4	4	913	1821	66	42	96	del
5	1	13	1	4	5	993	1819	183	46	96	bilancio
5	1	13	1	4	6	1193	1821	48	44	96	di
5	1	13	1	4	7	1257	1822	219	53	90	definitiva
5	1	13	1	4	8	1496	1823	243	52	96	previsione
5	1	13	1	4	9	1752	1822	68	41	96	del
5	1	13	1	4	10	1835	1822	232	43	96	Ministero
5	1	13	1	4	11	2085	1822	262	44	11	dell'interno
5	1	13	1	4	12	2364	1846	53	8	93	—
5	1	13	1	4	13	2435	1823	192	43	96	Parlano
5	1	13	1	4	14	2645	1823	34	42	19	il
5	1	13	1	4	15	2695	1823	197	43	86	ministro
4	1	13	1	5	0	417	1886	2480	59	-1	
5	1	13	1	5	1	417	1886	280	55	69	dell'interno,
5	1	13	1	5	2	723	1889	17	42	96	i
5	1	13	1	5	3	760	1889	193	53	96	deputati
5	1	13	1	5	4	973	1889	67	42	67	La
5	1	13	1	5	5	1060	1887	148	55	93	Porta,
5	1	13	1	5	6	1233	1889	220	54	91	Saladini,
5	1	13	1	5	7	1475	1890	193	53	94	Ferrini,
5	1	13	1	5	8	1697	1889	59	44	93	Di
5	1	13	1	5	9	1769	1890	183	51	92	Rudinì,
5	1	13	1	5	10	1989	1891	267	52	92	Marescotti,
5	1	13	1	5	11	2296	1890	143	55	71	Ariîsi,
5	1	13	1	5	12	2475	1890	186	55	93	Ruspoli
5	1	13	1	5	13	2681	1893	70	50	87	A.,
5	1	13	1	5	14	2789	1891	108	44	91	Gio-
4	1	13	1	6	0	419	1954	2476	65	-1	
5	1	13	1	6	1	419	1954	186	55	91	vagnoli,
5	1	13	1	6	2	627	1955	61	44	96	Di
5	1	13	1	6	3	711	1957	320	54	81	Sant'Onofrio,
5	1	13	1	6	4	1052	1955	225	58	92	Diligenti,
5	1	13	1	6	5	1319	1958	246	53	93	Cavalletto,
5	1	13	1	6	6	1591	1958	149	53	43	Cangi,
5	1	13	1	6	7	1776	1958	68	44	93	De
5	1	13	1	6	8	1875	1959	169	54	38	Reneis,
5	1	13	1	6	9	2065	1959	183	44	93	relatore
5	1	13	1	6	10	2285	1982	52	8	89	—
5	1	13	1	6	11	2375	1959	45	43	94	Il
5	1	13	1	6	12	2460	1959	203	54	93	deputato
5	1	13	1	6	13	2705	1958	190	61	91	Calciati
4	1	13	1	7	0	417	2023	2476	58	-1	
5	1	13	1	7	1	417	2023	138	55	96	svolge
5	1	13	1	7	2	575	2037	86	30	96	una
5	1	13	1	7	3	683	2038	78	29	96	sua
5	1	13	1	7	4	783	2025	354	56	83	interrogazione,
5	1	13	1	7	5	1159	2026	72	43	97	che
5	1	13	1	7	6	1247	2026	53	55	96	fu
5	1	13	1	7	7	1320	2027	181	43	85	rimessa
5	1	13	1	7	8	1521	2026	47	44	96	al
5	1	13	1	7	9	1575	2023	194	58	96	capitolo
5	1	13	1	7	10	1793	2029	54	41	96	60
5	1	13	1	7	11	1868	2025	67	45	96	del
5	1	13	1	7	12	1952	2026	189	44	94	bilancio
5	1	13	1	7	13	2161	2027	48	42	90	în
5	1	13	1	7	14	2231	2027	292	43	71	discussione»
5	1	13	1	7	15	2540	2027	275	44	96	Costruzione
