level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	113	370	463	41	-1	
3	1	1	1	0	0	113	370	463	41	-1	
4	1	1	1	1	0	113	370	463	41	-1	
5	1	1	1	1	1	113	375	95	36	0	Att
5	1	1	1	1	2	249	370	327	39	91	Parlamentari
2	1	2	0	0	0	1133	367	324	42	-1	
3	1	2	1	0	0	1133	367	324	42	-1	
4	1	2	1	1	0	1133	367	324	42	-1	
5	1	2	1	1	1	1133	390	56	7	93	—
5	1	2	1	1	2	1219	367	148	42	33	26223
5	1	2	1	1	3	1409	389	48	6	87	--
2	1	3	0	0	0	1955	363	529	54	-1	
3	1	3	1	0	0	1955	363	529	54	-1	
4	1	3	1	1	0	1955	363	529	54	-1	
5	1	3	1	1	1	1955	366	193	39	95	Camera
5	1	3	1	1	2	2163	363	73	43	96	dei
5	1	3	1	1	3	2265	365	219	52	86	Deputati
2	1	4	0	0	0	64	425	2476	19	-1	
3	1	4	1	0	0	64	425	2476	19	-1	
4	1	4	1	1	0	64	425	2476	19	-1	
5	1	4	1	1	1	64	425	2476	19	95	 
2	1	5	0	0	0	349	433	2019	54	-1	
3	1	5	1	0	0	349	433	2019	54	-1	
4	1	5	1	1	0	349	433	2019	54	-1	
5	1	5	1	1	1	349	457	282	30	93	LEGISLATURA
5	1	5	1	1	2	653	457	112	30	42	XXII
5	1	5	1	1	3	800	469	55	6	93	—
5	1	5	1	1	4	881	453	40	30	20	1
5	1	5	1	1	5	944	455	196	32	93	SESSIONE
5	1	5	1	1	6	1176	467	57	11	91	—
5	1	5	1	1	7	1260	454	264	32	92	DISCUSSIONI
5	1	5	1	1	8	1547	466	56	7	91	—
5	1	5	1	1	9	1636	453	192	32	95	TORNATA
5	1	5	1	1	10	1859	453	78	30	96	DEL
5	1	5	1	1	11	1971	433	61	49	96	10
5	1	5	1	1	12	2059	453	157	32	75	Maggio
5	1	5	1	1	13	2249	443	119	40	95	1913
2	1	6	0	0	0	77	497	2459	19	-1	
