level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	373	326	463	55	-1	
3	1	1	1	0	0	373	326	463	55	-1	
4	1	1	1	1	0	373	326	463	55	-1	
5	1	1	1	1	1	373	331	106	44	81	Atti
5	1	1	1	1	2	504	326	332	55	96	Parlamentari
2	1	2	0	0	0	1403	333	294	44	-1	
3	1	2	1	0	0	1403	333	294	44	-1	
4	1	2	1	1	0	1403	333	294	44	-1	
5	1	2	1	1	1	1403	358	54	8	91	—
5	1	2	1	1	2	1491	333	206	44	46	14410
5	1	2	1	1	3	1627	329	68	67	92	—
2	1	3	0	0	0	2200	334	540	55	-1	
3	1	3	1	0	0	2200	334	540	55	-1	
4	1	3	1	1	0	2200	334	540	55	-1	
5	1	3	1	1	1	2200	335	189	43	95	Camera
5	1	3	1	1	2	2416	334	76	45	93	dei
5	1	3	1	1	3	2516	334	224	55	90	Deputati
2	1	4	0	0	0	316	404	2484	23	-1	
3	1	4	1	0	0	316	404	2484	23	-1	
4	1	4	1	1	0	316	404	2484	23	-1	
5	1	4	1	1	1	316	404	2484	23	95	 
2	1	5	0	0	0	320	531	2480	9	-1	
3	1	5	1	0	0	320	531	2480	9	-1	
4	1	5	1	1	0	320	531	2480	9	-1	
5	1	5	1	1	1	320	531	2480	9	95	 
2	1	6	0	0	0	475	435	2154	62	-1	
3	1	6	1	0	0	475	435	2154	62	-1	
4	1	6	1	1	0	475	435	2154	62	-1	
5	1	6	1	1	1	475	459	290	34	96	LEGISLATURA
5	1	6	1	1	2	793	459	119	32	92	XXVII
5	1	6	1	1	3	937	435	59	44	92	—
5	1	6	1	1	4	1024	451	47	42	36	1®
5	1	6	1	1	5	1099	435	204	59	92	SESSIONE
5	1	6	1	1	6	1328	474	57	8	92	—
5	1	6	1	1	7	1411	459	265	35	93	DISCUSSIONI
5	1	6	1	1	8	1697	462	62	25	91	—
5	1	6	1	1	9	1781	451	48	42	84	2
5	1	6	1	1	10	1851	457	209	40	96	TORNATA
5	1	6	1	1	11	2097	466	84	29	54	DEL
5	1	6	1	1	12	2215	451	58	46	96	20
5	1	6	1	1	13	2305	437	174	60	45	GIUGNO
