level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	272	319	461	41	-1	
3	1	1	1	0	0	272	319	461	41	-1	
4	1	1	1	1	0	272	319	461	41	-1	
5	1	1	1	1	1	272	321	95	39	73	Atti
5	1	1	1	1	2	396	319	337	40	96	Parlamentari
2	1	2	0	0	0	1020	388	112	11	-1	
3	1	2	1	0	0	1020	388	112	11	-1	
4	1	2	1	1	0	1020	388	112	11	-1	
5	1	2	1	1	1	1020	388	112	11	12	——"
2	1	3	0	0	0	219	388	773	17	-1	
3	1	3	1	0	0	219	388	773	17	-1	
4	1	3	1	1	0	219	388	773	17	-1	
5	1	3	1	1	1	219	388	773	17	95	 
2	1	4	0	0	0	1312	316	294	45	-1	
3	1	4	1	0	0	1312	316	294	45	-1	
4	1	4	1	1	0	1312	316	294	45	-1	
5	1	4	1	1	1	1312	341	58	7	88	—
5	1	4	1	1	2	1402	316	116	45	86	5373
5	1	4	1	1	3	1549	340	57	7	88	—
2	1	5	0	0	0	2109	311	538	48	-1	
3	1	5	1	0	0	2109	311	538	48	-1	
4	1	5	1	1	0	2109	311	538	48	-1	
5	1	5	1	1	1	2109	312	189	41	93	Camera
5	1	5	1	1	2	2329	311	73	40	8	deìi
5	1	5	1	1	3	2430	311	217	48	96	Deputati
2	1	6	0	0	0	2160	380	543	13	-1	
3	1	6	1	0	0	2160	380	543	13	-1	
4	1	6	1	1	0	2160	380	543	13	-1	
5	1	6	1	1	1	2160	380	543	13	95	 
2	1	7	0	0	0	377	427	2185	50	-1	
3	1	7	1	0	0	377	427	2185	50	-1	
4	1	7	1	1	0	377	427	2185	50	-1	
5	1	7	1	1	1	377	447	306	30	96	LEGISLATURA
5	1	7	1	1	2	713	447	111	28	93	XXIX
5	1	7	1	1	3	852	460	54	4	93	—
5	1	7	1	1	4	937	439	37	36	93	4?
5	1	7	1	1	5	1006	444	206	31	93	SESSIONE
5	1	7	1	1	6	1240	457	54	6	91	—
5	1	7	1	1	7	1322	441	283	34	93	DISCUSSIONI
5	1	7	1	1	8	1634	455	56	5	92	—
5	1	7	1	1	9	1721	433	39	38	88	4*
5	1	7	1	1	10	1789	439	191	32	96	TORNATA
5	1	7	1	1	11	2012	443	82	30	72	DEI.
5	1	7	1	1	12	2129	429	24	43	93	7
5	1	7	1	1	13	2188	441	224	31	84	picemBRE
5	1	7	1	1	14	2450	427	112	45	96	1938
2	1	8	0	0	0	217	505	2481	23	-1	
3	1	8	1	0	0	217	505	2481	23	-1	
4	1	8	1	1	0	217	505	2481	23	-1	
5	1	8	1	1	1	217	505	2481	23	95	 
2	1	9	0	0	0	477	601	676	54	-1	
3	1	9	1	0	0	477	601	676	54	-1	
4	1	9	1	1	0	477	601	676	54	-1	
5	1	9	1	1	1	477	604	195	43	52	Seconda
5	1	9	1	1	2	705	601	231	43	96	votazione
5	1	9	1	1	3	968	601	185	54	92	segreta.
2	1	10	0	0	0	220	715	1190	178	-1	
3	1	10	1	0	0	220	715	1190	178	-1	
4	1	10	1	1	0	311	715	1097	41	-1	
5	1	10	1	1	1	311	716	420	40	93	PRESIDENTE.
5	1	10	1	1	2	780	715	301	40	92	Procediamo
5	1	10	1	1	3	1132	715	90	37	70	alla
5	1	10	1	1	4	1276	716	132	37	70	vota-
4	1	10	1	2	0	221	776	1189	52	-1	
5	1	10	1	2	1	221	779	132	38	96	zione
5	1	10	1	2	2	384	780	181	48	96	segreta
5	1	10	1	2	3	596	789	47	27	96	su
5	1	10	1	2	4	679	776	104	40	96	altri
5	1	10	1	2	5	816	776	148	39	96	dodici
5	1	10	1	2	6	998	776	178	51	95	disegni
5	1	10	1	2	7	1205	776	47	39	96	di
5	1	10	1	2	8	1285	776	125	51	96	legge
4	1	10	1	3	0	220	839	902	54	-1	
5	1	10	1	3	1	220	841	75	52	96	già
5	1	10	1	3	2	325	839	250	53	96	approvati
5	1	10	1	3	3	604	851	81	40	96	per
5	1	10	1	3	4	712	840	154	39	96	alzata
5	1	10	1	3	5	896	851	20	26	96	e
5	1	10	1	3	6	945	839	177	38	77	seduta:
2	1	11	0	0	0	224	945	1208	3252	-1	
3	1	11	1	0	0	224	945	1190	302	-1	
4	1	11	1	1	0	373	945	1040	51	-1	
5	1	11	1	1	1	373	947	311	40	95	Conversione
5	1	11	1	1	2	713	947	44	38	96	in
5	1	11	1	1	3	784	947	126	48	96	legge
5	1	11	1	1	4	937	945	72	40	96	del
5	1	11	1	1	5	1036	945	144	51	95	Regio
5	1	11	1	1	6	1208	945	205	40	6	decreto
4	1	11	1	2	0	224	1008	1190	52	-1	
5	1	11	1	2	1	224	1012	127	48	95	legge
5	1	11	1	2	2	395	1011	25	37	95	5
5	1	11	1	2	3	467	1009	253	39	92	settembre
5	1	11	1	2	4	765	1008	269	48	81	1938-XVI,
5	1	11	1	2	5	1080	1020	44	27	95	n.
5	1	11	1	2	6	1172	1009	126	47	90	1523,
5	1	11	1	2	7	1345	1009	69	39	95	col
4	1	11	1	3	0	224	1071	1189	52	-1	
5	1	11	1	3	1	224	1073	136	50	96	quale
5	1	11	1	3	2	407	1072	33	39	95	si
5	1	11	1	3	3	488	1072	239	39	93	autorizza
5	1	11	1	3	4	771	1071	251	40	76	l’ulleriore
5	1	11	1	3	5	1068	1083	132	40	96	spesa
5	1	11	1	3	6	1245	1072	43	39	94	di
5	1	11	1	3	7	1334	1072	79	39	87	lire
4	1	11	1	4	0	224	1133	1189	53	-1	
5	1	11	1	4	1	224	1136	196	45	93	435,000
5	1	11	1	4	2	463	1144	82	42	93	per
5	1	11	1	4	3	589	1133	28	38	87	ii
5	1	11	1	4	4	663	1135	394	49	96	completamento
5	1	11	1	4	5	1104	1133	72	40	95	del
5	1	11	1	4	6	1220	1135	193	38	96	Palazzo
4	1	11	1	5	0	227	1195	666	52	-1	
5	1	11	1	5	1	227	1196	245	40	96	comunale
5	1	11	1	5	2	503	1196	42	39	95	dj
5	1	11	1	5	3	575	1196	132	46	96	Zara;
5	1	11	1	5	4	741	1195	152	52	96	(2484)
3	1	11	2	0	0	225	1259	1193	301	-1	
4	1	11	2	1	0	376	1259	1040	51	-1	
5	1	11	2	1	1	376	1259	311	40	96	Conversione
5	1	11	2	1	2	716	1259	44	37	96	in
5	1	11	2	1	3	785	1259	128	49	95	legge
5	1	11	2	1	4	940	1259	72	39	96	del
5	1	11	2	1	5	1038	1259	144	51	93	Regio
5	1	11	2	1	6	1210	1260	206	39	92	decreto-
4	1	11	2	2	0	225	1322	1191	53	-1	
5	1	11	2	2	1	225	1324	143	51	81	legge.
5	1	11	2	2	2	399	1324	24	38	92	5
5	1	11	2	2	3	471	1323	253	39	75	settembre
5	1	11	2	2	4	771	1322	267	46	89	1938-XVI,
5	1	11	2	2	5	1085	1334	44	26	95	n.
5	1	11	2	2	6	1176	1323	128	47	78	41488,
5	1	11	2	2	7	1350	1334	66	26	36	ro-
4	1	11	2	3	0	227	1384	1189	51	-1	
5	1	11	2	3	1	227	1390	136	38	95	cante
5	1	11	2	3	2	388	1384	372	40	95	autorizzazione
5	1	11	2	3	3	784	1384	121	39	96	della
5	1	11	2	3	4	928	1395	133	40	95	spesa
5	1	11	2	3	5	1084	1384	46	39	96	di
5	1	11	2	3	6	1153	1384	79	39	96	lire
5	1	11	2	3	7	1256	1386	54	38	92	20
5	1	11	2	3	8	1333	1386	83	37	90	mi-
4	1	11	2	4	0	227	1438	1191	62	-1	
5	1	11	2	4	1	227	1450	112	40	92	lioni
5	1	11	2	4	2	371	1438	82	62	96	per
5	1	11	2	4	3	485	1459	136	40	96	opere
5	1	11	2	4	4	652	1447	253	51	96	pubbliche
5	1	11	2	4	5	937	1447	73	39	96	nei
5	1	11	2	4	6	1041	1447	196	40	76	Comuni
5	1	11	2	4	7	1258	1448	160	51	78	colpiti
4	1	11	2	5	0	227	1510	1158	50	-1	
5	1	11	2	5	1	227	1512	76	40	96	dal
5	1	11	2	5	2	337	1512	252	39	96	terremoto
5	1	11	2	5	3	625	1510	72	38	96	del
5	1	11	2	5	4	733	1511	52	37	91	13
5	1	11	2	5	5	820	1511	196	49	96	gennaio
5	1	11	2	5	6	1052	1511	113	37	84	1915
5	1	11	2	5	7	1217	1510	168	50	84	(2485);
3	1	11	3	0	0	227	1572	1193	302	-1	
4	1	11	3	1	0	379	1572	1039	51	-1	
5	1	11	3	1	1	379	1572	310	42	93	Conversione
5	1	11	3	1	2	717	1572	44	39	96	in
5	1	11	3	1	3	788	1574	126	49	96	legge
5	1	11	3	1	4	941	1572	73	40	96	del
5	1	11	3	1	5	1041	1572	143	51	93	Regio
5	1	11	3	1	6	1213	1574	205	38	82	decreto-
4	1	11	3	2	0	227	1635	1193	52	-1	
5	1	11	3	2	1	227	1638	126	49	96	legge
5	1	11	3	2	2	376	1638	25	37	96	8
5	1	11	3	2	3	425	1636	139	50	91	luglio
5	1	11	3	2	4	589	1635	180	39	55	1938-X
5	1	11	3	2	5	769	1631	89	63	65	VI,
5	1	11	3	2	6	884	1647	42	27	64	n.
5	1	11	3	2	7	952	1636	128	46	95	1548,
5	1	11	3	2	8	1105	1636	81	38	96	che
5	1	11	3	2	9	1209	1646	211	41	96	approva
4	1	11	3	3	0	227	1696	1193	51	-1	
5	1	11	3	3	1	227	1700	44	38	95	la
5	1	11	3	3	2	303	1696	314	42	92	convenzione
5	1	11	3	3	3	648	1696	324	40	87	modificativa
5	1	11	3	3	4	1002	1698	228	49	82	sfipulala
5	1	11	3	3	5	1261	1708	85	28	96	con
5	1	11	3	3	6	1377	1698	43	40	91	la,
4	1	11	3	4	0	228	1759	1190	52	-1	
5	1	11	3	4	1	228	1760	185	40	93	Società
5	1	11	3	4	2	461	1775	16	20	86	«
5	1	11	3	4	3	499	1762	292	48	69	Partenopea
5	1	11	3	4	4	812	1774	14	20	69	»
5	1	11	3	4	5	872	1759	221	40	96	anonima
5	1	11	3	4	6	1138	1759	46	39	90	di
5	1	11	3	4	7	1229	1760	189	51	90	naviga-
4	1	11	3	5	0	228	1822	331	52	-1	
5	1	11	3	5	1	228	1823	147	48	96	zione;
5	1	11	3	5	2	404	1822	155	52	96	(2486)
3	1	11	4	0	0	229	1884	1192	304	-1	
4	1	11	4	1	0	380	1884	1040	52	-1	
5	1	11	4	1	1	380	1886	312	38	94	Conversione
5	1	11	4	1	2	724	1884	44	39	96	in
5	1	11	4	1	3	799	1887	126	48	96	legge
5	1	11	4	1	4	954	1886	74	38	96	del
5	1	11	4	1	5	1060	1886	142	50	96	Regio
5	1	11	4	1	6	1234	1887	186	39	95	decreto
4	1	11	4	2	0	231	1948	1189	52	-1	
5	1	11	4	2	1	231	1951	126	49	96	legge
5	1	11	4	2	2	400	1950	24	37	96	5
5	1	11	4	2	3	468	1948	253	39	93	settembre
5	1	11	4	2	4	765	1948	268	48	81	1938-XVI,
5	1	11	4	2	5	1077	1960	44	27	96	n.
5	1	11	4	2	6	1166	1950	127	48	96	1555,
5	1	11	4	2	7	1338	1950	82	37	96	che
4	1	11	4	3	0	229	2011	1192	52	-1	
5	1	11	4	3	1	229	2012	222	51	73	aggiorna
5	1	11	4	3	2	481	2011	39	37	92	le
5	1	11	4	3	3	552	2011	298	51	96	disposizioni
5	1	11	4	3	4	880	2011	177	51	96	vigenti
5	1	11	4	3	5	1090	2011	116	39	93	sulla
5	1	11	4	3	6	1238	2011	183	52	91	riparti-
4	1	11	4	4	0	229	2068	1192	46	-1	
5	1	11	4	4	1	229	2075	131	39	96	zione
5	1	11	4	4	2	392	2064	75	65	96	del
5	1	11	4	4	3	485	2068	247	44	96	territorio
5	1	11	4	4	4	765	2074	119	38	96	dello
5	1	11	4	4	5	917	2075	136	39	96	Stato
5	1	11	4	4	6	1086	2075	44	37	96	in
5	1	11	4	4	7	1161	2086	112	28	93	zone
5	1	11	4	4	8	1304	2074	117	38	87	mili-
4	1	11	4	5	0	231	2138	300	50	-1	
5	1	11	4	5	1	231	2138	104	46	96	tari;
5	1	11	4	5	2	376	2138	155	50	95	(2487)
3	1	11	5	0	0	229	2199	1193	304	-1	
4	1	11	5	1	0	381	2199	1041	52	-1	
5	1	11	5	1	1	381	2199	312	40	96	Conversione
5	1	11	5	1	2	721	2199	44	39	96	in
5	1	11	5	1	3	792	2200	126	48	96	legge
5	1	11	5	1	4	945	2200	72	39	96	del
5	1	11	5	1	5	1045	2200	143	51	93	Regio
5	1	11	5	1	6	1216	2202	206	38	89	decreto-
4	1	11	5	2	0	231	2262	1191	50	-1	
5	1	11	5	2	1	231	2263	128	49	33	legge
5	1	11	5	2	2	401	2263	23	37	96	9
5	1	11	5	2	3	469	2262	254	38	93	settembre
5	1	11	5	2	4	767	2262	269	48	82	1938-XVI,
5	1	11	5	2	5	1078	2274	44	28	89	n,
5	1	11	5	2	6	1168	2264	128	47	96	1574,
5	1	11	5	2	7	1340	2264	82	39	96	che
4	1	11	5	3	0	229	2323	1193	52	-1	
5	1	11	5	3	1	229	2324	62	39	96	ha
5	1	11	5	3	2	323	2324	112	39	96	dato
5	1	11	5	3	3	469	2324	267	39	96	esecuzione
5	1	11	5	3	4	768	2323	90	52	95	agli
5	1	11	5	3	5	886	2324	200	39	87	Accordi
5	1	11	5	3	6	1117	2324	45	39	96	di
5	1	11	5	3	7	1194	2327	228	37	96	carattere
4	1	11	5	4	0	232	2386	1190	52	-1	
5	1	11	5	4	1	232	2387	321	39	89	commerciale
5	1	11	5	4	2	593	2387	215	51	70	stipulati
5	1	11	5	4	3	850	2386	39	38	95	in
5	1	11	5	4	4	934	2387	164	48	96	Roma,
5	1	11	5	4	5	1141	2388	69	38	96	fra
5	1	11	5	4	6	1250	2388	172	40	95	l’Italia
4	1	11	5	5	0	232	2450	1189	53	-1	
5	1	11	5	5	1	232	2460	23	27	96	e
5	1	11	5	5	2	283	2451	42	37	94	la
5	1	11	5	5	3	352	2450	251	50	96	Norvegia,
5	1	11	5	5	4	633	2450	30	37	96	il
5	1	11	5	5	5	688	2451	52	37	79	241
5	1	11	5	5	6	771	2450	169	50	93	giugno
5	1	11	5	5	7	969	2451	179	39	61	1938-X
5	1	11	5	5	8	1147	2445	90	62	61	VI;
