level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3307	4677	-1	
2	1	1	0	0	0	410	401	460	42	-1	
3	1	1	1	0	0	410	401	460	42	-1	
4	1	1	1	1	0	410	401	460	42	-1	
5	1	1	1	1	1	410	401	93	40	96	Atti
5	1	1	1	1	2	532	402	338	41	95	Parlamentari
2	1	2	0	0	0	1525	403	263	42	-1	
3	1	2	1	0	0	1525	403	263	42	-1	
4	1	2	1	1	0	1525	403	263	42	-1	
5	1	2	1	1	1	1525	429	53	5	89	—
5	1	2	1	1	2	1617	403	80	42	52	i7i
5	1	2	1	1	3	1728	427	57	6	90	—
2	1	3	0	0	0	2360	401	536	52	-1	
3	1	3	1	0	0	2360	401	536	52	-1	
4	1	3	1	1	0	2360	401	536	52	-1	
5	1	3	1	1	1	2360	403	191	40	96	Camera
5	1	3	1	1	2	2581	401	72	40	94	dei
5	1	3	1	1	3	2683	401	213	52	91	Deputati
2	1	4	0	0	0	901	467	1995	18	-1	
3	1	4	1	0	0	901	467	1995	18	-1	
4	1	4	1	1	0	901	467	1995	18	-1	
5	1	4	1	1	1	901	467	1995	18	95	 
2	1	5	0	0	0	774	525	1755	46	-1	
3	1	5	1	0	0	774	525	1755	46	-1	
4	1	5	1	1	0	774	525	1755	46	-1	
5	1	5	1	1	1	774	535	335	34	93	LEGISLATURA
5	1	5	1	1	2	1143	539	56	30	70	IIL
5	1	5	1	1	3	1229	553	62	4	91	—
5	1	5	1	1	4	1321	539	310	32	93	DISCUSSIONI
5	1	5	1	1	5	1661	551	62	6	93	—
5	1	5	1	1	6	1755	538	192	29	96	SEDUTA
5	1	5	1	1	7	1980	537	95	29	96	DEL
5	1	5	1	1	8	2112	526	53	40	77	10
5	1	5	1	1	9	2199	537	178	30	96	LUGLIO
5	1	5	1	1	10	2417	525	112	40	96	1958
2	1	6	0	0	0	402	685	1191	3263	-1	
3	1	6	1	0	0	408	685	1185	241	-1	
4	1	6	1	1	0	487	685	1104	56	-1	
