level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3311	4683	-1	
2	1	1	0	0	0	452	400	443	42	-1	
3	1	1	1	0	0	452	400	443	42	-1	
4	1	1	1	1	0	452	400	443	42	-1	
5	1	1	1	1	1	452	405	76	35	39	it
5	1	1	1	1	2	563	400	332	42	96	Parlamentari
2	1	2	0	0	0	1559	410	243	40	-1	
3	1	2	1	0	0	1559	410	243	40	-1	
4	1	2	1	1	0	1559	410	243	40	-1	
5	1	2	1	1	1	1559	433	52	4	65	—
5	1	2	1	1	2	1640	410	79	40	92	292
5	1	2	1	1	3	1747	433	55	5	91	—
2	1	3	0	0	0	2389	410	535	51	-1	
3	1	3	1	0	0	2389	410	535	51	-1	
4	1	3	1	1	0	2389	410	535	51	-1	
5	1	3	1	1	1	2389	410	190	40	92	Camera
5	1	3	1	1	2	2611	410	74	40	96	dei
5	1	3	1	1	3	2713	412	211	49	2	Deputati
2	1	4	0	0	0	622	472	2302	112	-1	
3	1	4	1	0	0	602	472	2322	112	-1	
4	1	4	1	1	0	622	472	2302	20	-1	
5	1	4	1	1	1	622	481	51	8	23	e
5	1	4	1	1	2	1480	468	190	28	28	EI
5	1	4	1	1	3	1669	468	68	28	29	TC
5	1	4	1	1	4	1767	468	220	28	26	E
5	1	4	1	1	5	1995	472	174	20	42	A
5	1	4	1	1	6	2210	468	24	28	8	A
5	1	4	1	1	7	2663	468	10	28	31	E
5	1	4	1	1	8	2850	468	77	28	26	TR)
4	1	4	1	2	0	898	539	1550	45	-1	
5	1	4	1	2	1	898	541	42	31	96	VI
5	1	4	1	2	2	970	540	305	35	88	LEGISLATURA
5	1	4	1	2	3	1302	559	55	4	88	—
5	1	4	1	2	4	1383	544	292	34	93	DISCUSSIONI
5	1	4	1	2	5	1703	559	55	4	89	—
5	1	4	1	2	6	1786	544	170	31	96	SEDUTA
5	1	4	1	2	7	1985	544	79	32	96	DEL
5	1	4	1	2	8	2091	539	25	37	96	5
5	1	4	1	2	9	2145	545	171	39	96	LUGLIO
5	1	4	1	2	10	2348	539	100	40	96	1972
2	1	5	0	0	0	428	464	641	19	-1	
3	1	5	1	0	0	428	464	641	19	-1	
4	1	5	1	1	0	428	464	641	19	-1	
5	1	5	1	1	1	428	464	641	19	95	 
2	1	6	0	0	0	428	463	641	20	-1	
3	1	6	1	0	0	428	463	641	20	-1	
4	1	6	1	1	0	428	463	641	20	-1	
5	1	6	1	1	1	428	463	641	20	95	 
2	1	7	0	0	0	428	474	641	17	-1	
3	1	7	1	0	0	428	474	641	17	-1	
4	1	7	1	1	0	428	474	641	17	-1	
5	1	7	1	1	1	428	474	641	17	95	 
2	1	8	0	0	0	1272	488	1652	13	-1	
3	1	8	1	0	0	1272	488	1652	13	-1	
4	1	8	1	1	0	1272	488	1652	13	-1	
5	1	8	1	1	1	1272	488	1652	13	95	 
2	1	9	0	0	0	582	594	2337	42	-1	
3	1	9	1	0	0	582	594	2337	42	-1	
4	1	9	1	1	0	582	594	2337	42	-1	
5	1	9	1	1	1	582	594	2337	42	95	 
2	1	10	0	0	0	423	694	1189	436	-1	
