level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4672	-1	
2	1	1	0	0	0	396	397	491	51	-1	
3	1	1	1	0	0	396	397	491	51	-1	
4	1	1	1	1	0	396	397	491	51	-1	
5	1	1	1	1	1	396	401	100	45	96	Atti
5	1	1	1	1	2	520	397	367	51	96	Parlamentari
2	1	2	0	0	0	1473	405	332	45	-1	
3	1	2	1	0	0	1473	405	332	45	-1	
4	1	2	1	1	0	1473	405	332	45	-1	
5	1	2	1	1	1	1473	429	66	7	90	—
5	1	2	1	1	2	1560	405	160	45	92	36433
5	1	2	1	1	3	1740	428	65	6	92	—
2	1	3	0	0	0	2299	398	584	63	-1	
3	1	3	1	0	0	2299	398	584	63	-1	
4	1	3	1	1	0	2299	398	584	63	-1	
5	1	3	1	1	1	2299	404	213	45	96	Camera
5	1	3	1	1	2	2535	398	84	50	97	dei
5	1	3	1	1	3	2642	401	241	60	96	Deputati
2	1	4	0	0	0	399	470	2488	11	-1	
3	1	4	1	0	0	399	470	2488	11	-1	
4	1	4	1	1	0	399	470	2488	11	-1	
5	1	4	1	1	1	399	470	2488	11	95	 
2	1	5	0	0	0	399	481	2488	12	-1	
3	1	5	1	0	0	399	481	2488	12	-1	
4	1	5	1	1	0	399	481	2488	12	-1	
5	1	5	1	1	1	399	481	2488	12	95	 
2	1	6	0	0	0	773	544	1728	46	-1	
3	1	6	1	0	0	773	544	1728	46	-1	
4	1	6	1	1	0	773	544	1728	46	-1	
5	1	6	1	1	1	773	553	88	36	63	VIII
5	1	6	1	1	2	881	553	340	36	93	LEGISLATURA
5	1	6	1	1	3	1239	573	24	5	91	-
5	1	6	1	1	4	1281	553	315	37	93	DISCUSSIONI
5	1	6	1	1	5	1615	573	24	5	90	-
5	1	6	1	1	6	1657	554	192	35	96	SEDUTA
5	1	6	1	1	7	1867	554	97	35	97	DEL
5	1	6	1	1	8	1984	545	61	45	96	23
5	1	6	1	1	9	2072	554	285	35	96	NOVEMBRE
5	1	6	1	1	10	2381	544	120	46	95	1981
2	1	7	0	0	0	399	635	2487	11	-1	
3	1	7	1	0	0	399	635	2487	11	-1	
4	1	7	1	1	0	399	635	2487	11	-1	
5	1	7	1	1	1	399	635	2487	11	95	 
2	1	8	0	0	0	404	717	1191	408	-1	
3	1	8	1	0	0	404	717	1191	408	-1	
4	1	8	1	1	0	405	717	1190	68	-1	
5	1	8	1	1	1	405	717	340	61	96	disposizioni
5	1	8	1	1	2	779	738	286	32	96	connesse»
5	1	8	1	1	3	1105	724	180	57	96	(2796),
5	1	8	1	1	4	1321	737	274	48	96	approvato
4	1	8	1	2	0	407	792	1186	64	-1	
5	1	8	1	2	1	407	808	96	29	96	con
5	1	8	1	2	2	527	792	34	45	96	il
5	1	8	1	2	3	580	804	237	48	96	seguente
5	1	8	1	2	4	837	794	159	47	95	titolo:
5	1	8	1	2	5	1013	797	224	47	91	«Norme
5	1	8	1	2	6	1259	813	94	43	96	per
5	1	8	1	2	7	1372	797	48	48	93	la
5	1	8	1	2	8	1440	798	153	47	92	stabi-
4	1	8	1	3	0	405	861	1188	65	-1	
5	1	8	1	3	1	405	861	274	51	96	lizzazione
5	1	8	1	3	2	707	864	84	48	96	del
5	1	8	1	3	3	817	866	278	59	96	personale
5	1	8	1	3	4	1123	872	238	54	96	precario
5	1	8	1	3	5	1389	869	84	48	93	del
5	1	8	1	3	6	1503	870	90	47	92	Mi-
4	1	8	1	4	0	404	936	1189	62	-1	
5	1	8	1	4	1	404	937	199	45	92	nistero
5	1	8	1	4	2	621	936	135	48	96	delle
5	1	8	1	4	3	773	936	204	49	96	finanze
5	1	8	1	4	4	996	956	27	29	95	e
5	1	8	1	4	5	1041	954	96	43	95	per
5	1	8	1	4	6	1155	938	33	47	93	il
5	1	8	1	4	7	1207	944	386	54	91	potenziamen-
4	1	8	1	5	0	404	1005	1188	67	-1	
5	1	8	1	5	1	404	1014	52	38	96	to
5	1	8	1	5	2	483	1005	136	48	93	delle
5	1	8	1	5	3	647	1009	397	47	92	Conservatorie
5	1	8	1	5	4	1069	1010	86	48	96	dei
