name,surname,job,URI
ALBERTO,JACOMETTI,1,http://dati.camera.it/ocd/persona.rdf/p8770
UMBERTO,NOBILE,1,http://dati.camera.it/ocd/persona.rdf/p9610
RANDOLFO,PACCIARDI,0,http://dati.camera.it/ocd/persona.rdf/p9650
RANDOLFO,PACCIARDI,1,http://dati.camera.it/ocd/persona.rdf/p9650
LUIGI,LONGO,1,http://dati.camera.it/ocd/persona.rdf/p3470
ALDO,MORO,1,http://dati.camera.it/ocd/persona.rdf/p4180
MARIANO,RUMOR,1,http://dati.camera.it/ocd/persona.rdf/p5150
BENIGNO,ZACCAGNINI,1,http://dati.camera.it/ocd/persona.rdf/p6210
LUIGI FILIPPO,BENEDETTINI,1,http://dati.camera.it/ocd/persona.rdf/p6780
CORRADO,BONFANTINI,1,http://dati.camera.it/ocd/persona.rdf/p7020
ORESTE,LIZZADRI,1,http://dati.camera.it/ocd/persona.rdf/p17250
LELIO,BASSO,1,http://dati.camera.it/ocd/persona.rdf/p17850
EDGARDO,LAMI STARNUTI,1,http://dati.camera.it/ocd/persona.rdf/p18990
MARIO,MONTAGNANA,1,http://dati.camera.it/ocd/persona.rdf/p19330
PIETRO,NENNI,0,http://dati.camera.it/ocd/persona.rdf/p19410
PIETRO,NENNI,1,http://dati.camera.it/ocd/persona.rdf/p19410
GIUSEPPE,PELLA,1,http://dati.camera.it/ocd/persona.rdf/p19540
GIUSEPPE,PELLA,0,http://dati.camera.it/ocd/persona.rdf/p19540
GIORGIO,AMENDOLA,1,http://dati.camera.it/ocd/persona.rdf/p200
GIORGIO,AMENDOLA,0,http://dati.camera.it/ocd/persona.rdf/p200
FERNANDO,SCHIAVETTI,1,http://dati.camera.it/ocd/persona.rdf/p20000
AMINTORE,FANFANI,1,http://dati.camera.it/ocd/persona.rdf/p200365
AMINTORE,FANFANI,0,http://dati.camera.it/ocd/persona.rdf/p200365
PIERO,CALAMANDREI,1,http://dati.camera.it/ocd/persona.rdf/p25450
PIETRO,CAMPILLI,1,http://dati.camera.it/ocd/persona.rdf/p25460
