name,surname,job,URI
GASPARE,FINALI,1,http://dati.camera.it/ocd/persona.rdf/pr2373
LUIGI FEDERICO,MENABREA,2,http://dati.camera.it/ocd/persona.rdf/pr241
GIUSEPPE,GARIBALDI,1,http://dati.camera.it/ocd/persona.rdf/pr2429
GIUSEPPE,GADDA,1,http://dati.camera.it/ocd/persona.rdf/pr2439
LUIGI CARLO,FARINI,1,http://dati.camera.it/ocd/persona.rdf/pr2467
LUIGI CARLO,FARINI,0,http://dati.camera.it/ocd/persona.rdf/pr2467
FRANCESCO DOMENICO,GUERRAZZI,1,http://dati.camera.it/ocd/persona.rdf/pr2568
GIUSEPPE,LA FARINA,1,http://dati.camera.it/ocd/persona.rdf/pr2624
ALFONSO,LA MARMORA (FERRERO),1,http://dati.camera.it/ocd/persona.rdf/pr2629
ALESSANDRO,MANZONI,2,http://dati.camera.it/ocd/persona.rdf/pr272
MARCO,MINGHETTI,1,http://dati.camera.it/ocd/persona.rdf/pr3028
MARCO,MINGHETTI,0,http://dati.camera.it/ocd/persona.rdf/pr3028
LUIGI AMEDEO,MELEGARI,1,http://dati.camera.it/ocd/persona.rdf/pr3104
LUIGI,NAZARI DI CALABIANA,2,http://dati.camera.it/ocd/persona.rdf/pr10019
GIOVANNI,NIGRA,2,http://dati.camera.it/ocd/persona.rdf/pr10027
CARLO,PERSANO (PELLION DI),1,http://dati.camera.it/ocd/persona.rdf/pr10117
CARLO,CATTANEO,1,http://dati.camera.it/ocd/persona.rdf/pr1639
GUSTAVO,PONZA DI SAN MARTINO,2,http://dati.camera.it/ocd/persona.rdf/pr195
TERENZIO,MAMIANI DELLA ROVERE,0,http://dati.camera.it/ocd/persona.rdf/pr200
TERENZIO,MAMIANI DELLA ROVERE,1,http://dati.camera.it/ocd/persona.rdf/pr200
AGOSTINO,DEPRETIS,1,http://dati.camera.it/ocd/persona.rdf/pr2204
GIOACCHINO NAPOLEONE,PEPOLI,1,http://dati.camera.it/ocd/persona.rdf/pr3523
UBALDINO,PERUZZI,0,http://dati.camera.it/ocd/persona.rdf/pr3546
UBALDINO,PERUZZI,1,http://dati.camera.it/ocd/persona.rdf/pr3546
BETTINO,RICASOLI,1,http://dati.camera.it/ocd/persona.rdf/pr3695
GIUSEPPE,SARACCO,1,http://dati.camera.it/ocd/persona.rdf/pr3980
QUINTINO,SELLA,1,http://dati.camera.it/ocd/persona.rdf/pr3999
MASSIMO,D'AZEGLIO (TAPARELLI),2,http://dati.camera.it/ocd/persona.rdf/pr512
GIACOMO,DURANDO,2,http://dati.camera.it/ocd/persona.rdf/pr548
ALEARDO (GAETANO MARIA),ALEARDI,1,http://dati.camera.it/ocd/persona.rdf/pr859
GUSTAVO,CAVOUR (BENSO DI),1,http://dati.camera.it/ocd/persona.rdf/pr864
COSIMO,RIDOLFI,2,http://dati.camera.it/ocd/persona.rdf/pr887
COSIMO,RIDOLFI,1,http://dati.camera.it/ocd/persona.rdf/pr887
CESARE,ALFIERI DI SOSTEGNO,2,http://dati.camera.it/ocd/persona.rdf/pr9037
GINO,CAPPONI,2,http://dati.camera.it/ocd/persona.rdf/pr9289
AGOSTINO,CHIODO,2,http://dati.camera.it/ocd/persona.rdf/pr9356
LUIGI GIOVANNI ANTONIO,CIBRARIO,2,http://dati.camera.it/ocd/persona.rdf/pr9363
GABRIO,CASATI,2,http://dati.camera.it/ocd/persona.rdf/pr429
GIUSEPPE,BIANCHERI,1,http://dati.camera.it/ocd/persona.rdf/pr1208
GIUSEPPE,MANNO,2,http://dati.camera.it/ocd/persona.rdf/pr9881
CARLO,CADORNA,2,http://dati.camera.it/ocd/persona.rdf/pr557
CARLO,BON COMPAGNI DI MOMBELLO,1,http://dati.camera.it/ocd/persona.rdf/pr1369
BENEDETTO,CAIROLI,1,http://dati.camera.it/ocd/persona.rdf/pr1388
GIOVANNI BATTISTA,CASSINIS,0,http://dati.camera.it/ocd/persona.rdf/pr1612
GIOVANNI BATTISTA,CASSINIS,1,http://dati.camera.it/ocd/persona.rdf/pr1612
