name,surname,URI
ROBERTO,MORRA DI LAVRIANO E DELLA MONTÀ,http://dati.camera.it/ocd/persona.rdf/pr3146
LUIGI ALFONSO,MICELI,http://dati.camera.it/ocd/persona.rdf/pr3267
NUNZIO,NASI,http://dati.camera.it/ocd/persona.rdf/pr3325
GIOVANNI,NICOTERA,http://dati.camera.it/ocd/persona.rdf/pr3346
LUIGI,FACTA,http://dati.camera.it/ocd/persona.rdf/pr2255
MAGGIORINO,FERRARIS,http://dati.camera.it/ocd/persona.rdf/pr2352
GASPARE,FINALI,http://dati.camera.it/ocd/persona.rdf/pr2373
LUIGI FEDERICO,MENABREA,http://dati.camera.it/ocd/persona.rdf/pr241
GIUSEPPE,GADDA,http://dati.camera.it/ocd/persona.rdf/pr2439
ALESSANDRO,FORTIS,http://dati.camera.it/ocd/persona.rdf/pr2520
GIUSTINO,FORTUNATO,http://dati.camera.it/ocd/persona.rdf/pr2522
GIOVANNI,GIOLITTI,http://dati.camera.it/ocd/persona.rdf/pr2546
MATTEO RENATO,IMBRIANI POERIO,http://dati.camera.it/ocd/persona.rdf/pr2809
LUIGI,LUZZATTI,http://dati.camera.it/ocd/persona.rdf/pr2864
IGNAZIO,MARSENGO BASTIA,http://dati.camera.it/ocd/persona.rdf/pr2993
LUIGI,NAZARI DI CALABIANA,http://dati.camera.it/ocd/persona.rdf/pr10019
FERDINANDO,RAMOGNINI,http://dati.camera.it/ocd/persona.rdf/pr10206
CARMINE,SENISE,http://dati.camera.it/ocd/persona.rdf/pr10318
ORESTE,BARATIERI,http://dati.camera.it/ocd/persona.rdf/pr1056
GIOVANNI,BARRACCO,http://dati.camera.it/ocd/persona.rdf/pr1071
GIOVANNI,BOVIO,http://dati.camera.it/ocd/persona.rdf/pr1296
ADEODATO,BONASI,http://dati.camera.it/ocd/persona.rdf/pr1365
CARLO,ACQUAVIVA D'ARAGONA,http://dati.camera.it/ocd/persona.rdf/pr14
BRUNO,CHIMIRRI,http://dati.camera.it/ocd/persona.rdf/pr1686
FELICE,CAVALLOTTI,http://dati.camera.it/ocd/persona.rdf/pr1713
ANDREA,COSTA,http://dati.camera.it/ocd/persona.rdf/pr1898
LEOPOLDO,FRANCHETTI,http://dati.camera.it/ocd/persona.rdf/pr2219
SALVATORE,BARZILAI,http://dati.camera.it/ocd/persona.rdf/pr1078
VINCENZO STEFANO,BREDA,http://dati.camera.it/ocd/persona.rdf/pr1150
BENEDETTO,BRIN,http://dati.camera.it/ocd/persona.rdf/pr1162
ATTILIO,BRUNIALTI,http://dati.camera.it/ocd/persona.rdf/pr1192
PAOLO,BOSELLI,http://dati.camera.it/ocd/persona.rdf/pr1239
GIULIO,PRINETTI DI MERATE,http://dati.camera.it/ocd/persona.rdf/pr3583
LUIGI,RAVA,http://dati.camera.it/ocd/persona.rdf/pr3624
TOMMASO,TITTONI,http://dati.camera.it/ocd/persona.rdf/pr3712
CESARE,RICOTTI MAGNANI,http://dati.camera.it/ocd/persona.rdf/pr3765
ETTORE,SACCHI,http://dati.camera.it/ocd/persona.rdf/pr3884
ANTONIO,SALANDRA,http://dati.camera.it/ocd/persona.rdf/pr3893
GIUSEPPE,SARACCO,http://dati.camera.it/ocd/persona.rdf/pr3980
FEDERICO,SEISMIT DODA,http://dati.camera.it/ocd/persona.rdf/pr4072
GIACOMO,DURANDO,http://dati.camera.it/ocd/persona.rdf/pr548
GIACOMO GIUSEPPE,ALVISI,http://dati.camera.it/ocd/persona.rdf/pr66
ALBERTO,BLANC,http://dati.camera.it/ocd/persona.rdf/pr9160
FRANCESCO,BONASI,http://dati.camera.it/ocd/persona.rdf/pr9181
TANCREDI,CANONICO,http://dati.camera.it/ocd/persona.rdf/pr9276
GIUSEPPE,TASCA LANZA,http://dati.camera.it/ocd/persona.rdf/pr4130
GIUSEPPE,VERDI,http://dati.camera.it/ocd/persona.rdf/pr4183
SIDNEY COSTANTINO,SONNINO,http://dati.camera.it/ocd/persona.rdf/pr4226
SILVIO,SPAVENTA,http://dati.camera.it/ocd/persona.rdf/pr4245
PASQUALE,VILLARI,http://dati.camera.it/ocd/persona.rdf/pr4389
LEONE,WOLLEMBORG,http://dati.camera.it/ocd/persona.rdf/pr4411
GIUSEPPE,BIANCHERI,http://dati.camera.it/ocd/persona.rdf/pr1208
GIULIO BENSO,DELLA VERDURA,http://dati.camera.it/ocd/persona.rdf/pr9499
LORENZO,EULA,http://dati.camera.it/ocd/persona.rdf/pr9599
LUIGI,CHINAGLIA,http://dati.camera.it/ocd/persona.rdf/pr1687
GIUSEPPE,COLOMBO,http://dati.camera.it/ocd/persona.rdf/pr1824
MICHELE,COPPINO,http://dati.camera.it/ocd/persona.rdf/pr1858
FRANCESCO,CRISPI,http://dati.camera.it/ocd/persona.rdf/pr1917
NICOLÒ,GALLO,http://dati.camera.it/ocd/persona.rdf/pr2312
DOMENICO,FARINI,http://dati.camera.it/ocd/persona.rdf/pr2468
GIUSEPPE,MARCORA,http://dati.camera.it/ocd/persona.rdf/pr2845
TOMMASO,VILLA,http://dati.camera.it/ocd/persona.rdf/pr4284
GIUSEPPE,ZANARDELLI,http://dati.camera.it/ocd/persona.rdf/pr4421
DOMENICO,BERTI,http://dati.camera.it/ocd/persona.rdf/pr1003
ANTONIO,NUNZIANTE,http://dati.camera.it/ocd/persona.rdf/pr10040
LUIGI,ORLANDO,http://dati.camera.it/ocd/persona.rdf/pr10049
LODOVICO,BERTI,http://dati.camera.it/ocd/persona.rdf/pr1005
SALVATORE,OTTOLENGHI,http://dati.camera.it/ocd/persona.rdf/pr10056
GAETANO,MOSCUZZA,http://dati.camera.it/ocd/persona.rdf/pr10003
CARLO,MUNICCHI,http://dati.camera.it/ocd/persona.rdf/pr10009
MATTEO,MURATORI,http://dati.camera.it/ocd/persona.rdf/pr10010
COSTANTINO,NIGRA,http://dati.camera.it/ocd/persona.rdf/pr10026
CATALDO,NITTI,http://dati.camera.it/ocd/persona.rdf/pr10028
GIACOMO,PLEZZA,http://dati.camera.it/ocd/persona.rdf/pr10159
EDOARDO,PORRO,http://dati.camera.it/ocd/persona.rdf/pr10170
GIOVANNI,POTENZIANI,http://dati.camera.it/ocd/persona.rdf/pr10174
GASPARE DOMENICO,REGIS,http://dati.camera.it/ocd/persona.rdf/pr10209
GUIDO,BACCELLI,http://dati.camera.it/ocd/persona.rdf/pr1021
LUIGI,RIDOLFI,http://dati.camera.it/ocd/persona.rdf/pr10222
LEONARDO,ROISSARD DE BELLET,http://dati.camera.it/ocd/persona.rdf/pr10225
FEDERICO,ROSAZZA,http://dati.camera.it/ocd/persona.rdf/pr10239
