name,surname,job,URI
ACHILLE,LAURO,1,http://dati.camera.it/ocd/persona.rdf/p3320
LUIGI,LONGO,1,http://dati.camera.it/ocd/persona.rdf/p3470
ALDO,MORO,1,http://dati.camera.it/ocd/persona.rdf/p4180
MARIANO,RUMOR,1,http://dati.camera.it/ocd/persona.rdf/p5150
MARIO,TANASSI,1,http://dati.camera.it/ocd/persona.rdf/p5690
BENIGNO,ZACCAGNINI,1,http://dati.camera.it/ocd/persona.rdf/p6210
FABRIZIO,CICCHITTO,1,http://dati.camera.it/ocd/persona.rdf/p15080
LELIO,BASSO,2,http://dati.camera.it/ocd/persona.rdf/p17850
PIETRO,NENNI,2,http://dati.camera.it/ocd/persona.rdf/p19410
GIORGIO,AMENDOLA,1,http://dati.camera.it/ocd/persona.rdf/p200
AMINTORE,FANFANI,2,http://dati.camera.it/ocd/persona.rdf/p200365
MARIA ADELAIDE,AGLIETTA,1,http://dati.camera.it/ocd/persona.rdf/p20420
CARLO,DONAT CATTIN,0,http://dati.camera.it/ocd/persona.rdf/p2350
CARLO,DONAT CATTIN,1,http://dati.camera.it/ocd/persona.rdf/p2350
ARNALDO,FORLANI,0,http://dati.camera.it/ocd/persona.rdf/p2620
ARNALDO,FORLANI,1,http://dati.camera.it/ocd/persona.rdf/p2620
TULLIO,VECCHIETTI,1,http://dati.camera.it/ocd/persona.rdf/p10740
GIUSEPPE,BALBO,2,http://dati.camera.it/ocd/persona.rdf/p301135
ALDO RENATO,GUTTUSO,2,http://dati.camera.it/ocd/persona.rdf/p304189
FERRUCCIO,PARRI,2,http://dati.camera.it/ocd/persona.rdf/p28300
ANTONIO,GIOLITTI,1,http://dati.camera.it/ocd/persona.rdf/p2930
GIOVANNI,GRONCHI,2,http://dati.camera.it/ocd/persona.rdf/p18950
GIUSEPPE,SARAGAT,2,http://dati.camera.it/ocd/persona.rdf/p19910
GIOVANNI,LEONE,2,http://dati.camera.it/ocd/persona.rdf/p200511
UMBERTO,TERRACINI,2,http://dati.camera.it/ocd/persona.rdf/p28550
PIETRO,INGRAO,1,http://dati.camera.it/ocd/persona.rdf/p3120
LEONILDE,IOTTI,1,http://dati.camera.it/ocd/persona.rdf/p3140
GIORGIO,NAPOLITANO,1,http://dati.camera.it/ocd/persona.rdf/p4230
ALESSANDRO,PERTINI,1,http://dati.camera.it/ocd/persona.rdf/p4610
OSCAR LUIGI,SCALFARO,1,http://dati.camera.it/ocd/persona.rdf/p60694
CARLO,BUZZI,2,http://dati.camera.it/ocd/persona.rdf/p1220
CARLO,BUZZI,0,http://dati.camera.it/ocd/persona.rdf/p1220
PIERGIORGIO,BRESSANI,0,http://dati.camera.it/ocd/persona.rdf/p1130
PIERGIORGIO,BRESSANI,1,http://dati.camera.it/ocd/persona.rdf/p1130
FEDERICO,BRINI,1,http://dati.camera.it/ocd/persona.rdf/p1140
CESARE,ALLEGRI,1,http://dati.camera.it/ocd/persona.rdf/p110
FRANCESCO,BOVA,0,http://dati.camera.it/ocd/persona.rdf/p1100
FRANCESCO,BOVA,1,http://dati.camera.it/ocd/persona.rdf/p1100
ELISEO,MILANI,1,http://dati.camera.it/ocd/persona.rdf/p11020
VITO,SCALIA,1,http://dati.camera.it/ocd/persona.rdf/p11080
ALDO,BOZZI,1,http://dati.camera.it/ocd/persona.rdf/p1110
MAURO,BUBBICO,1,http://dati.camera.it/ocd/persona.rdf/p1160
PIETRO,BUCALOSSI,1,http://dati.camera.it/ocd/persona.rdf/p1170
DOLORES,ABBIATI,1,http://dati.camera.it/ocd/persona.rdf/p10
GIANFRANCO,ALIVERTI,0,http://dati.camera.it/ocd/persona.rdf/p100
GIANFRANCO,ALIVERTI,1,http://dati.camera.it/ocd/persona.rdf/p100
PAOLO,BONOMI,1,http://dati.camera.it/ocd/persona.rdf/p1000
LUIGI,BORGHI,2,http://dati.camera.it/ocd/persona.rdf/p1010
BRUNO,SARGENTINI,1,http://dati.camera.it/ocd/persona.rdf/p10250
MANFREDI,BOSCO,0,http://dati.camera.it/ocd/persona.rdf/p1060
MANFREDI,BOSCO,1,http://dati.camera.it/ocd/persona.rdf/p1060
EMILIO,TRABUCCHI,1,http://dati.camera.it/ocd/persona.rdf/p10640
GIUSEPPE,BOTTA,1,http://dati.camera.it/ocd/persona.rdf/p1070
PIER GIORGIO,BOTTARELLI,1,http://dati.camera.it/ocd/persona.rdf/p1080
GIOVANNI ANDREA,BORROMEO D'ADDA,1,http://dati.camera.it/ocd/persona.rdf/p1030
FRANCO,BORTOLANI,1,http://dati.camera.it/ocd/persona.rdf/p1040
LEO,CANULLO,1,http://dati.camera.it/ocd/persona.rdf/p14860
LORENZO,CAPPELLI,1,http://dati.camera.it/ocd/persona.rdf/p14870
GUIDO,CAPPELLONI,1,http://dati.camera.it/ocd/persona.rdf/p14880
NICOLA,CAPRIA,1,http://dati.camera.it/ocd/persona.rdf/p14890
GUIDO,CARANDINI,1,http://dati.camera.it/ocd/persona.rdf/p14900
RODOLFO,CARELLI,1,http://dati.camera.it/ocd/persona.rdf/p14910
GIOVANNI BATTISTA,CARLASSARA,1,http://dati.camera.it/ocd/persona.rdf/p14920
MARIA TERESA,CARLONI,1,http://dati.camera.it/ocd/persona.rdf/p14930
NATALE,CARLOTTO,1,http://dati.camera.it/ocd/persona.rdf/p14940
PIETRO,CARMENO,1,http://dati.camera.it/ocd/persona.rdf/p14950
IGNAZIO,CARUSO,1,http://dati.camera.it/ocd/persona.rdf/p14960
AMELIA,CASADEI,1,http://dati.camera.it/ocd/persona.rdf/p14970
GIORGIO,CASALINO,1,http://dati.camera.it/ocd/persona.rdf/p14980
FRANCESCO,CASATI,1,http://dati.camera.it/ocd/persona.rdf/p14990
LUCIANA,CASTELLINA,1,http://dati.camera.it/ocd/persona.rdf/p15000
GIUSEPPE,CASTOLDI,1,http://dati.camera.it/ocd/persona.rdf/p15010
PAOLA,CAVIGLIASSO,1,http://dati.camera.it/ocd/persona.rdf/p15020
BENITO,CAZORA,1,http://dati.camera.it/ocd/persona.rdf/p15030
ALBERTO,CECCHI,1,http://dati.camera.it/ocd/persona.rdf/p15040
ADRIANO,CERQUETTI,1,http://dati.camera.it/ocd/persona.rdf/p15050
GIANLUCA,CERRINA FERONI,1,http://dati.camera.it/ocd/persona.rdf/p15060
