name,surname,URI
WALTER,VELTRONI,http://dati.camera.it/ocd/persona.rdf/p30790
MAURIZIO,GASPARRI,http://dati.camera.it/ocd/persona.rdf/p33210
IGNAZIO BENITO MARIA,LA RUSSA,http://dati.camera.it/ocd/persona.rdf/p33410
FEDERICO GUGLIELMO,LENTO,http://dati.camera.it/ocd/persona.rdf/p33450
ALESSANDRA,MUSSOLINI,http://dati.camera.it/ocd/persona.rdf/p33830
ELIO,VITO,http://dati.camera.it/ocd/persona.rdf/p34730
SILVIO,BERLUSCONI,http://dati.camera.it/ocd/persona.rdf/p35330
ROCCO,BUTTIGLIONE,http://dati.camera.it/ocd/persona.rdf/p35640
GIANPAOLO,DOZZO,http://dati.camera.it/ocd/persona.rdf/p36440
ROBERTO,MENIA,http://dati.camera.it/ocd/persona.rdf/p37660
PAOLO,ROMANI,http://dati.camera.it/ocd/persona.rdf/p38510
GIULIO CARLO DANILO,TREMONTI,http://dati.camera.it/ocd/persona.rdf/p39130
ADOLFO,URSO,http://dati.camera.it/ocd/persona.rdf/p39200
FRANCO,FRATTINI,http://dati.camera.it/ocd/persona.rdf/p50139
ITALO,BOCCHINO,http://dati.camera.it/ocd/persona.rdf/p50220
ENRICO LUIGI,MICHELI,http://dati.camera.it/ocd/persona.rdf/p50472
AMINTORE,FANFANI,http://dati.camera.it/ocd/persona.rdf/p200365
RENATO GIUSEPPE,SCHIFANI,http://dati.camera.it/ocd/persona.rdf/p200860
SERGIO,MATTARELLA,http://dati.camera.it/ocd/persona.rdf/p23870
ANNA,FINOCCHIARO,http://dati.camera.it/ocd/persona.rdf/p29580
PIER LUIGI,BERSANI,http://dati.camera.it/ocd/persona.rdf/p300026
GIOVANNI MARIA,FLICK,http://dati.camera.it/ocd/persona.rdf/p300096
DARIO,FRANCESCHINI,http://dati.camera.it/ocd/persona.rdf/p300246
GIOVANNI,LEONE,http://dati.camera.it/ocd/persona.rdf/p200511
LUCIANO,VIOLANTE,http://dati.camera.it/ocd/persona.rdf/p22190
PIER FERDINANDO,CASINI,http://dati.camera.it/ocd/persona.rdf/p23020
GIANFRANCO,FINI,http://dati.camera.it/ocd/persona.rdf/p23480
LEONILDE,IOTTI,http://dati.camera.it/ocd/persona.rdf/p3140
IRENE,PIVETTI,http://dati.camera.it/ocd/persona.rdf/p34140
FAUSTO,BERTINOTTI,http://dati.camera.it/ocd/persona.rdf/p35360
GIORGIO,NAPOLITANO,http://dati.camera.it/ocd/persona.rdf/p4230
OSCAR LUIGI,SCALFARO,http://dati.camera.it/ocd/persona.rdf/p60694
FORTUNATO,ALOI,http://dati.camera.it/ocd/persona.rdf/p150
ANTONIO,CONTE,http://dati.camera.it/ocd/persona.rdf/p15190
RAFFAELE,COSTA,http://dati.camera.it/ocd/persona.rdf/p15250
LUIGI,BERLINGUER,http://dati.camera.it/ocd/persona.rdf/p17880
PAOLO,GUERRINI,http://dati.camera.it/ocd/persona.rdf/p15700
ACHILLE,OCCHETTO,http://dati.camera.it/ocd/persona.rdf/p16310
GIORGIO,MACCIOTTA,http://dati.camera.it/ocd/persona.rdf/p15870
MARIO CLEMENTE,MASTELLA,http://dati.camera.it/ocd/persona.rdf/p16050
MARIO,TASSONE,http://dati.camera.it/ocd/persona.rdf/p16850
UMBERTO,CARPI,http://dati.camera.it/ocd/persona.rdf/p200184
CARLO,CARPINELLI,http://dati.camera.it/ocd/persona.rdf/p200186
ANTONINO,CARUSO,http://dati.camera.it/ocd/persona.rdf/p200188
