legislature,page_num,speech_num,token_num
regno_01,1742,3659,1884530
regno_02,850,3942,1111824
regno_03,1756,6997,1937255
regno_04,14740,41056,15336297
regno_05,10484,19657,10549093
regno_06,3987,4742,3632438
regno_07,1475,3222,1448936
regno_08,25403,59282,22526607
regno_09,4431,15974,3652425
regno_10,18593,73099,15431672
regno_11,20234,57796,15753401
regno_12,10864,25246,7709064
regno_13,21688,64088,15003399
regno_14,15556,53795,11218642
regno_15,23202,69560,15743332
regno_16,27208,90345,17801332
regno_17,11843,42949,7676947
regno_18,15571,48417,9517141
regno_19,12048,42344,7552127
regno_20,20444,70444,12682897
regno_21,30238,99856,19337926
regno_22,34824,111053,20959150
regno_23,38787,107512,23615958
regno_24,26598,65329,16866634
regno_25,13353,34246,8537827
regno_26,16965,53071,10729054
regno_27,21240,41701,11416742
regno_28,16821,28199,9893523
regno_29,10204,23621,6596115
regno_30,1278,2144,801341
consulta_nazionale,1032,1124,810899
costituente,13049,47479,10060817
repubblica_01,81878,249543,53870019
repubblica_02,63353,168004,41405718
repubblica_03,69046,162984,43170257
repubblica_04,90809,238068,56172083
repubblica_05,63660,156511,38765442
repubblica_06,54004,130752,32156179
repubblica_07,45438,100593,24953487
repubblica_08,94024,196305,48376002
repubblica_09,85906,147954,42999226
repubblica_10,149160,199471,59809776
repubblica_11,51233,109644,20904850
repubblica_12,50660,124807,20381344
repubblica_13,NA,472397,63022325
repubblica_14,NA,479756,70992327
repubblica_15,NA,137743,27309928
repubblica_16,NA,350453,75138607
repubblica_17,NA,366955,85207397
repubblica_18,NA,204486,67004681
